rank,stock_id,name,market_cap_100M_twd,weight_pct,remark_source
1,2330,台積電,153777.18,41.31,official
2,2317,鴻海,14486.82,3.89,official
3,2454,聯發科,16236.42,4.36,official
4,2308,台達電,8143.3,2.19,official
5,2303,聯電,6590.69,1.77,official
6,2412,中華電,9308.94,2.50,official
7,1303,南亞,5274,1.42,official
8,2881,富邦金,8433.7,2.27,official
9,2891,中信金,5551.86,1.49,official
10,2002,中鋼,4248.41,1.14,official
11,2882,國泰金,6711.16,1.80,official
12,3711,日月光投控,5913.27,1.59,official
13,2886,兆豐金,5645.32,1.52,official
14,1301,台塑,5041.67,1.35,official
15,1216,統一,4233.1,1.14,official
16,2884,玉山金,4041.31,1.09,official
17,5871,中租-KY,3116.12,0.84,official
18,2892,第一金,3731.92,1.00,official
19,2885,元大金,3502.19,0.94,official
20,5880,合庫金,3927.4,1.06,official
21,3034,聯詠,3146,0.85,official
22,3008,大立光,3830.53,1.03,official
23,1101,台泥,2694.3,0.72,stockanalysis
24,1326,台化,3651.52,0.98,official
25,2880,華南金,3049.15,0.82,stockanalysis
26,2382,廣達,8671.6,2.33,official
27,2327,國巨,2502.4,0.67,stockanalysis
28,2883,開發金,2113.3,0.57,stockanalysis
29,2207,和泰車,3949.85,1.06,official
30,2357,華碩,3635.81,0.98,official
31,2890,永豐金,2440.1,0.66,stockanalysis
32,2379,瑞昱,2418.2,0.65,stockanalysis
33,2887,台新金,2258.3,0.61,stockanalysis
34,2603,長榮,3037.1,0.82,stockanalysis
35,3045,台灣大,3671.14,0.99,official
36,1590,亞德客-KY,2020,0.54,stockanalysis
37,3037,欣興,2682,0.72,stockanalysis
38,5876,上海商銀,2269.9,0.61,stockanalysis
39,2912,統一超,2801.8,0.75,stockanalysis
40,2395,研華,3187.04,0.86,official
41,2801,彰銀,1943.6,0.52,stockanalysis
42,4904,遠傳,2600.3,0.70,stockanalysis
43,6505,台塑化,7687.45,2.07,official
44,4938,和碩,2326,0.62,stockanalysis
45,2301,光寶科,2680.5,0.72,stockanalysis
46,2345,智邦,2918.1,0.78,stockanalysis
47,3231,緯創,2801.3,0.75,stockanalysis
48,6669,緯穎,3190.83,0.86,official
49,9910,豐泰,1728.1,0.46,stockanalysis
50,2408,南亞科,2416.5,0.65,stockanalysis
