strategy,final_return_%,sharpe,max_dd_%,n_days,first_date,last_date
DES price-weighted,93.95494792776906,4.0013946637560664,-4.694868536629837,563,2024-01-02,2026-03-31
DES market-weighted,76.10774690319334,3.13980221618476,-7.449948325816836,563,2024-01-02,2026-03-31
^DJI (yfinance),22.872766065426887,0.7160381382112794,-16.369224740128818,563,2024-01-02,2026-03-31
FinRL A2C,20.93942158386648,0.6330223713856536,-17.541267531270954,562,2024-01-02,2026-03-30
FinRL PPO,38.12524975503202,0.9481527551911269,-19.243943859612443,562,2024-01-02,2026-03-30
FinRL DDPG,11.600729330427528,0.40166761734598694,-14.345204657557131,562,2024-01-02,2026-03-30
FinRL TD3,22.35152825308151,0.7360123187978606,-12.679764566800811,562,2024-01-02,2026-03-30
FinRL SAC,34.196869179574605,0.8494347176938267,-20.901895096836963,562,2024-01-02,2026-03-30
FinRL MVO,39.68059363010874,0.8947643480435215,-21.29104408188638,562,2024-01-02,2026-03-30
FinRL DJI,19.757639784361558,0.6394973883545522,-16.369224740128818,562,2024-01-02,2026-03-30
