ticker,weight,initial_capital,final_asset,return_pct,n_buy,n_sell,sharpe,max_dd_pct
TOTAL,1.0,100000000.0,312575288.52469957,212.57528852469954,162,151,2.6576944497235995,-8.645705984837349
NVDA,0.051801147367378494,5180114.736737849,23330962.647861026,350.3947081016507,8,7,2.120576177318358,-24.719849191505162
AVGO,0.021285303680881003,2128530.3680881,2128530.3680881,0.0,0,0,0.0,0.0
AMD,0.0994428139178123,9944281.39178123,41892289.751331694,321.27015619202933,9,8,1.7411833396623992,-25.870199918315983
QCOM,0.06411335803399083,6411335.803399083,10850168.969275294,69.2341393742453,6,6,1.0373117400787146,-17.37065120505469
TXN,0.06090338878304826,6090338.878304826,11108935.122761872,82.40257799667647,8,8,1.226602422382734,-17.664293988498713
INTC,0.08732692750624739,8732692.750624739,27122681.681595225,210.58783878151286,8,8,1.4939500377487918,-27.78385485730602
MU,0.03924809601938995,3924809.601938995,23920832.69371888,509.4775319011944,8,7,1.888966682840809,-39.31615295380203
AMAT,0.05559447906116332,5559447.906116332,22232807.687442638,299.9103519430912,7,7,2.4399144138420903,-11.654386072428569
ADI,0.04012703352488875,4012703.352488875,7044921.704587461,75.5654750859631,7,7,1.1949380386656807,-16.04974752702303
LRCX,0.004235061040221835,423506.10402218346,2397110.1984493574,466.0155014728656,6,5,2.386654385241854,-20.005661222475602
KLAC,0.003258648410404628,325864.84104046284,934557.838441221,186.79308742153512,7,6,1.554972785751273,-24.743023366855876
MRVL,0.02175801261329005,2175801.261329005,8441297.674631305,287.96271629492765,9,8,1.6088628576214752,-25.72699249670116
NXPI,0.023997194541415953,2399719.4541415954,2399719.4541415954,0.0,0,0,0.0,0.0
MPWR,0.012468550706722276,1246855.0706722275,3831409.1109854514,207.2858426857735,6,6,1.3540565014600947,-19.61915990410219
ASML,0.12033905461754621,12033905.46175462,33953278.05114977,182.146790657928,6,5,1.5873752897336422,-19.952900392112582
ARM,0.032149110086999326,3214911.0086999326,3214911.0086999326,0.0,0,0,0.0,0.0
SWKS,0.006923006744339405,692300.6744339406,828563.9519251557,19.682672937250967,8,7,0.5416693553180149,-16.64428400037269
QRVO,0.004619547881574388,461954.7881574388,461954.7881574388,0.0,0,0,0.0,0.0
TER,0.006914787460449278,691478.7460449279,5594002.338161094,708.9912192033783,8,8,2.4387514120683047,-16.892994496733095
ENTG,0.007443379535215979,744337.9535215979,2016728.3704088987,170.94256860978146,9,9,1.5788650421842585,-19.29733357540543
COHR,0.0027964389965311493,279643.89965311496,2325365.313696542,731.5451603203387,7,7,2.0855133019566745,-26.515600784338833
CRUS,0.0018947754825000915,189477.54825000916,427615.7275636689,125.68147599178587,6,6,1.5225113902729492,-12.984374769885799
LSCC,0.004013812714346629,401381.2714346629,910118.1527250988,126.74654187826206,10,9,1.1122345507736624,-31.612583926134384
RMBS,0.003074040097202261,307404.0097202261,614373.7901882129,99.85874313980662,9,8,0.8807350161837865,-41.00021013572174
ALGM,0.0024552943177927606,245529.43177927606,245529.43177927606,0.0,0,0,0.0,0.0
MTSI,0.0028213688441234655,282136.8844123465,315284.7252784354,11.748850539386723,1,0,0.3794621616773821,-19.72876164398111
TSM,0.21899536801452396,21899536.801452395,74031337.97165498,238.0497891021383,9,9,2.056678875432103,-14.845938765126787
BENCH:^SOX,,,,88.61856013445988,0,0,0.9391739875333989,-39.65762078273654
