universe,method,final_$,return_%,sharpe,max_dd_%
dow30,DESQ,1686223.8781482424,68.62238781482424,2.911675657796,-7.8682145701632695
dow30,DRL Ensemble,1285719.096564456,28.571909656445584,0.7670020032738302,-22.146903066089386
dow30,Dynamic Stock Recommendation,1117792.7668634483,11.779276686344842,0.39741720660780394,-15.98262497077165
dow30,MACE,1655250.9131813976,65.52509131813974,1.2744641320320198,-19.44074989082071
dow30,^DJI,1198888.8716267652,19.888887162676518,0.642950256054066,-16.369224740128825
sp100,DESQ,1895017.237621504,89.50172376215042,3.774124522656635,-6.471215987524087
sp100,DRL Ensemble,1258247.0473399358,25.824704733993585,0.7587846801713406,-17.132987941906535
sp100,Dynamic Stock Recommendation,1644501.1755547423,64.45011755547424,0.8114981129659967,-31.098170617251625
sp100,MACE,1342488.1849219762,34.24881849219761,0.9244142200304122,-18.831711877178424
sp100,^OEX,1389905.8148608105,38.990581486081055,0.9619786308048739,-19.88678553816624
ndx100,DESQ,1920563.3387507235,92.05633387507235,3.1200057018981653,-8.03197881116108
ndx100,DRL Ensemble,1515953.993008431,51.59539930084311,0.9605495328113595,-18.945201619330028
ndx100,Dynamic Stock Recommendation,1794534.5394688535,79.45345394688535,1.337404493274128,-26.196225127844126
ndx100,MACE,1409596.1580273556,40.95961580273555,0.7328698651331019,-26.43680626949964
ndx100,^NDX,1387419.2978286871,38.74192978286872,0.8130904371478428,-22.931507189551585
