universe,universe_label,method,final_$,total_ret_%,excess_ret_%,ann_ret_%,ann_vol_%,sharpe,sortino,max_dd_%,calmar,days
dow30,Dow 30,DESQ,1686223.8781,68.6224,48.7335,26.4004,8.1789,2.9117,4.2275,-7.8682,3.3553,562
dow30,Dow 30,DRL Ensemble,1285719.0966,28.5719,8.6830,11.9286,16.4884,0.7670,1.0822,-22.1469,0.5386,562
dow30,Dow 30,Dynamic Stock Recommendation,1117792.7669,11.7793,-8.1096,5.1199,15.6673,0.3974,0.5176,-15.9826,0.3203,562
dow30,Dow 30,MACE,1655250.9132,65.5251,45.6362,25.3540,19.2109,1.2745,2.0499,-19.4407,1.3042,562
dow30,Dow 30,^DJI,1198888.8716,19.8889,,8.4737,14.2457,0.6430,0.8965,-16.3692,0.5177,562
sp100,S&P 100,DESQ,1895017.2376,89.5017,50.5111,33.1930,7.6905,3.7741,6.0590,-6.4712,5.1293,562
sp100,S&P 100,DRL Ensemble,1258247.0473,25.8247,-13.1659,10.8498,15.1024,0.7588,1.0089,-17.1330,0.6333,562
sp100,S&P 100,Dynamic Stock Recommendation,1644501.1756,64.4501,25.4595,24.9883,35.1786,0.8115,1.1475,-31.0982,0.8035,562
sp100,S&P 100,MACE,1342488.1849,34.2488,-4.7418,14.1182,15.6312,0.9244,1.2671,-18.8317,0.7497,562
sp100,S&P 100,^OEX,1389905.8149,38.9906,,15.9083,16.8427,0.9620,1.2543,-19.8868,0.7999,562
ndx100,NASDAQ 100,DESQ,1920563.3388,92.0563,53.3144,33.9951,9.5468,3.1200,5.0465,-8.0320,4.2325,562
ndx100,NASDAQ 100,DRL Ensemble,1515953.9930,51.5954,12.8535,20.5090,21.9690,0.9605,1.3188,-18.9452,1.0825,562
ndx100,NASDAQ 100,Dynamic Stock Recommendation,1794534.5395,79.4535,40.7115,29.9785,21.3415,1.3374,1.9919,-26.1962,1.1444,562
ndx100,NASDAQ 100,MACE,1409596.1580,40.9596,2.2177,16.6417,25.4438,0.7329,1.0199,-26.4368,0.6295,562
ndx100,NASDAQ 100,^NDX,1387419.2978,38.7419,,15.8152,20.7132,0.8131,1.1008,-22.9315,0.6897,562
