date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^DJI
2024-01-02,0.000000,0.000000,0.000000,0.000000,0.000000
2024-01-03,0.035008,-0.139647,-0.069565,-0.164988,-0.755263
2024-01-04,-0.103106,-0.152635,-0.757973,-0.183214,-0.728355
2024-01-05,-0.055718,-0.154542,-0.564153,-0.163414,-0.660028
2024-01-08,0.770747,0.383659,0.276135,0.625810,-0.084919
2024-01-09,0.988653,0.131145,-0.424284,0.355078,-0.503457
2024-01-10,1.709576,0.643814,0.544469,1.306045,-0.051196
2024-01-11,1.936912,0.747214,0.928412,1.736358,-0.010658
2024-01-12,2.096713,0.659317,1.351416,1.769572,-0.323634
2024-01-16,2.083169,0.292737,0.666368,1.354710,-0.938400
2024-01-17,1.858814,0.039596,0.234664,1.019078,-1.188829
2024-01-18,2.323792,0.462122,0.688575,1.743897,-0.653399
2024-01-19,2.962698,1.424099,1.518494,3.583047,0.394436
2024-01-22,2.843040,1.665129,1.240860,3.622779,0.760359
2024-01-23,3.273611,1.477063,0.947052,2.176964,0.504865
2024-01-24,3.452274,1.170286,0.927379,1.684691,0.242215
2024-01-25,4.037712,1.952168,2.033216,3.194581,0.885827
2024-01-26,4.195239,2.076596,2.378751,3.210124,1.045712
2024-01-29,4.882352,2.557402,2.862220,3.864182,1.639691
2024-01-30,4.946841,2.986624,2.919410,4.161860,1.994614
2024-01-31,4.363843,1.960011,0.881831,2.733014,1.154080
2024-02-01,5.154916,2.739210,1.544067,4.210062,2.133899
2024-02-02,6.812486,3.266229,1.976815,4.860579,2.490738
2024-02-05,6.354427,2.603325,1.155057,4.830726,1.763440
2024-02-06,6.281884,2.909536,1.949504,5.014459,2.137928
2024-02-07,6.953743,3.445148,2.726632,5.266638,2.551556
2024-02-08,7.084209,3.503026,2.850374,5.147394,2.681395
2024-02-09,7.741760,3.381804,3.029132,4.651481,2.536528
2024-02-12,7.344693,3.798199,3.332697,5.292560,2.869783
2024-02-13,6.210488,2.336650,1.810382,3.431515,1.478749
2024-02-14,6.809121,2.750325,2.365454,4.116133,1.880498
2024-02-15,6.862514,3.804370,2.729576,5.471246,2.805464
2024-02-16,6.652678,3.525193,2.164007,4.963905,2.420650
2024-02-20,6.342303,3.371475,2.120916,4.316989,2.250460
2024-02-21,6.449644,3.750307,2.698005,4.649748,2.378890
2024-02-22,7.998172,5.001729,3.764752,6.152201,3.590266
2024-02-23,8.027004,5.158879,3.963080,6.350427,3.755775
2024-02-26,7.842241,4.924573,3.368548,6.362856,3.590587
2024-02-27,7.754964,4.819052,3.344333,6.699160,3.333872
2024-02-28,7.813555,4.793487,3.369278,6.722212,3.271853
2024-02-29,8.601850,5.065548,3.826496,7.470383,3.397455
2024-03-01,9.005955,5.341391,4.106735,8.154685,3.638707
2024-03-04,8.993396,5.062448,3.162099,7.801211,3.380055
2024-03-05,7.850110,4.165373,2.304942,6.826598,2.307176
2024-03-06,7.898176,4.443343,2.109592,7.269043,2.508314
2024-03-07,8.691687,4.948952,2.486201,7.702132,2.853802
2024-03-08,8.309654,4.707575,2.626132,7.621143,2.671752
2024-03-11,7.961893,4.860742,3.348048,7.337495,2.796288
2024-03-12,9.176826,5.610824,4.101641,8.457541,3.421577
2024-03-13,9.305442,5.932431,4.448888,9.790545,3.521888
2024-03-14,9.818445,5.459139,4.581133,9.213236,3.156887
2024-03-15,8.903661,5.271706,3.509134,9.673153,2.650748
2024-03-18,9.066933,5.379140,3.323022,10.278541,2.851358
2024-03-19,9.608397,6.334695,4.035725,11.179174,3.700706
2024-03-20,10.247287,7.356404,4.350517,12.379877,4.764916
2024-03-21,10.713088,8.391400,5.258769,13.703875,5.478801
2024-03-22,10.537368,7.567763,4.130572,12.539184,4.668852
2024-03-25,10.250581,6.984936,3.662544,11.998866,4.238632
2024-03-26,10.047661,6.968963,3.202050,11.611497,4.155608
2024-03-27,10.560872,8.545754,4.088196,13.708516,5.422344
2024-03-28,10.627518,8.697519,4.161368,13.940555,5.547739
2024-04-01,10.822788,7.870585,3.566777,13.530586,4.910011
2024-04-02,10.590369,6.776695,1.872220,12.695435,3.858406
2024-04-03,10.686623,7.641951,1.431154,13.665497,3.744134
2024-04-04,10.438922,5.954674,0.718279,11.954132,2.338434
2024-04-05,11.014830,7.220112,0.878446,13.345005,3.152589
2024-04-08,10.983726,6.854244,0.988864,12.928992,3.122791
2024-04-09,10.997751,6.677641,1.531745,12.752865,3.098586
2024-04-10,10.930920,5.771837,0.017784,11.804380,1.979244
2024-04-11,11.126375,5.944753,0.420312,12.068499,1.972791
2024-04-12,10.750450,4.579829,-0.234909,10.684791,0.711120
2024-04-15,10.559508,3.956032,-0.607895,9.959168,0.053216
2024-04-16,10.487157,3.296388,-0.703985,9.179670,0.222536
2024-04-17,10.394219,2.394422,-0.299793,8.331440,0.101470
2024-04-18,10.275746,2.408864,0.526545,8.286204,0.159989
2024-04-19,10.066926,2.953251,1.129654,8.727441,0.719499
