date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^OEX
2024-01-02,0.000000,0.000000,0.000000,0.000000,0.000000
2024-01-03,0.053178,-0.454879,-1.861766,-1.073730,-0.559989
2024-01-04,-0.009179,-0.491825,-2.309676,-1.056547,-0.983130
2024-01-05,0.059584,-0.398848,-1.826917,-0.923323,-0.760757
2024-01-08,0.600733,0.499112,1.256843,0.413360,0.770219
2024-01-09,0.749308,0.401654,1.459704,0.276269,0.749514
2024-01-10,1.161983,0.743698,0.646736,0.893854,1.432394
2024-01-11,1.289100,0.727992,0.681119,0.803922,1.372971
2024-01-12,1.413372,0.769578,0.269652,0.996954,1.482355
2024-01-16,1.460415,0.419870,1.972372,0.763166,1.165005
2024-01-17,1.248888,0.029936,0.708292,0.185070,0.663978
2024-01-18,1.727891,0.509612,3.184596,0.834378,1.639909
2024-01-19,2.523756,1.667557,7.703523,2.252661,3.089415
2024-01-22,2.431707,1.681523,7.237547,2.138393,3.143432
2024-01-23,2.766941,1.732075,8.092225,1.772583,3.588630
2024-01-24,3.113530,1.710047,9.750759,1.499791,3.931653
2024-01-25,3.780156,1.968185,10.491072,1.828924,4.330934
2024-01-26,3.900305,2.121368,3.289902,1.887877,4.270170
2024-01-29,4.459086,2.962512,3.283944,2.691545,5.076843
2024-01-30,4.289834,3.128481,0.730657,2.855254,4.916585
2024-01-31,2.816292,1.936458,0.968552,1.556090,3.016485
2024-02-01,3.539678,3.143374,-0.239962,2.871616,4.291776
2024-02-02,4.557250,3.560405,0.050787,3.190151,5.887121
2024-02-05,4.544987,3.385327,0.369814,3.052278,5.712466
2024-02-06,4.471671,3.424135,-0.317502,3.284882,5.874515
2024-02-07,5.116618,4.195983,0.552689,4.108340,6.859008
2024-02-08,5.253973,4.449639,0.641609,4.068305,6.812641
2024-02-09,5.982247,4.840402,2.546394,4.492315,7.533789
2024-02-12,5.651497,4.718811,3.716316,4.446892,7.305107
2024-02-13,4.616429,3.333340,2.039475,2.987224,5.924487
2024-02-14,5.234540,4.393089,4.940127,3.765385,6.847754
2024-02-15,5.407795,4.923453,5.062806,4.444653,7.217780
2024-02-16,5.363740,4.400217,3.341377,3.943388,6.675792
2024-02-20,4.963303,3.540741,3.139583,3.354232,5.928982
2024-02-21,5.045300,3.648019,1.925957,3.687991,6.060435
2024-02-22,6.249036,5.456930,4.329673,5.422314,8.706443
2024-02-23,6.269332,5.591503,3.706935,5.697678,8.646569
2024-02-26,6.191213,5.630179,4.169545,5.655400,8.135640
2024-02-27,6.198794,5.504814,4.475831,5.684831,8.240079
2024-02-28,6.189655,5.448199,3.140008,5.968572,7.992944
2024-02-29,6.733453,5.639912,6.698020,6.216084,8.634414
2024-03-01,7.258636,6.798708,10.064851,7.349664,9.540119
2024-03-04,7.444505,6.843219,13.063691,7.724268,9.233573
2024-03-05,6.682771,5.525409,9.308953,6.766251,8.020848
2024-03-06,6.896199,6.059339,12.959826,7.263574,8.493510
2024-03-07,7.469039,6.905534,16.649629,8.022544,9.734589
2024-03-08,7.020890,5.946407,12.711307,7.045297,8.826181
2024-03-11,6.705030,5.608366,12.575069,6.566550,8.655570
2024-03-12,7.683773,6.769068,13.994885,7.791336,10.208603
2024-03-13,7.662955,6.419064,10.025011,7.417427,9.947061
2024-03-14,7.831974,5.885543,8.371829,6.743315,9.867382
2024-03-15,7.337627,4.450415,8.453371,5.677625,8.938719
2024-03-18,7.460765,5.116179,8.401786,6.182926,9.816070
2024-03-19,7.701318,5.728630,5.875196,6.706612,10.427834
2024-03-20,8.329240,6.549079,6.704023,7.630222,11.485246
2024-03-21,8.646171,7.147983,7.586026,8.650204,11.541515
2024-03-22,8.800074,6.385597,7.670823,7.938202,11.612181
2024-03-25,8.537463,6.158259,6.158124,7.556173,11.254311
2024-03-26,8.482632,6.245947,6.109968,7.594008,10.848721
2024-03-27,8.961980,7.253747,8.620696,8.725179,11.585179
2024-03-28,9.043764,7.386830,9.176402,8.767746,11.586531
2024-04-01,9.538692,6.700949,10.379204,8.025510,11.509545
2024-04-02,9.230142,5.658483,10.235378,7.117987,10.774901
2024-04-03,9.296613,5.838293,10.959702,7.300614,10.839270
2024-04-04,8.703147,4.362775,8.332213,5.804865,9.405524
2024-04-05,9.317594,5.267975,8.665171,6.722613,10.706476
2024-04-08,9.542617,5.358794,7.923812,6.814673,10.585838
2024-04-09,9.698280,5.468920,8.049510,6.925720,10.685321
2024-04-10,9.529467,4.218138,7.509681,5.658386,9.909255
2024-04-11,9.929909,4.635374,9.926472,6.081956,11.087305
2024-04-12,9.452156,3.238292,6.259258,4.665915,9.514919
2024-04-15,9.054619,2.497987,5.266326,3.914794,8.096482
2024-04-16,8.948562,2.153020,5.858303,3.564973,7.939829
2024-04-17,9.031169,1.815539,2.951374,3.222652,7.296106
2024-04-18,9.026044,1.362171,0.710126,2.762440,7.075524
2024-04-19,8.811531,0.977681,-1.576369,2.372159,5.726863
2024-04-22,9.304262,1.863581,-0.771420,3.270645,6.714060
2024-04-23,9.770569,3.193722,1.515476,4.619399,8.110879
2024-04-24,9.750671,3.313062,1.295995,4.740389,8.064973
2024-04-25,9.344918,2.790429,0.699051,4.210617,7.333912
2024-04-26,11.090020,3.694242,2.176016,5.127472,8.861294
2024-04-29,10.639741,4.119990,1.670388,5.559015,9.114275
2024-04-30,9.898506,3.244949,0.597998,4.672165,7.403238
2024-05-01,10.148904,2.724295,-1.168936,4.144152,7.090383
2024-05-02,10.841520,3.106492,0.976990,4.532143,8.186513
2024-05-03,11.056651,3.751807,2.520431,5.186730,9.786363
2024-05-06,11.367756,4.968992,6.244371,6.421425,10.987372
2024-05-07,11.687046,5.482729,0.954593,6.942884,11.017079
2024-05-08,11.628652,5.265913,1.026993,6.722297,11.093603
2024-05-09,12.138450,5.949276,0.492899,7.415874,11.479388
2024-05-10,12.061510,6.428958,2.060990,7.902492,11.629293
2024-05-13,12.185922,6.159246,2.885428,7.628462,11.731479
2024-05-14,12.691579,6.688024,3.504327,8.164362,12.336484
2024-05-15,13.697522,8.185786,3.746137,9.682778,13.681089
2024-05-16,13.723437,7.807535,4.046434,9.300316,13.452869
2024-05-17,13.979649,8.059611,2.801747,9.555859,13.557297
2024-05-20,14.221725,8.109437,4.348820,9.606972,13.695948
2024-05-21,14.735266,8.485723,3.709468,9.988778,14.146553
2024-05-22,14.512626,8.089816,3.154554,9.587517,13.791837
2024-05-23,13.462690,6.997374,2.113108,8.480500,13.223286
2024-05-24,13.989447,7.462619,4.072599,8.952999,14.029959
2024-05-28,14.104572,7.037109,5.829209,8.522163,14.486422
2024-05-29,13.689787,6.103258,4.644116,7.575234,13.868361
2024-05-30,12.818832,6.016485,2.579199,7.487224,12.776736
2024-05-31,13.140250,6.819365,2.958760,8.300523,13.513183
2024-06-03,13.425017,6.836886,3.911181,8.318705,13.998901
2024-06-04,13.674074,7.211704,3.455790,8.698781,14.355431
2024-06-05,14.568570,8.193719,5.893015,9.695444,15.829236
2024-06-06,14.768115,8.295948,4.096846,9.799166,15.932763
2024-06-07,14.726662,8.293299,4.640675,9.796881,15.907562
2024-06-10,14.888564,8.411812,6.946675,9.917323,16.122737
2024-06-11,15.926222,8.139610,6.239705,9.641535,16.672825
2024-06-12,16.922615,8.907794,8.812929,10.420587,17.712224
2024-06-13,16.742177,9.260210,9.596679,10.777965,18.219099
2024-06-14,16.773222,9.776699,8.727915,11.301831,18.496401
2024-06-17,17.467727,10.709624,12.375056,12.248508,19.358893
2024-06-18,17.216823,11.229131,14.942747,12.775439,19.557407
2024-06-20,17.085624,10.829714,10.846912,12.369321,19.222495
2024-06-21,17.453932,10.779951,8.904050,12.317667,18.952402
2024-06-24,17.269627,10.831009,8.533675,12.369279,18.285270
2024-06-25,17.999865,10.722082,9.597642,12.259296,19.142366
2024-06-26,18.491833,10.659500,10.157326,12.196298,19.694255
2024-06-27,18.854894,10.309781,5.508867,11.840643,19.794639
2024-06-28,18.057180,10.455676,3.922613,11.988441,19.075293
2024-07-01,19.005486,10.273198,3.265495,11.803284,19.912134
2024-07-02,19.674071,11.009370,5.489337,12.550291,20.719709
2024-07-03,19.772480,11.147554,7.396010,13.018434,21.531789
2024-07-05,20.659076,12.197955,8.433619,13.775342,22.482059
2024-07-08,20.624991,12.087501,9.110575,13.811966,22.606302
2024-07-09,20.776225,11.964724,9.515097,13.965848,22.839940
2024-07-10,21.505471,12.446978,11.208315,14.857147,24.141333
2024-07-11,20.457296,11.516449,7.590442,14.346369,22.153004
2024-07-12,20.814201,12.095536,9.363945,15.146859,22.702190
2024-07-15,21.317028,12.857107,10.282304,15.495411,23.161796
2024-07-16,21.787494,13.628637,12.086405,16.500221,23.517864
2024-07-17,21.324910,12.740002,6.830558,15.391924,21.681694
2024-07-18,20.292059,11.118899,6.479506,13.618839,20.736820
2024-07-19,20.198728,10.521970,4.170910,13.243958,19.806794
2024-07-22,20.225116,11.252125,7.911118,14.462598,21.090635
2024-07-23,20.321530,11.215740,6.452428,14.535003,21.026717
2024-07-24,19.681940,9.084211,1.776388,12.522849,17.793254
2024-07-25,19.686063,8.560515,0.662633,12.010058,16.996934
2024-07-26,20.134623,9.520997,3.291608,13.183077,18.196591
2024-07-29,20.141211,9.537863,3.690663,13.405216,18.263213
2024-07-30,20.290358,9.411336,0.189324,13.208811,17.357057
2024-07-31,20.457773,10.815133,5.085280,14.978975,19.590267
2024-08-01,20.495664,9.854783,-0.446651,13.916757,17.890934
2024-08-02,20.295596,8.077562,-3.587047,12.106812,15.764856
2024-08-05,19.359087,5.232642,-5.910234,9.151971,11.900737
2024-08-06,19.681018,6.510921,-4.494386,10.275150,12.922135
2024-08-07,19.471386,5.715132,-6.501141,9.328238,12.039378
