Date,equity_minvar
2024-01-02,1000000.0
2024-01-03,993192.7663602022
2024-01-04,987006.0495423166
2024-01-05,989377.0011554665
2024-01-08,1000391.9052018898
2024-01-09,996278.4461314691
2024-01-10,996357.3737674757
2024-01-11,995275.3527407252
2024-01-12,995878.2937077067
2024-01-16,989837.243405134
2024-01-17,982337.9835959328
2024-01-18,990370.4040831496
2024-01-19,1004017.9688677052
2024-01-22,1006478.7289394552
2024-01-23,1014385.8315248264
2024-01-24,1011920.6901490272
2024-01-25,1017952.8562626861
2024-01-26,1017083.0228281415
2024-01-29,1023887.8307953238
2024-01-30,1022734.9809603626
2024-01-31,1008855.5682693947
2024-02-01,1015903.130658148
2024-02-02,1031373.8434834874
2024-02-05,1026420.0850217575
2024-02-06,1036923.368336678
2024-02-07,1042543.1909642703
2024-02-08,1052324.409928674
2024-02-09,1053798.9444168636
2024-02-12,1057019.4648044368
2024-02-13,1040460.9135978981
2024-02-14,1051791.7600433927
2024-02-15,1060232.336660301
2024-02-16,1056647.586805977
2024-02-20,1051754.554876993
2024-02-21,1057857.4047844505
2024-02-22,1074688.8282829216
2024-02-23,1075863.554384084
2024-02-26,1072626.0204995098
2024-02-27,1074366.3859829686
2024-02-28,1074106.9005154967
2024-02-29,1077558.606963634
2024-03-01,1088896.9759626624
2024-03-04,1089438.7093651423
2024-03-05,1082011.8597772645
2024-03-06,1093054.0954085668
2024-03-07,1104861.8023252818
2024-03-08,1098998.8068176457
2024-03-11,1103129.735504557
2024-03-12,1112415.4371025607
2024-03-13,1108933.9575646655
2024-03-14,1103276.581780034
2024-03-15,1097885.3812188338
2024-03-18,1098944.389091515
2024-03-19,1103732.026362479
2024-03-20,1111698.5555446888
2024-03-21,1121741.6784197907
2024-03-22,1118253.0813547203
2024-03-25,1120374.9744772715
2024-03-26,1114068.1591372609
2024-03-27,1124180.9843713795
2024-03-28,1127099.4398934392
2024-04-01,1125300.5122566363
2024-04-02,1119481.1052137462
2024-04-03,1116076.2216654678
2024-04-04,1099808.3416914695
2024-04-05,1107838.1666005398
2024-04-08,1105573.8434213712
2024-04-09,1112356.1579772437
2024-04-10,1092969.707095257
2024-04-11,1099002.3633658206
2024-04-12,1078576.8519879016
2024-04-15,1070644.422579156
2024-04-16,1066970.6540982728
2024-04-17,1062475.4152151903
2024-04-18,1059086.8426764694
2024-04-19,1051475.8595306273
2024-04-22,1061353.9363690894
2024-04-23,1081205.505217112
2024-04-24,1077132.701461442
2024-04-25,1073292.936475866
2024-04-26,1077144.5509892877
2024-04-29,1083501.4396528525
2024-04-30,1064357.4921164983
2024-05-01,1068528.7581707456
2024-05-02,1085985.312249665
2024-05-03,1093397.857913583
2024-05-06,1104403.8237062239
2024-05-07,1098588.0750900109
2024-05-08,1102789.3866606357
2024-05-09,1110004.6187147333
2024-05-10,1107506.4733983965
2024-05-13,1111833.7548723998
2024-05-14,1116567.8936453704
