Date,equity_mvo
2024-01-02,1000000.0
2024-01-03,981873.2806777768
2024-01-04,977391.9398244182
2024-01-05,982221.9410137859
2024-01-08,1013074.964621427
2024-01-09,1015104.5903394665
2024-01-10,1006970.8438492814
2024-01-11,1007314.8517728243
2024-01-12,1003198.1207384779
2024-01-16,1020233.8391017448
2024-01-17,1007586.7176797108
2024-01-18,1032362.1454148224
2024-01-19,1077574.0197045747
2024-01-22,1072911.9266030593
2024-01-23,1081462.9862651504
2024-01-24,1098056.6217018086
2024-01-25,1105463.4553771315
2024-01-26,1033415.7284476616
2024-01-29,1033356.1149516066
2024-01-30,1007810.4796045511
2024-01-31,1010190.6103330327
2024-02-01,998099.4273525778
2024-02-02,1001008.3771828238
2024-02-05,1004200.2374068862
2024-02-06,997323.6441520089
2024-02-07,1006029.9043260346
2024-02-08,1006919.5472364975
2024-02-09,1025976.9274361103
2024-02-12,1037682.0013358502
2024-02-13,1020905.1995150895
2024-02-14,1049926.236766332
2024-02-15,1051153.6345288132
2024-02-16,1033930.7306110151
2024-02-20,1031911.7841138251
2024-02-21,1019769.4581040684
2024-02-22,1043818.6388072862
2024-02-23,1037588.1437427578
2024-02-26,1042216.5551092051
2024-02-27,1045280.9517712265
2024-02-28,1031916.0336302595
2024-02-29,1067513.95260677
2024-03-01,1101199.1062375915
2024-03-04,1131202.5155881639
2024-03-05,1093636.3488717615
2024-03-06,1130163.3377858228
2024-03-07,1167079.832746789
2024-03-08,1127676.9049963318
2024-03-11,1126313.8426733452
2024-03-12,1140519.1050129407
2024-03-13,1100800.5054599573
2024-03-14,1084260.4174980451
2024-03-15,1085076.2488407535
2024-03-18,1084560.1356526488
2024-03-19,1059281.603594936
2024-03-20,1067574.0170958461
2024-03-21,1076398.4594949386
2024-03-22,1077246.8494711404
2024-03-25,1062112.2982546634
2024-03-26,1061630.4994450079
2024-03-27,1086750.3320557
2024-03-28,1092310.17479872
2024-04-01,1105449.66460574
2024-04-02,1104009.2460239925
2024-04-03,1111263.3626308523
2024-04-04,1084949.0133910002
2024-04-05,1088283.5917845874
2024-04-08,1080858.865311459
2024-04-09,1082117.7370140818
2024-04-10,1076711.3345338968
2024-04-11,1100915.5465351394
2024-04-12,1064188.330324152
2024-04-15,1054244.0959934029
2024-04-16,1060172.762159566
2024-04-17,1031059.8161568297
2024-04-18,1008613.6757117664
2024-04-19,985714.3860493277
2024-04-22,993775.9700307853
2024-04-23,1016679.2722236181
2024-04-24,1014481.1611899105
2024-04-25,1008502.7576451316
2024-04-26,1023294.5863913334
2024-04-29,1018230.7126450588
2024-04-30,1007490.712377792
2024-05-01,989794.8382408628
2024-05-02,1011286.3200331556
2024-05-03,1026743.9167380889
2024-05-06,1064039.2366473875
2024-05-07,1011062.02209014
2024-05-08,1011787.1048564095
2024-05-09,1006438.1465021741
2024-05-10,1022142.6059432606
2024-05-13,1030399.364307181
2024-05-14,1036597.650119517
2024-05-15,1039019.3836821578
2024-05-16,1042026.859329356
2024-05-17,1029561.3015146228
2024-05-20,1045055.2556411279
2024-05-21,1038652.1437681809
2024-05-22,1033094.6686184604
2024-05-23,1022664.5658604589
2024-05-24,1042288.9062578643
2024-05-28,1059881.3823355509
2024-05-29,1048012.6587825187
2024-05-30,1027332.4705596115
2024-05-31,1031133.7887514664
2024-06-03,1040672.2977450695
2024-06-04,1036111.5479931787
2024-06-05,1060520.396641695
2024-06-06,1042531.7408930385
2024-06-07,1047978.1931771551
2024-06-10,1071072.8244748642
2024-06-11,1063992.5088082873
2024-06-12,1089763.3916850034
2024-06-13,1097612.6648734175
2024-06-14,1088911.9692613515
2024-06-17,1125438.1507358905
2024-06-18,1151153.6205681246
2024-06-20,1110133.7683320567
2024-06-21,1090675.971938678
2024-06-24,1086966.652084944
2024-06-25,1097622.2999550707
2024-06-26,1103227.5515475243
2024-06-27,1056673.1543688232
2024-06-28,1040786.7921911359
2024-07-01,1035240.9867624928
2024-07-02,1057535.0893014902
2024-07-03,1076649.5689550294
2024-07-05,1087051.643261612
2024-07-08,1093838.1595894666
2024-07-09,1097893.5084262448
2024-07-10,1114868.0874574655
2024-07-11,1078598.7634484218
2024-07-12,1096378.2060538048
2024-07-15,1105584.7943447786
2024-07-16,1123670.9846553865
2024-07-17,1070980.8905177615
2024-07-18,1067461.5770447366
2024-07-19,1044317.8014870544
2024-07-22,1081813.553963851
2024-07-23,1067190.11715395
2024-07-24,1020312.6164489661
2024-07-25,1009147.1785526524
2024-07-26,1035502.7618696878
2024-07-29,1039503.3092034936
2024-07-30,1004402.2374542416
2024-07-31,1053484.4072264195
2024-08-01,998026.5566810843
2024-08-02,966543.9615251274
2024-08-05,943253.9116841054
2024-08-06,957447.8471755879
2024-08-07,937330.0443703005
2024-08-08,985262.2207446821
2024-08-09,984521.2366929128
2024-08-12,976439.3151654163
2024-08-13,1006099.106521439
2024-08-14,999371.0916501344
2024-08-15,1032636.7498672884
2024-08-16,1025006.6785163087
2024-08-19,1037260.313383701
2024-08-20,1034269.1451043877
2024-08-21,1047954.6306072833
2024-08-22,1023793.2528398387
2024-08-23,1045839.9631548449
2024-08-26,1030135.7009444583
2024-08-27,1041282.8972593939
2024-08-28,1031054.527617727
2024-08-29,1039725.3334437867
2024-08-30,1069282.0477764716
2024-09-03,1020270.5705383155
2024-09-04,1039358.7416631365
2024-09-05,1038132.6507704402
2024-09-06,1008128.6396465346
2024-09-09,1027007.6146996054
2024-09-10,1034897.3608751714
2024-09-11,1054954.9129800487
2024-09-12,1050071.8747087
2024-09-13,1071021.5204326932
2024-09-16,1069932.8094983576
2024-09-17,1083763.636779636
2024-09-18,1080381.7608354492
2024-09-19,1120243.8569165766
2024-09-20,1103620.9563801545
2024-09-23,1112401.6347978178
2024-09-24,1120038.5405968537
2024-09-25,1115836.410670204
2024-09-26,1126317.6509590577
2024-09-27,1126631.6461424127
2024-09-30,1128159.6973785034
2024-10-01,1112222.3555142945
2024-10-02,1090973.322986842
2024-10-03,1100184.3140401512
2024-10-04,1145196.4163098997
2024-10-07,1131746.3316979439
2024-10-08,1138831.2083952704
2024-10-09,1149480.69241701
2024-10-10,1141108.6118004099
2024-10-11,1150486.013386292
