Date,equity_ew
2024-01-02,1000000.0
2024-01-03,997675.9304283138
2024-01-04,990275.8035454984
2024-01-05,992210.6398112387
2024-01-08,1000787.6694585226
2024-01-09,993107.3082680078
2024-01-10,1002984.0568661641
2024-01-11,1007803.5479878548
2024-01-12,1010995.8266235226
2024-01-16,1002789.4992017566
2024-01-17,998012.3585242754
2024-01-18,1002097.5703496581
2024-01-19,1010429.8414034329
2024-01-22,1006889.311540497
2024-01-23,1004620.5968525438
2024-01-24,1003560.8152402514
2024-01-25,1014482.8072827768
2024-01-26,1019187.6504727479
2024-01-29,1024034.028385844
2024-01-30,1025049.7564095668
2024-01-31,1004253.5070221724
2024-02-01,1010780.5362647432
2024-02-02,1014135.1627145517
2024-02-05,1006043.984163821
2024-02-06,1015026.6582224453
2024-02-07,1022798.7207922743
2024-02-08,1024395.4601802144
2024-02-09,1025761.881900139
2024-02-12,1030514.7664601154
2024-02-13,1015046.9229161155
2024-02-14,1021023.1345004269
2024-02-15,1024580.9579966993
2024-02-16,1018039.8711238852
2024-02-20,1017379.2281366478
2024-02-21,1024085.1536243007
2024-02-22,1033675.1559125074
2024-02-23,1035799.6985215244
2024-02-26,1029794.5335069548
2024-02-27,1029953.2966989678
2024-02-28,1029770.1118028755
2024-02-29,1033705.8598238493
2024-03-01,1035538.0682544787
2024-03-04,1025242.5647174065
2024-03-05,1017202.3395329767
2024-03-06,1015136.2024910673
2024-03-07,1018536.2446834159
2024-03-08,1020441.0209510847
2024-03-11,1028375.3906567208
2024-03-12,1034233.8032701046
2024-03-13,1038830.62195502
2024-03-14,1038844.5413695229
2024-03-15,1028813.0988726416
2024-03-18,1026647.3417805487
2024-03-19,1034398.1585735898
2024-03-20,1037590.2681778576
2024-03-21,1046991.6751358464
2024-03-22,1032295.3022593366
2024-03-25,1027885.2513460852
2024-03-26,1022559.582760461
2024-03-27,1032032.6462084895
2024-03-28,1032638.3622549793
2024-04-01,1025067.0211742121
2024-04-02,1008251.6770499733
2024-04-03,1003991.8108737699
2024-04-04,996643.2930058955
2024-04-05,998054.4015767518
2024-04-08,999870.5650742886
2024-04-09,1005489.512467017
2024-04-10,989940.3944075515
2024-04-11,996021.0606456657
2024-04-12,990048.3557220749
2024-04-15,986754.7328507502
2024-04-16,985833.1200907552
2024-04-17,990193.3525622672
2024-04-18,998175.2654223882
2024-04-19,1002771.6500740178
2024-04-22,1003254.546205481
2024-04-23,1005060.7879368537
2024-04-24,1005603.4653603343
2024-04-25,1006980.9170819025
2024-04-26,1008602.691729554
2024-04-29,1012509.7528430864
2024-04-30,995096.2876141039
2024-05-01,994990.2942144151
2024-05-02,1007119.5815161571
2024-05-03,1019036.620898553
2024-05-06,1021459.8154147054
2024-05-07,1025030.1656380037
2024-05-08,1025052.0240065012
2024-05-09,1035950.9851413048
2024-05-10,1032160.9843595132
2024-05-13,1035816.8222719674
2024-05-14,1036821.43114515
2024-05-15,1042926.656159305
2024-05-16,1043157.6435761573
2024-05-17,1047907.6793559885
2024-05-20,1038795.3006841844
2024-05-21,1042179.1351970518
2024-05-22,1036644.4411930835
2024-05-23,1022443.566252004
2024-05-24,1020255.1610053171
2024-05-28,1019403.6000093184
2024-05-29,1008930.5588542868
2024-05-30,1017123.5949102453
2024-05-31,1034388.9608665073
2024-06-03,1029094.1320410474
2024-06-04,1031594.195394899
2024-06-05,1029208.2101575924
2024-06-06,1031899.5966435203
2024-06-07,1030925.1857776343
2024-06-10,1030971.9962436603
2024-06-11,1046075.1100654744
2024-06-12,1046874.3232015631
2024-06-13,1050748.5970382034
2024-06-14,1046780.3690508835
2024-06-17,1054304.3576842379
2024-06-18,1050503.2662408603
2024-06-20,1054259.161732012
2024-06-21,1055049.4594869874
2024-06-24,1060749.8756307473
2024-06-25,1046381.4954882025
2024-06-26,1047656.937627033
2024-06-27,1048727.6325744283
2024-06-28,1020135.072223918
2024-07-01,1019520.1882677515
2024-07-02,1017751.4067724432
2024-07-03,1018384.4686695467
2024-07-05,1020948.4381153219
2024-07-08,1014917.1109317899
2024-07-09,1011396.1177516949
2024-07-10,1023228.3070289129
2024-07-11,1037858.1557374869
2024-07-12,1045130.7095259097
2024-07-15,1039255.363554976
2024-07-16,1058987.8530147236
2024-07-17,1071843.6112507172
2024-07-18,1062542.1879649397
2024-07-19,1055049.8897019129
2024-07-22,1062525.080935835
2024-07-23,1062376.2362713339
2024-07-24,1042635.2572436556
2024-07-25,1053330.3908099318
2024-07-26,1067959.601434025
2024-07-29,1078524.596544298
2024-07-30,1088435.0903889341
2024-07-31,1088205.2459130846
2024-08-01,1086709.5943069267
2024-08-02,1093411.7418944607
2024-08-05,1064757.1312684338
2024-08-06,1071629.9350011225
2024-08-07,1061871.0672934153
2024-08-08,1074974.2596212844
2024-08-09,1075666.580356469
2024-08-12,1073800.0347923331
2024-08-13,1086848.9771984804
2024-08-14,1092810.6772327707
2024-08-15,1113220.8388573797
2024-08-16,1118244.890711859
2024-08-19,1125634.9853312343
2024-08-20,1128322.5611287237
2024-08-21,1136772.2962994396
2024-08-22,1133414.643681083
2024-08-23,1142425.3518794598
2024-08-26,1143798.2325572032
2024-08-27,1146938.1846073736
2024-08-28,1140535.5531601326
2024-08-29,1143459.835595252
2024-08-30,1153142.5840528142
2024-09-03,1146293.0835793514
2024-09-04,1148197.66160403
2024-09-05,1140812.119795455
2024-09-06,1140708.9488985017
2024-09-09,1150585.2131147773
2024-09-10,1155483.6334640747
2024-09-11,1151238.606235741
2024-09-12,1156757.1440325808
2024-09-13,1166929.9108709758
2024-09-16,1175671.2130596428
2024-09-17,1176334.6585740205
2024-09-18,1171511.7654029634
2024-09-19,1175057.8208857623
2024-09-20,1187374.4072412532
2024-09-23,1192581.9557529527
2024-09-24,1189687.7377797638
2024-09-25,1184322.4719019895
2024-09-26,1193306.438554938
2024-09-27,1196455.6763275492
2024-09-30,1197608.3521083493
2024-10-01,1199945.2914811422
2024-10-02,1182393.961659933
2024-10-03,1176131.9030505614
2024-10-04,1176837.867318032
2024-10-07,1165103.416469675
2024-10-08,1165821.9054138367
2024-10-09,1179742.0639458909
2024-10-10,1178278.6541268975
2024-10-11,1183242.5121314707
2024-10-14,1185882.6311932746
2024-10-15,1182928.4343583703
2024-10-16,1199885.1578061914
2024-10-17,1203234.925546531
2024-10-18,1201952.273618148
2024-10-21,1191710.6029384783
2024-10-22,1194856.5747582575
2024-10-23,1187393.3805602922
2024-10-24,1182665.6155635663
2024-10-25,1179120.3760686365
2024-10-28,1178603.0589169108
2024-10-29,1176300.9225504526
2024-10-30,1179111.7914234728
2024-10-31,1161489.1985779887
2024-11-01,1173828.3298871159
2024-11-04,1174213.733066051
2024-11-05,1178579.2669744606
2024-11-06,1197609.6330362444
2024-11-07,1200599.1583651637
2024-11-08,1203814.3654307255
2024-11-11,1203260.126695794
2024-11-12,1200376.4936880614
2024-11-13,1207065.6130416184
2024-11-14,1204152.6483607516
2024-11-15,1195864.08710269
2024-11-18,1195244.417213443
2024-11-19,1191040.12354794
2024-11-20,1191269.117892236
2024-11-21,1200984.6273948173
2024-11-22,1211709.895662228
2024-11-25,1220574.22861387
2024-11-26,1227243.6122358781
2024-11-27,1229480.0018355057
2024-11-29,1227814.7990652947
2024-12-02,1233577.0545382225
2024-12-03,1232496.8309601021
2024-12-04,1226949.5897777933
2024-12-05,1235999.5196023446
2024-12-06,1231725.9291809523
2024-12-09,1228229.3706145003
2024-12-10,1222013.4834659426
2024-12-11,1226744.2545743915
2024-12-12,1226909.7797650462
2024-12-13,1223880.6168949187
2024-12-16,1217552.1911194413
2024-12-17,1221425.488801003
2024-12-18,1192420.478999116
2024-12-19,1194882.3036613914
2024-12-20,1199471.5182473212
2024-12-23,1202307.6318193467
2024-12-24,1211433.4065254333
2024-12-26,1212801.8388392199
2024-12-27,1204708.9633464804
2024-12-30,1190387.2852614762
2024-12-31,1196005.593086006
2025-01-02,1189326.7762734678
2025-01-03,1194886.132275525
2025-01-06,1197280.4491564636
2025-01-07,1197128.7874160358
2025-01-08,1204274.9093818376
2025-01-10,1185612.7486547774
2025-01-13,1195999.1969943163
2025-01-14,1191896.314493994
2025-01-15,1203510.9914601054
2025-01-16,1187470.9422352354
2025-01-17,1192845.1929726305
2025-01-21,1199534.7993607372
2025-01-22,1211110.51171456
2025-01-23,1218537.0036829181
2025-01-24,1213236.4654261596
2025-01-27,1231066.7775349352
2025-01-28,1242344.8167872545
2025-01-29,1236412.1387576857
2025-01-30,1233166.3434046942
2025-01-31,1225078.3207501804
2025-02-03,1220269.0881483054
2025-02-04,1223862.288867445
2025-02-05,1244525.1856368284
2025-02-06,1239309.8279178771
2025-02-07,1221633.7390124847
2025-02-10,1223106.215805889
2025-02-11,1228242.5446903869
2025-02-12,1232089.788178931
2025-02-13,1240537.2726996336
2025-02-14,1231327.2982694
2025-02-18,1224824.8051339043
2025-02-19,1237374.5441552172
2025-02-20,1231637.5270340184
2025-02-21,1212124.709938544
2025-02-24,1224573.4099485928
2025-02-25,1231288.1275875121
2025-02-26,1207880.3025775233
2025-02-27,1209293.8267111736
2025-02-28,1223312.7634544063
2025-03-03,1211830.4866539433
2025-03-04,1197134.8422878115
2025-03-05,1213613.2010535153
2025-03-06,1209786.640363883
2025-03-07,1215300.9017690178
2025-03-10,1190165.1293842555
2025-03-11,1185790.4082079614
2025-03-12,1180460.6783048066
2025-03-13,1176517.8899368914
2025-03-14,1194879.9457423058
2025-03-17,1205652.6093940425
2025-03-18,1201006.9266385043
2025-03-19,1216072.3874079718
2025-03-20,1216100.0416776072
2025-03-21,1228294.439532641
2025-03-24,1235224.1301536593
2025-03-25,1233619.11472981
2025-03-26,1228008.0962177785
2025-03-27,1230245.97717351
2025-03-28,1213425.4449954438
2025-03-31,1220859.8921444062
2025-04-01,1217235.040914632
2025-04-02,1215121.3458369672
2025-04-03,1149974.5929459783
2025-04-04,1075325.585302737
2025-04-07,1066717.0604302797
2025-04-08,1057794.3666214235
2025-04-09,1155564.8449417835
2025-04-10,1111320.950774665
2025-04-11,1125777.9449520048
2025-04-14,1127006.6917333144
2025-04-15,1118751.193126026
2025-04-16,1105146.5976181389
2025-04-17,1074228.9720557355
2025-04-21,1049491.3894403053
2025-04-22,1071272.8696549628
2025-04-23,1089085.780427046
2025-04-24,1106854.55569855
2025-04-25,1114449.4384159516
2025-04-28,1123454.25491984
2025-04-29,1124562.2941678688
2025-04-30,1124871.1725881598
2025-05-01,1116453.89865169
2025-05-02,1118014.7586277784
2025-05-05,1110052.8197748817
2025-05-06,1096505.8754603022
2025-05-07,1113649.1266278343
2025-05-08,1124421.1805899106
2025-05-09,1126799.0489625763
2025-05-12,1165504.5766071023
2025-05-13,1141102.9121366276
2025-05-14,1135880.8978348293
2025-05-15,1126171.934424423
2025-05-16,1137536.1050113498
2025-05-19,1142721.8155188996
2025-05-20,1145713.7585854388
2025-05-21,1120443.3272062172
2025-05-22,1120638.2625471812
2025-05-23,1111391.5086070315
2025-05-27,1121140.458932022
2025-05-28,1115847.7526925686
2025-05-29,1127378.8480239064
2025-05-30,1130279.513265904
2025-06-02,1136977.5945986575
2025-06-03,1144919.966853372
2025-06-04,1142181.8462441517
2025-06-05,1130776.9159412552
2025-06-06,1148803.2837368236
2025-06-09,1159802.0524988666
2025-06-10,1173233.984030801
2025-06-11,1171216.7454394996
2025-06-12,1164147.6669184393
2025-06-13,1155077.2892260028
2025-06-16,1160591.3807393687
2025-06-17,1151125.844257231
2025-06-18,1149227.265147686
2025-06-20,1153152.5451366263
2025-06-23,1155734.8651165266
2025-06-24,1155388.551054729
2025-06-25,1152355.6716564053
2025-06-26,1160273.505889138
2025-06-27,1178999.5517879615
2025-06-30,1180676.4437549575
2025-07-01,1195787.713387802
2025-07-02,1202130.3856289843
2025-07-03,1210724.8981861616
2025-07-07,1196102.8510948862
2025-07-08,1185422.7904962571
2025-07-09,1183532.7897787848
2025-07-10,1195272.9314838755
2025-07-11,1181059.342229908
2025-07-14,1178941.3130587137
2025-07-15,1165130.4185391658
2025-07-16,1180619.408173163
2025-07-17,1188500.4364538994
2025-07-18,1187159.6025658357
2025-07-21,1195985.3665972308
2025-07-22,1211655.4538861848
2025-07-23,1217324.3823373986
2025-07-24,1212733.6314247523
2025-07-25,1214925.5940463888
2025-07-28,1212032.8112258085
2025-07-29,1213237.009656137
2025-07-30,1201182.3506707028
2025-07-31,1190326.5902623418
2025-08-01,1184471.0444823785
2025-08-04,1197180.332687631
2025-08-05,1194303.545355263
2025-08-06,1206638.4377271156
2025-08-07,1211897.0365626642
2025-08-08,1224935.4313220768
2025-08-11,1222206.8546180117
2025-08-12,1230040.2188948332
2025-08-13,1250322.1343863339
2025-08-14,1247007.6740175954
2025-08-15,1249685.5706585222
2025-08-18,1250938.0090046176
2025-08-19,1256019.159948855
2025-08-20,1257398.458675778
2025-08-21,1256344.596125443
2025-08-22,1270618.4520508125
2025-08-25,1265058.849308071
2025-08-26,1265552.2765473889
2025-08-27,1269044.5896937293
2025-08-28,1268715.6631651418
2025-08-29,1274000.5824928123
2025-09-02,1264827.2759972217
2025-09-03,1271861.6940183158
2025-09-04,1284251.5436878174
2025-09-05,1274851.0860836464
2025-09-08,1267413.2321701313
2025-09-09,1260818.8320116322
2025-09-10,1252753.809723784
2025-09-11,1271605.2813636097
2025-09-12,1267640.8612023068
2025-09-15,1268171.2093256793
2025-09-16,1263589.8116727967
2025-09-17,1274186.3114448604
2025-09-18,1271792.9174811388
2025-09-19,1276524.3436342059
2025-09-22,1282959.4793275048
2025-09-23,1284768.7393200407
2025-09-24,1282564.7081380966
2025-09-25,1281652.0022539943
2025-09-26,1287826.540968169
2025-09-29,1287728.789191409
2025-09-30,1292301.1701707875
2025-10-01,1300525.7764511176
2025-10-02,1310915.192882214
2025-10-03,1310687.8461034351
2025-10-06,1305595.402878347
2025-10-07,1296278.5301319207
2025-10-08,1302669.584763126
2025-10-09,1296926.1540708297
2025-10-10,1261758.2144205896
2025-10-13,1285311.8431208227
2025-10-14,1277677.60618898
2025-10-15,1273144.11850176
2025-10-16,1269921.4608661903
2025-10-17,1273179.2467705226
2025-10-20,1289331.979324934
2025-10-21,1303025.7641973523
2025-10-22,1293751.3572211675
2025-10-23,1293896.8255905798
2025-10-24,1299569.895111522
2025-10-27,1306441.5296279243
2025-10-28,1312675.719119655
2025-10-29,1298771.7601755536
2025-10-30,1294133.5472113916
2025-10-31,1292390.8848442459
2025-11-03,1286398.0373590626
2025-11-04,1274684.7351947273
2025-11-05,1264148.1246652957
2025-11-06,1236163.984450298
2025-11-07,1240007.3529866722
2025-11-10,1253470.5219867153
2025-11-11,1264653.9098831324
2025-11-12,1275473.1477907067
2025-11-13,1262912.1610053629
2025-11-14,1254427.968700406
2025-11-17,1235116.5947667186
2025-11-18,1210351.8109767202
2025-11-19,1206640.7418956584
2025-11-20,1196218.9030353273
2025-11-21,1212738.3241306164
2025-11-24,1210528.4072063714
2025-11-25,1231524.7028697445
2025-11-26,1235935.5960460387
2025-11-28,1234767.1966570672
2025-12-01,1237989.4454255938
2025-12-02,1237626.8257086242
2025-12-03,1249502.7107454143
2025-12-04,1254636.6636952974
2025-12-05,1264822.4798137557
2025-12-08,1254117.939537578
2025-12-09,1251082.1652564737
2025-12-10,1266297.1764134348
2025-12-11,1279300.608925133
2025-12-12,1277866.7011893697
2025-12-15,1275432.105266675
2025-12-16,1267990.3495436574
2025-12-17,1260836.9834865374
2025-12-18,1263195.765885718
2025-12-19,1246166.2677306447
2025-12-22,1247602.5992859532
2025-12-23,1252878.2931522012
2025-12-24,1265816.5329837508
2025-12-26,1274182.0258241873
2025-12-29,1269229.0600281947
2025-12-30,1269863.676714688
2025-12-31,1270796.0189828079
2026-01-02,1262916.0168886264
2026-01-05,1272765.1629188627
2026-01-06,1285467.7341789808
2026-01-07,1278085.852222697
2026-01-08,1283995.3768678207
2026-01-09,1289929.4223132457
2026-01-12,1285538.5544906515
2026-01-13,1262815.5147426273
2026-01-14,1255977.383587948
2026-01-15,1255230.1179197568
2026-01-16,1241823.1936773525
2026-01-20,1225697.8400715452
2026-01-21,1251861.415210567
2026-01-22,1266567.2942297761
2026-01-23,1270602.4436530252
2026-01-26,1272063.7068506735
2026-01-27,1221122.908620362
2026-01-28,1226488.0907367375
2026-01-29,1214671.6196919186
2026-01-30,1207444.84422481
2026-02-02,1202758.0821353158
2026-02-03,1182485.0457196434
2026-02-04,1191519.649549119
2026-02-05,1172377.4326100727
2026-02-06,1200427.3159772768
2026-02-09,1194136.0842582586
2026-02-10,1201477.8759125269
2026-02-11,1197857.7818388715
2026-02-12,1192890.691663818
2026-02-13,1201483.4570040908
2026-02-17,1200920.9191774891
2026-02-18,1208877.428945121
2026-02-19,1206158.0410692587
2026-02-20,1213652.3239371304
2026-02-23,1195087.8050958104
2026-02-24,1205110.8165655923
2026-02-25,1213050.3779139838
2026-02-26,1211865.0294685795
2026-02-27,1202554.9113147936
2026-03-02,1201923.0478329882
2026-03-03,1191685.6060489402
2026-03-04,1193950.037514819
2026-03-05,1189805.2825316875
2026-03-06,1177329.3372493125
2026-03-09,1174165.7891413837
2026-03-10,1172175.9208266349
2026-03-11,1167778.4171776562
2026-03-12,1156109.7482297209
2026-03-13,1149994.1065269513
2026-03-16,1166709.365759872
2026-03-17,1165409.8511931067
2026-03-18,1144430.7085841394
2026-03-19,1136951.226448302
2026-03-20,1119981.693640422
2026-03-23,1125151.3786554504
2026-03-24,1115507.3844686563
2026-03-25,1114937.0035341764
2026-03-26,1103610.1699174582
2026-03-27,1077332.749410131
2026-03-30,1087428.4985747903
