Date,equity_mvo
2024-01-02,1000000.0
2024-01-03,989150.7096762236
2024-01-04,986090.711813631
2024-01-05,992209.3787840186
2024-01-08,1008763.2989444337
2024-01-09,1007679.9654292264
2024-01-10,1032519.1692493737
2024-01-11,1034601.5442247966
2024-01-12,1038515.5637215599
2024-01-16,1044897.5961897284
2024-01-17,1039833.1169868385
2024-01-18,1048916.8512322349
2024-01-19,1061917.037603182
2024-01-22,1050661.0897429667
2024-01-23,1045188.0782388097
2024-01-24,1044922.0484268081
2024-01-25,1053418.951699634
2024-01-26,1058509.2149393484
2024-01-29,1066808.1070573737
2024-01-30,1067353.3918672786
2024-01-31,1046622.7904591667
2024-02-01,1065296.3635289911
2024-02-02,1071047.318588618
2024-02-05,1060566.1164021797
2024-02-06,1061978.7931288625
2024-02-07,1082814.7268189918
2024-02-08,1084403.407209921
2024-02-09,1092147.3021064026
2024-02-12,1088469.4925803698
2024-02-13,1065047.4459662095
2024-02-14,1071216.340313101
2024-02-15,1071480.6421024697
2024-02-16,1070004.5111150243
2024-02-20,1068631.8990865336
2024-02-21,1070102.8192430078
2024-02-22,1093302.1597401612
2024-02-23,1092462.054372947
2024-02-26,1088197.8749973536
2024-02-27,1093918.3833577875
2024-02-28,1097241.4568817122
2024-02-29,1109536.35924106
2024-03-01,1117643.446376645
2024-03-04,1110893.1207074923
2024-03-05,1091705.6546401079
2024-03-06,1092785.4549519594
2024-03-07,1100882.680401412
2024-03-08,1092270.437427164
2024-03-11,1087305.069450417
2024-03-12,1106115.1265719868
2024-03-13,1112432.0318326666
2024-03-14,1120456.163252184
2024-03-15,1105706.1748315739
2024-03-18,1104962.2406134894
2024-03-19,1121472.0270867636
2024-03-20,1133937.8770517684
2024-03-21,1155362.371122505
2024-03-22,1147271.8139443966
2024-03-25,1129448.7032813337
2024-03-26,1122558.6175124424
2024-03-27,1131047.3455208233
2024-03-28,1126725.380796179
2024-04-01,1107811.57404564
2024-04-02,1103972.9656874994
2024-04-03,1102506.3239372189
2024-04-04,1100580.489751176
2024-04-05,1104408.00406841
2024-04-08,1108587.5719038262
2024-04-09,1110632.693099125
2024-04-10,1099036.9795148764
2024-04-11,1091789.7067057025
2024-04-12,1074371.3189602576
2024-04-15,1062510.8452411392
2024-04-16,1053297.3034184661
2024-04-17,1051148.3863921324
2024-04-18,1055827.9553535976
2024-04-19,1068620.2574705102
2024-04-22,1077153.1071427437
2024-04-23,1084597.254961838
2024-04-24,1079579.5551594752
2024-04-25,1084954.2825756192
2024-04-26,1091428.1982289164
2024-04-29,1095399.0664363941
2024-04-30,1072120.6689537102
2024-05-01,1062723.0874525844
2024-05-02,1071713.5464531083
2024-05-03,1079417.8184098068
2024-05-06,1086745.46555824
2024-05-07,1086103.8377457424
2024-05-08,1083155.2640676005
2024-05-09,1105880.6870860562
2024-05-10,1106012.296014948
2024-05-13,1093771.6386849945
2024-05-14,1089551.3655159357
2024-05-15,1098054.8386371222
2024-05-16,1088960.5042037219
2024-05-17,1097175.7191700137
2024-05-20,1082725.2570667756
2024-05-21,1075889.513393604
2024-05-22,1059071.0297078197
2024-05-23,1051720.4727289164
2024-05-24,1052592.3048085656
2024-05-28,1062433.527366093
2024-05-29,1050277.3025511808
2024-05-30,1062962.6584562052
2024-05-31,1086517.8265349634
2024-06-03,1058241.3610065617
2024-06-04,1053288.5221974156
2024-06-05,1051359.337506743
2024-06-06,1056241.17328837
2024-06-07,1051466.8109181602
2024-06-10,1061385.0256453385
2024-06-11,1064561.5202711052
2024-06-12,1066654.6602149326
2024-06-13,1066107.8745459372
2024-06-14,1063663.2061289442
2024-06-17,1069635.5690584318
2024-06-18,1075957.7797957202
2024-06-20,1088538.0136370675
2024-06-21,1086249.9229440312
2024-06-24,1095765.7651996098
2024-06-25,1075816.8838114443
2024-06-26,1070465.25351208
2024-06-27,1071499.432667222
2024-06-28,1075525.2301306347
2024-07-01,1064235.4639233113
2024-07-02,1075859.7616539504
2024-07-03,1076832.7363811748
2024-07-05,1082350.9924197025
2024-07-08,1070353.0880927488
2024-07-09,1071434.0328969038
2024-07-10,1071740.1734660289
2024-07-11,1072289.3152033235
2024-07-12,1081526.6129837367
2024-07-15,1086757.5023571942
2024-07-16,1094251.660848733
2024-07-17,1116873.1273033223
2024-07-18,1104358.101028085
2024-07-19,1092863.6951122119
2024-07-22,1097510.0320610867
2024-07-23,1085071.7738962818
2024-07-24,1066451.820622569
2024-07-25,1073823.532842377
