Date,equity_ew
2024-01-02,1000000.0
2024-01-03,986498.7871826574
2024-01-04,987179.0696679137
2024-01-05,993955.1860369133
2024-01-08,1019482.4487600169
2024-01-09,1015273.9661707564
2024-01-10,1018298.5032505548
2024-01-11,1020683.5067887155
2024-01-12,1019768.2318695451
2024-01-16,1020408.4725364434
2024-01-17,1014794.3782604587
2024-01-18,1029667.3398585026
2024-01-19,1052210.5887467319
2024-01-22,1061268.3627423176
2024-01-23,1067741.1085883747
2024-01-24,1067967.2942100526
2024-01-25,1072026.0360875872
2024-01-26,1061965.0374070993
2024-01-29,1078207.127326097
2024-01-30,1059675.1799902564
2024-01-31,1040691.0910941043
2024-02-01,1043104.4567744348
2024-02-02,1059164.218719004
2024-02-05,1051144.2321352977
2024-02-06,1068992.194355697
2024-02-07,1088527.6382810022
2024-02-08,1087059.23020571
2024-02-09,1088962.6523964442
2024-02-12,1103660.9062523483
2024-02-13,1070857.5236732888
2024-02-14,1090948.2835276641
2024-02-15,1119896.589386786
2024-02-16,1103796.2117450198
2024-02-20,1089058.8432949511
2024-02-21,1079667.755588272
2024-02-22,1108301.6526707476
2024-02-23,1103163.625242109
2024-02-26,1110158.5803176106
2024-02-27,1123993.8434394014
2024-02-28,1112694.7066203952
2024-02-29,1133024.0362826795
2024-03-01,1159194.5985301593
2024-03-04,1160095.8006007827
2024-03-05,1140485.1218382206
2024-03-06,1165876.6957498947
2024-03-07,1183798.2148993863
2024-03-08,1166464.7403776364
2024-03-11,1153796.5778636462
2024-03-12,1160826.318872733
2024-03-13,1152779.7379035116
2024-03-14,1140058.0129183545
2024-03-15,1132056.2249013511
2024-03-18,1143913.549982934
2024-03-19,1137203.1503119254
2024-03-20,1156351.1928035151
2024-03-21,1177271.9489936333
2024-03-22,1173202.5751690413
2024-03-25,1176604.3418380423
2024-03-26,1179517.7780302307
2024-03-27,1187846.2606381224
2024-03-28,1185110.0388779698
2024-04-01,1190705.1670628295
2024-04-02,1179845.0720681879
2024-04-03,1188319.5946009823
2024-04-04,1171997.531802589
2024-04-05,1171540.2721467488
2024-04-08,1170150.9790091622
2024-04-09,1173759.0192923876
2024-04-10,1164847.3736036695
2024-04-11,1176915.4899881354
2024-04-12,1148638.543858024
2024-04-15,1126299.9640577096
2024-04-16,1122568.858197805
2024-04-17,1108217.2672553537
2024-04-18,1099062.8361027886
2024-04-19,1075211.834711044
2024-04-22,1090591.3837055664
2024-04-23,1108063.457952804
2024-04-24,1117330.5931777742
2024-04-25,1123349.3408407178
2024-04-26,1131959.829774333
2024-04-29,1141000.7709854674
2024-04-30,1115897.2028689624
2024-05-01,1108883.3999173385
2024-05-02,1129587.3723562108
2024-05-03,1139291.380198391
2024-05-06,1155770.0577566396
2024-05-07,1142416.4303073566
2024-05-08,1143193.8247378313
2024-05-09,1145084.099858639
2024-05-10,1142360.0565667334
2024-05-13,1151991.1474846094
2024-05-14,1170140.9875506975
2024-05-15,1193740.1035132448
2024-05-16,1198368.2879362595
2024-05-17,1200108.7898192576
2024-05-20,1219297.815544087
2024-05-21,1220456.7725262104
2024-05-22,1213629.871770577
2024-05-23,1199079.3511214815
2024-05-24,1220804.6248113546
2024-05-28,1221202.6535808798
2024-05-29,1207338.3429845332
2024-05-30,1193820.2761491195
2024-05-31,1185730.6981933753
2024-06-03,1186604.2825411353
2024-06-04,1181427.9694025929
2024-06-05,1215375.1052871963
2024-06-06,1209282.9133341338
2024-06-07,1206105.1562131408
2024-06-10,1223414.309176698
2024-06-11,1222945.1234207964
2024-06-12,1239279.7543573389
2024-06-13,1236509.2737315304
2024-06-14,1232154.729879617
2024-06-17,1248841.431299064
2024-06-18,1250346.150863682
2024-06-20,1229865.6749163035
2024-06-21,1228944.316752121
2024-06-24,1215654.9489249275
2024-06-25,1228509.8867465665
2024-06-26,1227026.1532662003
2024-06-27,1231471.7295166699
2024-06-28,1226540.307502194
2024-07-01,1229953.5593617314
2024-07-02,1247703.0844572522
2024-07-03,1253079.6255899384
2024-07-05,1265993.8326179034
2024-07-08,1265065.5053880697
2024-07-09,1267117.8482878369
2024-07-10,1271839.136991777
2024-07-11,1272002.1524413058
2024-07-12,1290838.407581097
2024-07-15,1291823.2533328831
2024-07-16,1310404.3695412178
2024-07-17,1312970.255012422
2024-07-18,1298318.396766285
2024-07-19,1286008.7760584631
2024-07-22,1296955.4122598346
2024-07-23,1286463.6291132376
2024-07-24,1266363.1422453583
2024-07-25,1261160.881188131
2024-07-26,1274164.0417946002
2024-07-29,1281153.4626852863
2024-07-30,1284847.8379587121
2024-07-31,1299781.2745707957
2024-08-01,1272289.1013072866
2024-08-02,1246455.8070523895
2024-08-05,1209101.7694505865
2024-08-06,1215903.2561117797
2024-08-07,1210941.6536155646
2024-08-08,1229896.3728994504
2024-08-09,1229175.3610673472
2024-08-12,1219290.093499863
2024-08-13,1247537.9884247154
2024-08-14,1242435.3179575952
2024-08-15,1276664.727935638
2024-08-16,1283192.9288031063
2024-08-19,1303009.989221585
2024-08-20,1308749.8912600384
2024-08-21,1312490.9476206312
2024-08-22,1298803.1821992001
2024-08-23,1324078.7996271404
2024-08-26,1321188.8102038046
2024-08-27,1318797.0951908815
2024-08-28,1304645.5422440104
2024-08-29,1308338.269638639
2024-08-30,1324648.8600625158
2024-09-03,1303323.5330080418
2024-09-04,1313641.473467328
2024-09-05,1317361.8396359803
2024-09-06,1293291.7263159165
2024-09-09,1307461.5598417216
2024-09-10,1309429.42011771
2024-09-11,1312384.8791438479
2024-09-12,1326628.8384872656
2024-09-13,1343428.8060909777
2024-09-16,1351186.100698052
2024-09-17,1351372.986618665
2024-09-18,1347799.7452549231
2024-09-19,1369800.2232569852
2024-09-20,1362974.3188458604
2024-09-23,1371071.483265442
2024-09-24,1376080.7995222989
2024-09-25,1372324.0302463495
2024-09-26,1388232.9740839452
