Date,equity_minvar
2024-01-02,1000000.0
2024-01-03,995997.0046518653
2024-01-04,991734.4956073366
2024-01-05,995055.9083499499
2024-01-08,1008065.9518877376
2024-01-09,1000489.8173680842
2024-01-10,998630.0519799856
2024-01-11,994950.8458760342
2024-01-12,997956.2133136978
2024-01-16,994688.9854240337
2024-01-17,985204.7155560199
2024-01-18,993477.91221177
2024-01-19,1006282.5440570625
2024-01-22,1014255.6809062532
2024-01-23,1019763.1630405624
2024-01-24,1019866.7401730034
2024-01-25,1030264.0321161948
2024-01-26,1022684.2850646526
2024-01-29,1027934.4117094636
2024-01-30,1023742.9695429456
2024-01-31,1011232.2247621783
2024-02-01,1018205.9888809794
2024-02-02,1013997.1887525452
2024-02-05,1006429.9814686939
2024-02-06,1012086.2071052119
2024-02-07,1020325.8607283911
2024-02-08,1018137.9396080043
2024-02-09,1014322.6017769431
2024-02-12,1033487.6225795824
2024-02-13,1015250.5290226815
2024-02-14,1029078.0415333284
2024-02-15,1047120.6453163916
2024-02-16,1037683.1204829554
2024-02-20,1035086.5548464286
2024-02-21,1034864.3481396463
2024-02-22,1043938.9578604404
2024-02-23,1045071.1775876167
2024-02-26,1043293.2866722665
2024-02-27,1052877.0305752293
2024-02-28,1047711.5092587536
2024-02-29,1047526.1461774238
2024-03-01,1057754.628392453
2024-03-04,1058821.9725839242
2024-03-05,1039854.8914904663
2024-03-06,1050284.1072786485
2024-03-07,1065320.0018037772
2024-03-08,1059864.4728020835
2024-03-11,1065292.8985411017
2024-03-12,1067352.2707583106
2024-03-13,1061970.803755878
2024-03-14,1055119.5409264213
2024-03-15,1049136.722391417
2024-03-18,1052580.643115579
2024-03-19,1056655.8533407135
2024-03-20,1066585.747748727
2024-03-21,1083598.0781975293
2024-03-22,1082237.8318376227
2024-03-25,1079319.0454243214
2024-03-26,1077127.8834216173
2024-03-27,1090763.4171354878
2024-03-28,1097796.4998557335
2024-04-01,1098318.0035231574
2024-04-02,1091709.678609453
2024-04-03,1101882.728410326
2024-04-04,1091652.1861499962
2024-04-05,1097636.3114206272
2024-04-08,1088227.7478311586
2024-04-09,1091759.4297503745
2024-04-10,1084066.7111363118
2024-04-11,1091457.1975310284
2024-04-12,1074867.5698062393
2024-04-15,1066583.2185960903
2024-04-16,1061158.8784543371
2024-04-17,1058998.5160348925
2024-04-18,1054660.6725911596
2024-04-19,1041994.3710408071
2024-04-22,1051454.3464428377
2024-04-23,1061097.4322159686
2024-04-24,1071586.0566058264
2024-04-25,1080723.6319718417
2024-04-26,1081121.8636176381
2024-04-29,1087226.2286796968
2024-04-30,1075437.555325357
2024-05-01,1075424.824492069
