Date,equity_mvo
2024-01-02,1000000.0
2024-01-03,980203.1823139116
2024-01-04,980449.5428291307
2024-01-05,986685.7137225898
2024-01-08,1021344.1397483529
2024-01-09,1027000.3066103513
2024-01-10,1021412.5515656472
2024-01-11,1022565.1166531655
2024-01-12,1017333.5679764639
2024-01-16,1032181.9067030234
2024-01-17,1019057.9890137734
2024-01-18,1031556.2611214354
2024-01-19,1073997.3372364836
2024-01-22,1069361.5924905369
2024-01-23,1079195.425342097
2024-01-24,1093248.5319776004
2024-01-25,1100024.393077068
2024-01-26,1032770.5286609158
2024-01-29,1037968.6667201035
2024-01-30,1014172.5589230213
2024-01-31,1009564.3917404992
2024-02-01,998615.1604434908
2024-02-02,1012754.6993219275
2024-02-05,1010583.468997874
2024-02-06,1004503.9929392984
2024-02-07,1018376.4854229513
2024-02-08,1022310.8711740648
2024-02-09,1044073.7228028703
2024-02-12,1050465.3942642587
2024-02-13,1012444.2849080978
2024-02-14,1044026.9107416626
2024-02-15,1049929.9274067888
2024-02-16,1030863.8484906366
2024-02-20,1025162.9965353588
2024-02-21,1006583.1604803571
2024-02-22,1024898.1214107793
2024-02-23,1021401.9626079103
2024-02-26,1026438.8298022914
2024-02-27,1025969.9901707743
2024-02-28,1012142.2348008645
2024-02-29,1046258.6827121661
2024-03-01,1073943.8059721654
2024-03-04,1098749.9418094293
2024-03-05,1061422.372506224
2024-03-06,1091892.8772044824
2024-03-07,1123285.271168131
2024-03-08,1090951.8400621805
2024-03-11,1087542.4119606107
2024-03-12,1102177.1738506234
2024-03-13,1071479.972331623
2024-03-14,1055782.1382841917
2024-03-15,1055025.2189483913
2024-03-18,1055627.8525415235
2024-03-19,1034041.9800865822
2024-03-20,1046334.7095907694
2024-03-21,1048247.3087674064
2024-03-22,1048112.3670074859
2024-03-25,1035077.678768433
2024-03-26,1035426.6980064245
2024-03-27,1058842.4311436256
2024-03-28,1061298.9191512426
2024-04-01,1072646.4415949492
2024-04-02,1051191.4050335248
2024-04-03,1086312.3716345695
2024-04-04,1067532.5291771702
2024-04-05,1038929.0965976489
2024-04-08,1049086.2389360978
2024-04-09,1031453.8705115297
2024-04-10,1053326.6176083968
2024-04-11,1077553.8828674804
2024-04-12,1038217.3323034045
2024-04-15,999797.8213271407
2024-04-16,988438.5293812027
2024-04-17,950513.4794021777
2024-04-18,932092.4430402895
2024-04-19,890287.720794566
2024-04-22,931070.104007116
2024-04-23,957055.879210548
2024-04-24,935484.8441985735
2024-04-25,931170.3667796977
2024-04-26,955888.9867218845
2024-04-29,952924.128079811
2024-04-30,902923.9339860087
2024-05-01,881695.669832547
2024-05-02,913270.2008975835
2024-05-03,946070.6741361421
2024-05-06,983743.2300882146
2024-05-07,977193.1582635158
2024-05-08,974502.442109355
2024-05-09,974647.9020218325
2024-05-10,971744.3328602986
2024-05-13,991704.5648361618
2024-05-14,1013517.6764214534
2024-05-15,1070054.18141228
2024-05-16,1054635.8268728931
2024-05-17,1070043.6019679077
2024-05-20,1118465.3687645975
2024-05-21,1101590.5356925675
2024-05-22,1092262.2164994183
2024-05-23,1072486.6405321169
2024-05-24,1116460.1451287107
2024-05-28,1130740.7628510543
2024-05-29,1118430.0684703821
2024-05-30,1076453.9201283397
2024-05-31,1066405.4477724808
2024-06-03,1097850.4308187757
2024-06-04,1091392.7619512503
2024-06-05,1140461.2959352406
2024-06-06,1114497.101235391
2024-06-07,1104692.924634487
2024-06-10,1126045.8367330427
2024-06-11,1118078.6191062594
2024-06-12,1156376.7791844006
2024-06-13,1144323.7530748365
2024-06-14,1139218.0987390482
2024-06-17,1172882.1916759834
2024-06-18,1191425.094631263
2024-06-20,1143538.0683969683
2024-06-21,1127872.5279102204
2024-06-24,1100344.7305962942
2024-06-25,1136480.9024363216
