Date,equity_ew
2024-01-02,1000000.0
2024-01-03,988578.114390266
2024-01-04,984452.0929451778
2024-01-05,989258.4066741288
2024-01-08,1008006.9760501147
2024-01-09,1006048.3410206605
2024-01-10,1006600.2383811406
2024-01-11,1006551.6434614864
2024-01-12,1004847.9047420016
2024-01-16,1006991.9375819858
2024-01-17,998899.9953860447
2024-01-18,1012247.1338495393
2024-01-19,1036134.9712868339
2024-01-22,1037546.0925870411
2024-01-23,1041526.3841082497
2024-01-24,1044300.2065985323
2024-01-25,1050765.7508789408
2024-01-26,1042146.6928931323
2024-01-29,1050630.5950139274
2024-01-30,1045074.1297758612
2024-01-31,1030757.5117284867
2024-02-01,1037286.8996056251
2024-02-02,1058042.377220648
2024-02-05,1054645.131146845
2024-02-06,1057458.0060003365
2024-02-07,1066521.8403271344
2024-02-08,1074641.1086234322
2024-02-09,1083444.1263792836
2024-02-12,1087206.2614103544
2024-02-13,1068640.291372389
2024-02-14,1085503.8399867178
2024-02-15,1091152.6130014374
2024-02-16,1085045.2432249621
2024-02-20,1076106.7839426158
2024-02-21,1077589.5524492497
2024-02-22,1109294.5275630266
2024-02-23,1107712.1091550281
2024-02-26,1108222.875990101
2024-02-27,1112447.5765575804
2024-02-28,1108320.2499582127
2024-02-29,1121832.70423902
2024-03-01,1142156.603921274
2024-03-04,1148303.310967203
2024-03-05,1136702.9248086913
2024-03-06,1151522.9590027423
2024-03-07,1167937.378873212
2024-03-08,1153697.619974842
2024-03-11,1148425.631760608
2024-03-12,1164689.95499309
2024-03-13,1153418.302790876
2024-03-14,1141300.2135137299
2024-03-15,1137972.0757022656
2024-03-18,1140349.1036936683
2024-03-19,1140916.5496917486
2024-03-20,1151896.519857591
2024-03-21,1169097.7930626688
2024-03-22,1167709.5459865564
2024-03-25,1170193.6948641236
2024-03-26,1162423.4536273808
2024-03-27,1172238.8060664241
2024-03-28,1175769.2721034463
2024-04-01,1177974.714196961
2024-04-02,1167537.9238541021
2024-04-03,1165244.078154369
2024-04-04,1145233.0713760348
2024-04-05,1150686.508618191
2024-04-08,1151074.8882715532
2024-04-09,1158950.9034088538
2024-04-10,1137290.5350063422
2024-04-11,1148685.0101206193
2024-04-12,1123607.6513742066
2024-04-15,1113294.0354541126
2024-04-16,1110440.543207959
2024-04-17,1100055.4973429255
2024-04-18,1092828.9589408876
2024-04-19,1077455.1949282086
2024-04-22,1086507.2382968843
2024-04-23,1105763.348952587
2024-04-24,1108986.7301462155
2024-04-25,1109710.235444023
2024-04-26,1112369.7913920765
2024-04-29,1126590.3823642144
2024-04-30,1104488.8429290398
2024-05-01,1100281.5861866379
2024-05-02,1120434.3263172188
2024-05-03,1129805.949647889
2024-05-06,1144417.5612770994
2024-05-07,1136851.6663916802
2024-05-08,1138609.5968538136
2024-05-09,1142312.9940136622
2024-05-10,1140099.7132976558
2024-05-13,1146735.6695704018
2024-05-14,1155460.8620589916
2024-05-15,1163173.9571777054
2024-05-16,1168548.2520027647
2024-05-17,1169934.6455703892
2024-05-20,1172988.1475427188
2024-05-21,1177589.860029286
2024-05-22,1174207.8676412893
2024-05-23,1149682.6197853973
2024-05-24,1163344.1045101872
2024-05-28,1163155.4072848493
2024-05-29,1148222.6037870294
2024-05-30,1149543.5572709339
2024-05-31,1159510.7278459514
2024-06-03,1161560.6811214914
2024-06-04,1159872.1262814507
2024-06-05,1174766.8078907495
2024-06-06,1174672.0797065916
2024-06-07,1170115.7070339038
2024-06-10,1173832.0599769277
2024-06-11,1167604.9317054127
2024-06-12,1172724.5902546614
2024-06-13,1168994.6276088373
2024-06-14,1163748.9906841884
2024-06-17,1175237.399661037
2024-06-18,1178981.1060335145
2024-06-20,1177235.208230409
2024-06-21,1179954.8314840763
2024-06-24,1177742.451973734
2024-06-25,1172244.951696714
2024-06-26,1173788.9588395571
2024-06-27,1172881.471467025
2024-06-28,1162482.5509085543
2024-07-01,1166136.6043937725
2024-07-02,1172888.4637186413
2024-07-03,1176464.3096658199
2024-07-05,1179724.7088929503
2024-07-08,1177245.3312465271
2024-07-09,1177685.2854231044
2024-07-10,1190413.6475864884
2024-07-11,1190681.4754340139
2024-07-12,1204474.7845083182
2024-07-15,1205559.689853353
2024-07-16,1219928.8431228893
2024-07-17,1214800.7643070365
2024-07-18,1203768.8586956188
2024-07-19,1193964.0793534562
2024-07-22,1208135.0663679522
2024-07-23,1189904.2335538443
2024-07-24,1176589.213976954
2024-07-25,1175430.6528970816
2024-07-26,1191204.7647008123
2024-07-29,1195343.7908075738
2024-07-30,1187915.7101651712
2024-07-31,1200906.7371785583
2024-08-01,1183076.6714171204
2024-08-02,1170873.6674294854
2024-08-05,1141775.9018133203
2024-08-06,1147776.8101944462
2024-08-07,1134876.1819853298
2024-08-08,1159225.8970820066
2024-08-09,1158234.6073319034
2024-08-12,1151087.9188327466
2024-08-13,1169861.63490519
2024-08-14,1173127.4804210907
2024-08-15,1195674.04440688
2024-08-16,1197258.69235206
2024-08-19,1207601.3276107835
2024-08-20,1208731.595221049
2024-08-21,1216839.2291794627
2024-08-22,1206008.7865621664
2024-08-23,1221549.912374953
2024-08-26,1220320.579843371
2024-08-27,1222112.7931524501
2024-08-28,1214408.765735983
2024-08-29,1220194.4558351154
