Date,equity_minvar
2024-01-02,1000000.0
2024-01-03,992696.1699770221
2024-01-04,986512.5465175455
2024-01-05,988882.3126548888
2024-01-08,999891.7092492887
2024-01-09,995780.3069084035
2024-01-10,995859.1950805918
2024-01-11,994777.7150643549
2024-01-12,995380.3545608529
2024-01-16,989342.3247834314
2024-01-17,981846.8146041348
2024-01-18,989875.2188811082
2024-01-19,1003515.9598832714
2024-01-22,1005975.4895749855
2024-01-23,1013878.6386090637
2024-01-24,1011414.7298039525
2024-01-25,1017443.8798345547
2024-01-26,1016574.4813167272
2024-01-29,1023375.8868799262
2024-01-30,1022223.6134698823
2024-01-31,1008351.1404852599
2024-02-01,1015395.1790928189
2024-02-02,1030858.1565617458
2024-02-05,1025906.8749792465
2024-02-06,1036404.9066525097
2024-02-07,1042021.919368788
2024-02-08,1051798.2477237098
2024-02-09,1053272.0449446554
2024-02-12,1056490.9550720342
2024-02-13,1039940.6831410988
2024-02-14,1051265.8641633708
2024-02-15,1059702.2204919711
2024-02-16,1056119.2630125736
2024-02-20,1051228.6775995546
2024-02-21,1057328.4760820584
2024-02-22,1074151.48386878
2024-02-23,1075325.622606892
2024-02-26,1072089.70748926
2024-02-27,1073829.202789977
2024-02-28,1073569.847065239
2024-02-29,1077019.827660152
2024-03-01,1088352.527474681
2024-03-04,1088893.9900104597
2024-03-05,1081470.8538473758
2024-03-06,1092507.5683608626
2024-03-07,1104309.3714241192
2024-03-08,1098449.3074142367
2024-03-11,1102578.1706368045
2024-03-12,1111859.229384009
2024-03-13,1108379.490585883
2024-03-14,1102724.9434891436
2024-03-15,1097336.4385282244
2024-03-18,1098394.916896969
2024-03-19,1103180.160349298
2024-03-20,1111142.7062669166
2024-03-21,1121180.8075805807
2024-03-22,1117693.9548140431
2024-03-25,1119814.786990033
2024-03-26,1113511.1250576924
2024-03-27,1123618.8938791936
2024-03-28,1126535.8901734925
2024-04-01,1123613.1241385078
2024-04-02,1117802.4432964781
2024-04-03,1114402.6653710804
2024-04-04,1098159.1790831033
2024-04-05,1106176.9632697222
2024-04-08,1103916.035443161
2024-04-09,1110688.1799183567
2024-04-10,1091330.7990194678
2024-04-11,1097354.4093219533
2024-04-12,1076959.5259983458
2024-04-15,1069038.9912674986
2024-04-16,1065370.7316024527
2024-04-17,1060882.2333300752
2024-04-18,1057498.7419558761
2024-04-19,1049899.1714792608
2024-04-22,1059762.4361415042
2024-04-23,1079584.237562039
2024-04-24,1075517.5409756005
2024-04-25,1071683.5337176207
2024-04-26,1075529.3727350791
2024-04-29,1081876.729244093
2024-04-30,1062761.4880570695
2024-05-01,1066926.4992978682
2024-05-02,1084356.8772739465
2024-05-03,1091758.3078256417
2024-05-06,1102747.7701725767
2024-05-07,1096940.7422714133
2024-05-08,1101135.7539753383
2024-05-09,1108340.1667889706
2024-05-10,1105845.7674415358
2024-05-13,1110166.5601569687
2024-05-14,1114893.6000888492
2024-05-15,1120546.1640141
2024-05-16,1125361.2422689176
2024-05-17,1126457.8460646698
2024-05-20,1126235.0432029713
2024-05-21,1128373.4626682776
2024-05-22,1126260.8191343334
2024-05-23,1103736.3576703032
