Date,equity_mvo
2024-01-02,1000000.0
2024-01-03,981382.3440374378
2024-01-04,976903.2438545059
2024-01-05,981730.8300432791
2024-01-08,1012568.4271391162
2024-01-09,1014597.0380442967
2024-01-10,1006467.3584273567
2024-01-11,1006811.1943469378
2024-01-12,1002696.5216781087
2024-01-16,1019723.722182194
2024-01-17,1007082.924320871
2024-01-18,1031845.964342115
2024-01-19,1077035.2326947222
2024-01-22,1072375.4706397578
2024-01-23,1080922.2547720177
2024-01-24,1097507.593390958
2024-01-25,1104910.723649443
2024-01-26,1032899.0205834378
2024-01-29,1032839.4368941308
2024-01-30,1007306.5743647488
2024-01-31,1009685.5150278662
2024-02-01,997600.3776389015
2024-02-02,1000507.8729942325
2024-02-05,1003698.1372881827
2024-02-06,996824.9823299329
2024-02-07,1005526.8893738715
2024-02-08,1006416.0874628793
2024-02-09,1025463.9389723921
2024-02-12,1037163.1603351822
2024-02-13,1020394.7469153318
2024-02-14,1049401.2736479489
2024-02-15,1050628.0577115489
2024-02-16,1033413.7652457096
2024-02-20,1031395.8282217681
2024-02-21,1019259.5733750163
2024-02-22,1043296.7294878825
2024-02-23,1037069.3496708865
2024-02-26,1041695.4468316506
2024-02-27,1044758.311295341
2024-02-28,1031400.0756134443
2024-02-29,1066980.1956304666
2024-03-01,1100648.5066844728
2024-03-04,1130636.9143303696
2024-03-05,1093089.5306973255
2024-03-06,1129598.25611693
2024-03-07,1166496.2928304155
2024-03-08,1127113.0665438334
2024-03-11,1125750.6857520086
2024-03-12,1139948.8454604342
2024-03-13,1100250.1052072274
2024-03-14,1083718.2872892963
2024-03-15,1084533.710716333
2024-03-18,1084017.8555848226
2024-03-19,1058751.9627931383
2024-03-20,1067040.2300872982
2024-03-21,1075860.260265191
2024-03-22,1076708.2260464048
2024-03-25,1061581.2421055362
2024-03-26,1061099.6841952854
2024-03-27,1086206.9568896722
2024-03-28,1091764.0197113208
2024-04-01,1103792.0428336638
2024-04-02,1102353.7841595798
2024-04-03,1109597.0232185875
