,equity_a2c_baseline
2024-01-02,1000000.0
2024-01-03,993031.9788174897
2024-01-04,991605.5859032595
2024-01-05,991095.5815166667
2024-01-08,1006366.5774271261
2024-01-09,1005526.0090267813
2024-01-10,1013053.0721617071
2024-01-11,1014447.5066328413
2024-01-12,1014292.7512665236
2024-01-16,1013601.8095362455
2024-01-17,1012513.4764335215
2024-01-18,1026794.8342219946
2024-01-19,1039338.6170720618
2024-01-22,1042805.403758219
2024-01-23,1045870.9998025896
2024-01-24,1053921.6310066779
2024-01-25,1057647.8622074167
2024-01-26,1057072.2260071642
2024-01-29,1069302.8011312983
2024-01-30,1067827.0808519232
2024-01-31,1053900.769495888
2024-02-01,1067663.4698067592
2024-02-02,1068224.5039229281
2024-02-05,1068224.4975420153
2024-02-06,1070166.8421876547
2024-02-07,1081393.9116329635
2024-02-08,1085703.6601121791
2024-02-09,1094615.7328419993
2024-02-12,1086191.9332127078
2024-02-13,1068495.8110475962
2024-02-14,1080478.7059601995
2024-02-15,1084272.1024118273
2024-02-16,1076101.256371178
2024-02-20,1072333.0771593077
2024-02-21,1064585.2907442572
2024-02-22,1088388.5852074092
2024-02-23,1083345.8864761412
2024-02-26,1089652.2859949113
2024-02-27,1089028.8662739526
2024-02-28,1089167.8958218233
2024-02-29,1091836.6819317476
2024-03-01,1111106.8107273714
2024-03-04,1115222.0363896028
2024-03-05,1090179.4407761232
2024-03-06,1107073.7345612184
2024-03-07,1123980.7956154482
2024-03-08,1104686.0613587038
2024-03-11,1102009.4682247774
2024-03-12,1116980.7990296022
2024-03-13,1112519.25769545
2024-03-14,1104300.223830475
2024-03-15,1094009.160870804
2024-03-18,1096368.638730301
2024-03-19,1101220.5719807283
2024-03-20,1113379.2859013216
2024-03-21,1120260.8014156953
2024-03-22,1114629.2488262788
2024-03-25,1119811.927502884
2024-03-26,1120696.6221211092
2024-03-27,1124740.715760483
2024-03-28,1119109.0856983797
2024-04-01,1116369.327416672
2024-04-02,1097128.7260830537
2024-04-03,1100581.5676205293
2024-04-04,1085587.5767796175
2024-04-05,1094712.9151852266
2024-04-08,1097165.6981632845
2024-04-09,1101388.6425564424
2024-04-10,1091286.0006230013
2024-04-11,1102945.0569846383
2024-04-12,1085800.948860859
2024-04-15,1069849.003857403
2024-04-16,1071247.6785603259
2024-04-17,1050698.3523626253
2024-04-18,1044866.0400044634
2024-04-19,1034885.9930658418
2024-04-22,1047043.5150244143
2024-04-23,1058007.3771005557
2024-04-24,1059471.2394135247
2024-04-25,1059983.9582283746
2024-04-26,1063027.4374878656
2024-04-29,1064998.541312481
2024-04-30,1042711.5250771296
2024-05-01,1038177.9222710383
2024-05-02,1045078.7886498225
2024-05-03,1066571.6515553247
2024-05-06,1074206.8441316225
2024-05-07,1077931.6849284975
2024-05-08,1076628.8220420687
2024-05-09,1083712.3301425783
2024-05-10,1088116.9022518008
2024-05-13,1086187.7848544924
2024-05-14,1087780.800231537
