,equity_ddpg_ac
2024-01-02,1000000.0
2024-01-03,986657.7767585106
2024-01-04,985130.5642196913
2024-01-05,987174.8409524609
2024-01-08,1002075.9365254273
2024-01-09,1000260.8020859417
2024-01-10,1006482.7278977998
2024-01-11,1005596.9920308688
2024-01-12,1013138.9981064895
2024-01-16,1016482.9826235782
2024-01-17,1007407.8568696339
2024-01-18,1021096.1440800099
2024-01-19,1040545.4450664938
2024-01-22,1050386.0738477758
2024-01-23,1056072.1362086372
2024-01-24,1055999.2783533144
2024-01-25,1054536.9851804785
2024-01-26,1056340.191858913
2024-01-29,1066604.1218278408
2024-01-30,1060009.4171650368
2024-01-31,1045079.5289857552
2024-02-01,1059962.8447933893
2024-02-02,1057642.558676013
2024-02-05,1055972.4854433986
2024-02-06,1046317.8942613581
2024-02-07,1051785.1071428962
2024-02-08,1067565.1178814853
2024-02-09,1076923.9865500866
2024-02-12,1068287.473612174
2024-02-13,1049535.5427723536
2024-02-14,1067119.1558880778
2024-02-15,1075466.9934331016
2024-02-16,1069499.8486286076
2024-02-20,1060844.553696782
2024-02-21,1060582.6972091938
2024-02-22,1090144.3277437356
2024-02-23,1068659.9120540419
2024-02-26,1068988.4143052872
2024-02-27,1066009.8942389628
2024-02-28,1063560.701000116
2024-02-29,1066265.6953248247
2024-03-01,1085574.7257078085
2024-03-04,1076687.8568565054
2024-03-05,1055886.4503859296
2024-03-06,1064785.6624505613
2024-03-07,1078508.7592895073
2024-03-08,1061308.5533566955
2024-03-11,1061518.8660474154
2024-03-12,1069981.8970845358
2024-03-13,1060905.4605054879
2024-03-14,1054287.409904334
2024-03-15,1041247.3438571651
2024-03-18,1043953.3733425143
2024-03-19,1047898.205592796
2024-03-20,1057051.8004431794
2024-03-21,1067880.7177687017
2024-03-22,1065677.4465711494
2024-03-25,1059333.103667729
2024-03-26,1058306.487608218
2024-03-27,1061489.3651829893
2024-03-28,1060380.2662405262
2024-04-01,1062290.5421339187
2024-04-02,1044885.5458743639
2024-04-03,1046579.0273328564
2024-04-04,1032198.1138940327
2024-04-05,1043829.3796606841
2024-04-08,1047853.4021284505
2024-04-09,1051957.7518296752
2024-04-10,1037444.6270868368
2024-04-11,1047682.9463519339
2024-04-12,1023971.6098119098
2024-04-15,1010395.5524877633
2024-04-16,1009922.1238839392
2024-04-17,998452.1405870754
2024-04-18,987600.6177738352
2024-04-19,977304.0346107986
2024-04-22,985145.6041792028
2024-04-23,1001830.4959692364
2024-04-24,1005510.545472856
2024-04-25,1004891.944593019
2024-04-26,1017603.4339075733
2024-04-29,1025511.2010852126
2024-04-30,1013536.8011116945
2024-05-01,1007874.4615936696
2024-05-02,1025474.8113674939
2024-05-03,1052680.9928787714
2024-05-06,1064849.1933163446
2024-05-07,1066928.733709768
2024-05-08,1069271.6625322732
2024-05-09,1068764.3672860868
2024-05-10,1073970.2839112163
2024-05-13,1070976.263435835
2024-05-14,1076982.2574396562
2024-05-15,1094529.793952223
2024-05-16,1090835.1818498555
2024-05-17,1094617.05137961
2024-05-20,1107602.3933714295
2024-05-21,1106314.7111881338
2024-05-22,1104119.331609082
2024-05-23,1095573.6528801739
2024-05-24,1096837.1800288523
2024-05-28,1100407.7978018154
2024-05-29,1090071.2753519805
2024-05-30,1088216.7005301905
2024-05-31,1096158.6222638872
2024-06-03,1093289.7617659862
2024-06-04,1087542.814848229
2024-06-05,1107685.8468647266
2024-06-06,1108225.7622049332
2024-06-07,1101612.880769488
2024-06-10,1107599.8639925802
2024-06-11,1105746.1738034035
2024-06-12,1122023.7336855642
2024-06-13,1118594.3379013166
2024-06-14,1117042.921965242
2024-06-17,1129159.150261701
2024-06-18,1133767.9979583276
2024-06-20,1129575.524602108
2024-06-21,1132787.0685782882
2024-06-24,1124324.1104624178
2024-06-25,1139744.888657997
2024-06-26,1141745.2852881867
2024-06-27,1141403.9165604725
2024-06-28,1139714.6159935116
2024-07-01,1134278.4994713059
2024-07-02,1143568.6597914638
2024-07-03,1145840.9086735698
2024-07-05,1160758.7367580663
2024-07-08,1165745.1749407668
2024-07-09,1165997.0468804694
2024-07-10,1175440.1148118698
2024-07-11,1163952.4103834862
2024-07-12,1181670.066667694
2024-07-15,1182327.5548389447
2024-07-16,1189434.190314069
2024-07-17,1151445.0839307243
2024-07-18,1138909.7442174125
2024-07-19,1134842.2236251826
2024-07-22,1159654.4994261074
2024-07-23,1152232.769335942
2024-07-24,1121117.0168966583
2024-07-25,1112485.0882469409
2024-07-26,1133940.5863970453
2024-07-29,1132972.9534444609
2024-07-30,1122486.0147434266
2024-07-31,1154325.0853402799
2024-08-01,1126362.4356486327
2024-08-02,1122424.6406169457
2024-08-05,1101385.286577309
2024-08-06,1115266.4895820413
2024-08-07,1115143.3337608862
2024-08-08,1152571.3945893722
2024-08-09,1154474.3925948492
2024-08-12,1152482.3360484887
2024-08-13,1175764.4142338808
2024-08-14,1172605.6991641992
2024-08-15,1206319.584818702
2024-08-16,1204726.9824249602
2024-08-19,1220252.4223173892
2024-08-20,1214995.3794359856
2024-08-21,1225304.0543995723
2024-08-22,1207967.2463493182
2024-08-23,1213580.020129636
2024-08-26,1205632.3885457478
2024-08-27,1217628.8886908663
2024-08-28,1205986.0643686315
2024-08-29,1209302.4553307493
2024-08-30,1223052.082984042
2024-09-03,1180365.5709771519
2024-09-04,1180070.9403236746
2024-09-05,1174771.4427093847
2024-09-06,1147287.6951446992
2024-09-09,1164176.5378343305
2024-09-10,1166208.1478803337
2024-09-11,1187917.0253391045
2024-09-12,1206585.953772245
2024-09-13,1211168.9094229548
2024-09-16,1206532.562536592
2024-09-17,1198042.0175936546
2024-09-18,1192285.0674577963
2024-09-19,1215830.797349347
2024-09-20,1204605.4107950062
2024-09-23,1202485.967269493
2024-09-24,1200965.618251403
2024-09-25,1199770.8457187635
2024-09-26,1209072.4604052443
2024-09-27,1201362.3255585977
2024-09-30,1200728.944459884
2024-10-01,1190671.6601908319
2024-10-02,1184814.2368304804
2024-10-03,1175949.5887523259
2024-10-04,1182860.7326742061
2024-10-07,1171897.2568961794
2024-10-08,1188591.1386443872
2024-10-09,1204344.629112426
2024-10-10,1197616.1528973468
2024-10-11,1208211.6407085692
2024-10-14,1215268.1542570496
2024-10-15,1184817.371925595
2024-10-16,1180134.210271565
2024-10-17,1184072.6849204153
2024-10-18,1192613.9158017677
2024-10-21,1184492.450663461
2024-10-22,1181911.9738294613
2024-10-23,1172037.7329285038
2024-10-24,1180517.9446134616
2024-10-25,1183339.3128054724
2024-10-28,1180857.9696118473
2024-10-29,1188155.4632697096
2024-10-30,1180925.8096846123
2024-10-31,1146035.4213875674
2024-11-01,1155710.6098191624
2024-11-04,1156273.796799783
2024-11-05,1167247.3472707234
2024-11-06,1191559.980823309
2024-11-07,1170440.3026833974
2024-11-08,1198811.5771517414
2024-11-11,1198919.897950288
2024-11-12,1190798.285594555
2024-11-13,1182344.9306283004
2024-11-14,1165796.587001216
2024-11-15,1145070.880857841
2024-11-18,1155931.6867323795
2024-11-19,1151742.4147233898
2024-11-20,1153223.8319569214
2024-11-21,1170197.7480885044
2024-11-22,1174712.0308332616
2024-11-25,1186838.2312958909
2024-11-26,1186714.295568347
2024-11-27,1175607.9998373508
2024-11-29,1180172.7810558623
2024-12-02,1182386.593909815
2024-12-03,1180725.5032891347
2024-12-04,1195916.2284884863
2024-12-05,1184769.2825216937
2024-12-06,1187421.0020471069
2024-12-09,1167096.4877458636
2024-12-10,1168997.9648824602
2024-12-11,1183654.1877414484
2024-12-12,1173076.5143813186
2024-12-13,1168951.9178502061
2024-12-16,1176338.259415416
2024-12-17,1176305.2156624666
2024-12-18,1132775.8190723513
2024-12-19,1115450.6865484396
2024-12-20,1124266.36074233
2024-12-23,1133961.7156686299
2024-12-24,1146363.8343946312
2024-12-26,1144255.2803810143
2024-12-27,1133633.0839586419
2024-12-30,1118459.2351483244
2024-12-31,1112069.870070678
2025-01-02,1116878.8796903957
2025-01-03,1139046.9248886462
2025-01-06,1138188.5822151795
2025-01-07,1127459.2977753824
2025-01-08,1130044.3876024713
2025-01-10,1115382.8414049926
2025-01-13,1115472.243911201
2025-01-14,1118442.8727522367
2025-01-15,1142943.279968855
2025-01-16,1141929.423994984
2025-01-17,1154293.1053580092
2025-01-21,1165248.782991681
2025-01-22,1171840.1444856722
2025-01-23,1173026.9081551684
2025-01-24,1162053.890134415
2025-01-27,1144165.9572885206
2025-01-28,1150900.8395030159
