,equity_ddpg_baseline
2024-01-02,1000000.0
2024-01-03,986165.3699931332
2024-01-04,984616.2101156347
2024-01-05,986646.499841892
2024-01-08,1001544.0466043585
2024-01-09,999716.1695978277
2024-01-10,1005929.6996233099
2024-01-11,1005051.439869129
2024-01-12,1012596.1118661993
2024-01-16,1015933.9109899633
2024-01-17,1006854.5595495336
2024-01-18,1020535.0212690466
2024-01-19,1039975.2074777716
2024-01-22,1049822.1975195042
2024-01-23,1055513.6308462254
2024-01-24,1055441.0408384434
2024-01-25,1053996.9244005315
2024-01-26,1055786.9569818608
2024-01-29,1066044.4049398534
2024-01-30,1059443.4055540196
2024-01-31,1044516.6541673773
2024-02-01,1059392.9015829198
2024-02-02,1057064.9447595708
2024-02-05,1055391.496576511
2024-02-06,1045745.7468835943
2024-02-07,1051196.4471990697
2024-02-08,1066969.9373514287
2024-02-09,1076321.8219186894
2024-02-12,1067683.125099384
2024-02-13,1048935.7986166112
2024-02-14,1066516.6702253453
2024-02-15,1074870.2237207524
2024-02-16,1068901.1396314732
2024-02-20,1060240.1369669072
2024-02-21,1059982.0535604588
2024-02-22,1089533.9719755284
2024-02-23,1068047.7207891576
2024-02-26,1068368.5276605717
2024-02-27,1065390.1681291691
2024-02-28,1062930.5149023167
2024-02-29,1065640.8000013463
2024-03-01,1084939.303873264
2024-03-04,1076041.2701646916
2024-03-05,1055231.8324930302
2024-03-06,1064107.1313268773
2024-03-07,1077814.6794130437
2024-03-08,1060695.6057779423
2024-03-11,1060919.5891019932
2024-03-12,1069352.1460821263
2024-03-13,1060281.6940309636
2024-03-14,1053659.569032871
2024-03-15,1040620.6915952795
2024-03-18,1043320.2361566656
2024-03-19,1047263.1697027319
2024-03-20,1056407.2166654698
2024-03-21,1067218.740081989
2024-03-22,1065023.1189462773
2024-03-25,1058687.1434900395
2024-03-26,1057663.9523317448
2024-03-27,1060849.8758279912
2024-03-28,1059737.1392004124
2024-04-01,1061654.7389433018
2024-04-02,1044263.2507249945
2024-04-03,1045969.436252796
2024-04-04,1031588.1804983251
2024-04-05,1043206.4727708929
2024-04-08,1047233.1735956304
2024-04-09,1051328.3891889683
2024-04-10,1036805.1669122808
2024-04-11,1047032.3732092016
2024-04-12,1023314.3835947149
2024-04-15,1009750.8368036383
2024-04-16,1009275.5328428381
2024-04-17,997805.6949579351
2024-04-18,986954.4241029852
2024-04-19,976662.3136942022
2024-04-22,984496.9890634649
2024-04-23,1001172.2303011053
2024-04-24,1004846.3946783178
2024-04-25,1004223.913904392
2024-04-26,1016924.7311784857
2024-04-29,1024834.0995905035
2024-04-30,1012860.7587911718
2024-05-01,1007201.0178606146
2024-05-02,1024791.6568147772
2024-05-03,1051980.0420953862
2024-05-06,1064131.591430866
2024-05-07,1066196.6913396947
2024-05-08,1068549.9717523686
2024-05-09,1068016.9401189915
2024-05-10,1073210.412756168
2024-05-13,1070236.6864606969
2024-05-14,1076235.6652986638
2024-05-15,1093772.249508106
2024-05-16,1090077.437303745
2024-05-17,1093846.65501424
2024-05-20,1106840.2401773564
2024-05-21,1105534.7101652257
2024-05-22,1103336.5031664006
2024-05-23,1094796.4501363866
2024-05-24,1096034.9920122258
2024-05-28,1099671.528854572
2024-05-29,1089359.2692796818
2024-05-30,1087495.7154008977
2024-05-31,1095446.5590288274
2024-06-03,1092571.5491945378
2024-06-04,1086809.2516290776
2024-06-05,1106944.7085077397
2024-06-06,1107474.9875299565
2024-06-07,1100855.5414774052
2024-06-10,1106853.423549854
2024-06-11,1105002.99095174
2024-06-12,1121277.858604633
2024-06-13,1117843.834625446
2024-06-14,1116285.285053455
2024-06-17,1128392.7442361943
2024-06-18,1133000.9168609693
2024-06-20,1128830.7321504666
2024-06-21,1132071.4278945043
