,equity_sac_ac
2024-01-02,1000000.0
2024-01-03,992703.7379460367
2024-01-04,988671.6088269852
2024-01-05,988369.5449548884
2024-01-08,1007244.6911599932
2024-01-09,1007705.4630053052
2024-01-10,1010261.3973440027
2024-01-11,1010251.0213976199
2024-01-12,1006277.2434819757
2024-01-16,1006325.1270238945
2024-01-17,1002427.4288826225
2024-01-18,1014537.0263920185
2024-01-19,1032695.2664836006
2024-01-22,1040167.9650404312
2024-01-23,1046148.1879326114
2024-01-24,1053966.3826648851
2024-01-25,1056366.087648342
2024-01-26,1051451.2911237264
2024-01-29,1065650.2747108175
2024-01-30,1059426.593332122
2024-01-31,1040115.3903275274
2024-02-01,1052892.81929232
2024-02-02,1062039.3430566676
2024-02-05,1064946.1811168997
2024-02-06,1062943.2041351176
2024-02-07,1076650.1796687336
2024-02-08,1084778.0284013632
2024-02-09,1091887.4855299543
2024-02-12,1084717.3988526945
2024-02-13,1062309.4709494696
2024-02-14,1080389.1929348188
2024-02-15,1087123.8030818428
2024-02-16,1077774.09633537
2024-02-20,1068591.2765827929
2024-02-21,1068571.8156048583
2024-02-22,1099541.862370344
2024-02-23,1092171.3756657941
2024-02-26,1092959.2302689727
2024-02-27,1093689.560617292
2024-02-28,1091463.523630163
2024-02-29,1102715.9740890374
2024-03-01,1123888.461282625
2024-03-04,1119737.1459036414
2024-03-05,1093168.8122168528
2024-03-06,1106858.6537763514
2024-03-07,1124030.4407391562
2024-03-08,1106650.19774194
2024-03-11,1099940.4758206392
2024-03-12,1111947.3898576798
2024-03-13,1099035.5490712395
2024-03-14,1092797.2745634583
2024-03-15,1080408.4769149935
2024-03-18,1086760.2391054144
2024-03-19,1096296.1889732033
2024-03-20,1106930.1348424326
2024-03-21,1119287.9662335431
2024-03-22,1113921.2602180298
2024-03-25,1107912.1470710372
2024-03-26,1107061.050368381
2024-03-27,1111857.0292967497
2024-03-28,1111548.419472237
2024-04-01,1114565.303330234
2024-04-02,1098755.932762831
2024-04-03,1105497.6819839668
2024-04-04,1088922.4919695547
2024-04-05,1104204.8517402927
2024-04-08,1108596.9726176995
2024-04-09,1111904.2494244184
2024-04-10,1095346.1005743903
2024-04-11,1104828.478966291
2024-04-12,1085429.9143525437
2024-04-15,1069502.4195390558
2024-04-16,1071540.0039626108
2024-04-17,1049158.0671927894
2024-04-18,1038821.9468838235
2024-04-19,1026981.1082916724
2024-04-22,1034972.4292906554
2024-04-23,1054627.9743831237
2024-04-24,1056817.6648658216
2024-04-25,1054627.9048571372
2024-04-26,1063688.3053172135
2024-04-29,1064777.0056163613
2024-04-30,1041773.2890549306
2024-05-01,1029125.5039084527
2024-05-02,1038178.1156447198
2024-05-03,1057546.8479602558
2024-05-06,1069041.4577187388
2024-05-07,1068704.0490547821
2024-05-08,1067527.9298362923
2024-05-09,1070360.0188830136
2024-05-10,1076322.3995970385
2024-05-13,1070733.8393017715
2024-05-14,1077056.3811129928
2024-05-15,1099068.0874080742
2024-05-16,1093278.6004315757
2024-05-17,1096070.7819636012
2024-05-20,1103381.0652555998
2024-05-21,1099431.297629847
2024-05-22,1101754.9432039189
2024-05-23,1097374.4819983868
2024-05-24,1100504.4515006118
2024-05-28,1103041.3282997154
2024-05-29,1089300.0163047428
2024-05-30,1078902.0014338898
2024-05-31,1081491.0346145318
2024-06-03,1077218.3504479437
2024-06-04,1077230.7676857756
2024-06-05,1107525.0748226491
2024-06-06,1106016.6851610236
2024-06-07,1100925.7107143258
2024-06-10,1107291.0699685118
2024-06-11,1107474.9280416728
2024-06-12,1126745.8800896849
2024-06-13,1118389.9796170564
2024-06-14,1114638.4371139735
2024-06-17,1132104.6965169183
2024-06-18,1134891.2462681322
2024-06-20,1130650.136956221
2024-06-21,1131945.6107891419
2024-06-24,1125634.3227697695
2024-06-25,1135873.7906898549
2024-06-26,1135336.5177369027
2024-06-27,1142542.47487863
2024-06-28,1139327.4900120203
2024-07-01,1142723.450780805
2024-07-02,1156974.7888781158
2024-07-03,1163555.9461854217
2024-07-05,1175324.6415514364
2024-07-08,1173125.30503613
2024-07-09,1163790.285241301
2024-07-10,1176851.5967207358
2024-07-11,1161688.454197989
2024-07-12,1172447.710887509
2024-07-15,1174800.253323903
2024-07-16,1182252.7716692826
2024-07-17,1136527.9293406745
2024-07-18,1122440.4347140829
2024-07-19,1111214.5138599086
2024-07-22,1135745.626089265
2024-07-23,1127115.0304463925
2024-07-24,1085678.6385287913
2024-07-25,1078943.0067623425
2024-07-26,1087071.2397696804
2024-07-29,1088240.7713836855
2024-07-30,1078401.6859680016
2024-07-31,1107933.6260590048
2024-08-01,1084570.6908087442
2024-08-02,1046492.1233593835
2024-08-05,1023355.029987556
2024-08-06,1040773.9862097078
2024-08-07,1035599.368964281
2024-08-08,1070051.9945815955
2024-08-09,1072453.6011840673
2024-08-12,1068715.3409811335
2024-08-13,1086635.9452665849
2024-08-14,1084431.3404572234
2024-08-15,1113040.237328356
2024-08-16,1113733.8391815033
2024-08-19,1126114.5030162595
2024-08-20,1122853.5665672114
2024-08-21,1134286.9815139775
