,equity_sac_baseline
2024-01-02,1000000.0
2024-01-03,992458.7830350685
2024-01-04,988185.2122539292
2024-01-05,987879.396592003
2024-01-08,1006755.16767202
2024-01-09,1007225.8058365403
2024-01-10,1009786.3444374619
2024-01-11,1009775.8698319016
2024-01-12,1005794.0344322739
2024-01-16,1005850.7318619309
2024-01-17,1001957.5722435532
2024-01-18,1014067.3012817918
2024-01-19,1032221.2002190171
2024-01-22,1039691.0046394883
2024-01-23,1045672.7732590256
2024-01-24,1053485.2784279403
2024-01-25,1055874.7224052963
2024-01-26,1050960.1889885482
2024-01-29,1065163.7110985336
2024-01-30,1058933.2219856796
2024-01-31,1039632.510125023
2024-02-01,1052413.293652397
2024-02-02,1061568.0393494186
2024-02-05,1064476.8506935653
2024-02-06,1062466.0792854843
2024-02-07,1076174.8307846603
2024-02-08,1084296.0033119735
2024-02-09,1091411.1828735885
2024-02-12,1084194.2640999374
2024-02-13,1061787.5858963546
2024-02-14,1079853.2977264938
2024-02-15,1086559.4270866928
2024-02-16,1077206.760464531
2024-02-20,1068028.4134453353
2024-02-21,1068003.3944328842
2024-02-22,1098983.3733070907
2024-02-23,1091614.103432518
2024-02-26,1092399.4914558944
2024-02-27,1093127.0592468795
2024-02-28,1090895.0695885238
2024-02-29,1102138.4430016098
2024-03-01,1123302.2149666366
2024-03-04,1119171.553078514
2024-03-05,1092599.3715332565
2024-03-06,1106285.5296829757
2024-03-07,1123451.9559296188
2024-03-08,1106070.1343353805
2024-03-11,1099356.4329765853
2024-03-12,1111363.2812241134
2024-03-13,1098441.4425896225
2024-03-14,1092196.7878540573
2024-03-15,1079806.543137413
2024-03-18,1086157.910691124
2024-03-19,1095685.4413078842
2024-03-20,1106318.4663246688
2024-03-21,1118671.3645561752
2024-03-22,1113303.6718987045
2024-03-25,1107288.342972618
2024-03-26,1106444.9419869003
2024-03-27,1111233.4225166854
2024-03-28,1110919.419106346
2024-04-01,1113932.093338829
2024-04-02,1098119.697106224
2024-04-03,1104852.073304039
2024-04-04,1088284.0199211654
2024-04-05,1103555.6253899154
2024-04-08,1107940.346527916
2024-04-09,1111251.0436867294
2024-04-10,1094690.5927055893
2024-04-11,1104166.2948921737
2024-04-12,1084774.0447166977
2024-04-15,1068849.8057564315
2024-04-16,1070891.9944923935
2024-04-17,1048519.2662972031
2024-04-18,1038188.2435463486
2024-04-19,1026343.6557549058
2024-04-22,1034328.9254234849
2024-04-23,1053978.5836342392
2024-04-24,1056165.4128502426
2024-04-25,1053969.5357216415
2024-04-26,1063027.765629631
2024-04-29,1064122.7145775375
2024-04-30,1041134.5538986741
2024-05-01,1028503.6073044358
2024-05-02,1037550.8911942063
2024-05-03,1056906.8959740219
2024-05-06,1068392.658924919
2024-05-07,1068056.9275673446
2024-05-08,1066882.3211563644
2024-05-09,1069712.7658165512
2024-05-10,1075680.1783493576
2024-05-13,1070096.2881058273
2024-05-14,1076427.775383812
2024-05-15,1098443.7899635849
2024-05-16,1092661.3738792953
2024-05-17,1095443.4259842453
2024-05-20,1102753.1830605087
