,equity_td3_ac
2024-01-02,1000000.0
2024-01-03,987477.7373436459
2024-01-04,984569.521683413
2024-01-05,983690.0382721632
2024-01-08,997292.9806646147
2024-01-09,1000221.4923194163
2024-01-10,1007898.7641247385
2024-01-11,1011381.3700896349
2024-01-12,1012886.9237887161
2024-01-16,1012751.0739738407
2024-01-17,1007190.0847821378
2024-01-18,1020918.7793351059
2024-01-19,1034703.2353196479
2024-01-22,1039629.8107508275
2024-01-23,1042432.6994838646
2024-01-24,1038433.2898771273
2024-01-25,1042230.6400336929
2024-01-26,1037066.7339407828
2024-01-29,1051370.7842395445
2024-01-30,1048741.6625709375
2024-01-31,1030945.335592441
2024-02-01,1042720.1326989259
2024-02-02,1055544.6696982891
2024-02-05,1056374.5111840456
2024-02-06,1053520.261247303
2024-02-07,1065314.1659024132
2024-02-08,1080656.8140015933
2024-02-09,1089355.162220347
2024-02-12,1079832.1890406238
2024-02-13,1062765.0498768154
2024-02-14,1077908.132654391
2024-02-15,1082420.3687608996
2024-02-16,1069238.4009186737
2024-02-20,1065228.3262574547
2024-02-21,1058762.5551205222
2024-02-22,1079830.2656958518
2024-02-23,1083088.1049494017
2024-02-26,1086142.7305935654
2024-02-27,1084729.1926418277
2024-02-28,1084893.395339604
2024-02-29,1088430.7997196044
2024-03-01,1102975.877887842
2024-03-04,1097517.9442870675
2024-03-05,1073870.6148986693
2024-03-06,1080803.6321472225
2024-03-07,1093501.357831672
2024-03-08,1085538.1428838877
2024-03-11,1083908.3112573093
2024-03-12,1097641.9168894226
2024-03-13,1089428.8783769356
2024-03-14,1081825.9057145314
2024-03-15,1067464.8179772075
2024-03-18,1069191.9958629503
2024-03-19,1070247.060013261
2024-03-20,1080039.0537729992
2024-03-21,1088212.403545613
2024-03-22,1084497.9124345253
2024-03-25,1082029.7189060163
2024-03-26,1084090.6229714938
2024-03-27,1088447.7300188912
2024-03-28,1086605.4806864033
2024-04-01,1082777.931293967
2024-04-02,1068153.684456945
2024-04-03,1069692.396932314
2024-04-04,1058677.1125293295
2024-04-05,1067867.318406468
2024-04-08,1071358.5442817311
2024-04-09,1076160.5880487408
2024-04-10,1062841.6095214991
2024-04-11,1068748.1320515533
2024-04-12,1049085.38868373
2024-04-15,1034981.9817537213
2024-04-16,1034162.5101251113
2024-04-17,1024678.0385686317
2024-04-18,1017782.1449063414
2024-04-19,1008859.2030928421
2024-04-22,1017809.3419320061
2024-04-23,1032162.965339443
2024-04-24,1035391.0867541113
2024-04-25,1026522.01463423
2024-04-26,1031426.3085921799
2024-04-29,1030758.2204971075
2024-04-30,1016639.976915117
2024-05-01,1014283.0194129397
2024-05-02,1030628.2152441419
2024-05-03,1043037.1354444964
2024-05-06,1052362.7961594965
2024-05-07,1053194.411063213
2024-05-08,1051173.2136101322
2024-05-09,1054514.8121668368
2024-05-10,1058061.7477160348
2024-05-13,1056870.0083462158
2024-05-14,1062654.2605535146
2024-05-15,1082674.0730318679
2024-05-16,1080792.4679329114
2024-05-17,1085759.9407393949
2024-05-20,1094193.3700181565
2024-05-21,1090837.5609756773
2024-05-22,1093311.3100349356
2024-05-23,1084040.1669269076
2024-05-24,1080784.619423706
2024-05-28,1075184.4326603813
2024-05-29,1065225.835148992
2024-05-30,1053359.7417925964
2024-05-31,1059892.8194612218
2024-06-03,1061790.0062115518
2024-06-04,1065934.4765170806
2024-06-05,1085080.509558174
2024-06-06,1083376.940833316
2024-06-07,1082993.3463726896
2024-06-10,1089444.8245602436
2024-06-11,1091420.5409226103
2024-06-12,1105452.0369839054
2024-06-13,1100319.8536335158
2024-06-14,1106989.3502108513
2024-06-17,1118803.315388234
2024-06-18,1120093.204579548
2024-06-20,1115669.292775948
2024-06-21,1122005.2296078233
2024-06-24,1116366.5699643258
2024-06-25,1125523.7220720653
2024-06-26,1122229.7505154319
2024-06-27,1127007.8442783405
2024-06-28,1124593.656383571
2024-07-01,1121458.1451769278
2024-07-02,1127255.1523295958
2024-07-03,1126240.1601060044
2024-07-05,1138469.8896350965
2024-07-08,1138680.141299957
2024-07-09,1132058.8781228026
2024-07-10,1140892.631231319
2024-07-11,1132465.2992381451
2024-07-12,1143292.1155034169
2024-07-15,1149532.915473167
2024-07-16,1162042.75611536
2024-07-17,1138513.397714565
2024-07-18,1128953.0413218113
2024-07-19,1126520.481620609
2024-07-22,1143933.1320128832
2024-07-23,1133138.236832032
