,equity_td3_baseline
2024-01-02,1000000.0
2024-01-03,986992.9033754121
2024-01-04,984060.0615137569
2024-01-05,983179.1080101482
2024-01-08,996776.2004183284
2024-01-09,999701.7743137828
2024-01-10,1007381.8563545696
2024-01-11,1010861.1917389384
2024-01-12,1012369.1669596187
2024-01-16,1012231.7352198116
2024-01-17,1006676.1299704066
2024-01-18,1020391.0547283641
2024-01-19,1034161.4397448055
2024-01-22,1039078.9532516948
2024-01-23,1041869.9668968669
2024-01-24,1037878.4758871547
2024-01-25,1041678.0803698055
2024-01-26,1036527.1284855357
2024-01-29,1050819.65591607
2024-01-30,1048198.6667307368
2024-01-31,1030409.7411993495
2024-02-01,1042186.8742245189
2024-02-02,1055008.1637037746
2024-02-05,1055835.6085279933
2024-02-06,1052989.1038893214
2024-02-07,1064774.6797979823
2024-02-08,1080110.9739511958
2024-02-09,1088807.1019123546
2024-02-12,1079287.8255108348
2024-02-13,1062247.610054826
2024-02-14,1077385.9619635097
2024-02-15,1081895.8109501353
2024-02-16,1068712.5648821346
2024-02-20,1064699.607741212
2024-02-21,1058221.5095251552
2024-02-22,1079291.917134141
2024-02-23,1082551.6515243999
2024-02-26,1085608.4079349986
2024-02-27,1084194.7901504985
2024-02-28,1084362.676112031
2024-02-29,1087887.1956032268
2024-03-01,1102414.2311037532
2024-03-04,1096957.9925430766
2024-03-05,1073325.7390964977
2024-03-06,1080252.9097441188
2024-03-07,1092933.0045488826
2024-03-08,1084978.5068663112
2024-03-11,1083345.1362684718
2024-03-12,1097073.9578903667
2024-03-13,1088863.2192972652
2024-03-14,1081272.5933712474
2024-03-15,1066910.3821266643
2024-03-18,1068649.6029470912
2024-03-19,1069706.0071371547
2024-03-20,1079487.034849023
2024-03-21,1087654.4843529216
2024-03-22,1083943.4831913463
2024-03-25,1081482.3605106822
2024-03-26,1083544.2137306682
2024-03-27,1087890.716574525
2024-03-28,1086035.602912759
2024-04-01,1082207.747403001
2024-04-02,1067589.2911337367
2024-04-03,1069124.0971601955
2024-04-04,1058118.464922761
2024-04-05,1067297.2990377895
2024-04-08,1070783.6041296474
2024-04-09,1075564.7228458873
2024-04-10,1062266.9286840907
2024-04-11,1068166.1154755107
2024-04-12,1048522.2492483607
2024-04-15,1034426.3831413737
2024-04-16,1033602.5919941417
2024-04-17,1024124.3771360866
2024-04-18,1017236.6052063457
2024-04-19,1008329.0342806331
2024-04-22,1017270.1779869548
2024-04-23,1031610.0596683971
2024-04-24,1034819.4839790813
2024-04-25,1025943.9523743144
2024-04-26,1030834.7647140971
2024-04-29,1030163.167875146
2024-04-30,1016050.2129596225
2024-05-01,1013713.6724346629
2024-05-02,1030053.4330490581
2024-05-03,1042452.4159444324
2024-05-06,1051765.525748109
2024-05-07,1052597.0585139743
2024-05-08,1050572.1932819835
2024-05-09,1053914.179787492
2024-05-10,1057455.8384493343
2024-05-13,1056262.4359520427
2024-05-14,1062034.2696884624
2024-05-15,1082039.3623932353
2024-05-16,1080164.3406828395
2024-05-17,1085133.4605167857
2024-05-20,1093556.2071989528
2024-05-21,1090201.1590035907
2024-05-22,1092608.406273698
2024-05-23,1083351.319767808
2024-05-24,1080100.8859437457
2024-05-28,1074497.0205029002
2024-05-29,1064550.9523428432
2024-05-30,1052683.7829912654
2024-05-31,1059205.8335283748
2024-06-03,1061109.7206552974
2024-06-04,1065259.54446206
2024-06-05,1084387.7245052806
2024-06-06,1082681.0530546657
2024-06-07,1082304.9831884853
2024-06-10,1088751.8408230296
2024-06-11,1090724.846974229
2024-06-12,1104746.1854108325
2024-06-13,1099624.3892525188
2024-06-14,1106303.302930688
2024-06-17,1118111.591834878
2024-06-18,1119391.6404398433
2024-06-20,1114989.8135651103
2024-06-21,1121322.922706937
2024-06-24,1115692.4561551563
2024-06-25,1124842.3687151424
2024-06-26,1121556.9092215053
2024-06-27,1126337.4288466922
2024-06-28,1123920.7407287112
2024-07-01,1120791.423681592
2024-07-02,1126578.1668594829
2024-07-03,1125558.3558801166
2024-07-05,1137786.0324581615
2024-07-08,1137987.044544553
2024-07-09,1131370.5170820705
2024-07-10,1140184.1117814532
2024-07-11,1131772.977795457
2024-07-12,1142585.5770543567
2024-07-15,1148829.3927820674
2024-07-16,1161327.4142373553
2024-07-17,1137827.7669027797
2024-07-18,1128259.6075895778
2024-07-19,1125850.103547906
2024-07-22,1143233.1610020152
2024-07-23,1132465.4082516185
2024-07-24,1106749.9788063518
2024-07-25,1103212.6753366939
2024-07-26,1118821.655037736
2024-07-29,1119464.131936883
2024-07-30,1109779.3428257457
2024-07-31,1125981.2656000606
2024-08-01,1109699.6745232097
2024-08-02,1091193.448715066
2024-08-05,1063280.7572334758
2024-08-06,1076872.269420003
2024-08-07,1072890.897093629
2024-08-08,1108844.8086780063
2024-08-09,1112390.0348685733
