agent,cost_model,final_$,return_%,sharpe,max_dd_%,total_cost_$,trades
A2C,baseline,1275058.2052646487,27.505820526464863,0.6867819045915556,-17.577329185517463,1034.8638881835943,20855
A2C,ac,1274732.944821944,27.473294482194397,0.6863254545517634,-17.60309975726168,518.3538926864678,204
PPO,baseline,1504953.3266296803,50.49533266296804,0.8397239603803802,-26.71134882400507,1868.0814723548922,20574
PPO,ac,1466929.5515989866,46.692955159898666,0.7995508967976676,-26.43680626949964,936.0639232695863,1907
DDPG,baseline,1303890.691341789,30.389069134178893,0.6964688548081953,-17.94540874959627,1037.090907661438,24168
DDPG,ac,1304538.4654013605,30.453846540136055,0.6978179656120133,-17.92750032554627,521.1367237975694,48
TD3,baseline,1174507.753894662,17.4507753894662,0.48245315905508007,-19.477062844182036,1064.5511294851303,30912
TD3,ac,1175691.044289561,17.569104428956095,0.4848268179692556,-19.481284561905177,534.1051871901036,50
SAC,baseline,1259609.4418539468,25.960944185394673,0.5993072057174553,-20.155274801047778,998.9997659263613,25290
SAC,ac,1260214.5639484867,26.021456394848673,0.6004367063357577,-20.160129885184443,509.25742941594115,92
