day,cost_$,turnover_$,pov
0,12.011667924417601,24021.276695251465,1.8558958760412092e-06
1,11.891920248616133,23781.813148498535,1.8558958760412092e-06
2,11.89693513009735,23791.838172912598,1.8558958760412092e-06
3,11.929425573957547,23856.804862976074,1.8558958760412092e-06
4,12.052241379351356,24102.417625427246,1.8558958760412092e-06
5,11.98338720291464,23964.727081298828,1.8558958760412092e-06
6,12.057867042811264,24113.67911529541,1.8558958760412092e-06
7,12.07858698760932,24155.121490478516,1.8558958760412092e-06
8,12.029921766093656,24057.800384521484,1.8558958760412092e-06
9,12.021919497491472,24041.78773498535,1.8558958760412092e-06
10,11.974492345793458,23946.946502685547,1.8558958760412092e-06
11,12.020823392361585,24039.606216430664,1.8558958760412092e-06
12,12.133260265412183,24264.455375671387,1.8558958760412092e-06
13,12.162968323575049,24323.86474609375,1.8558958760412092e-06
14,12.080796718346146,24159.549171447754,1.8558958760412092e-06
15,12.02244753145108,24042.862663269043,1.8558958760412092e-06
16,12.117157778018722,24232.26351928711,1.8558958760412092e-06
17,12.15863454558288,24315.222854614258,1.8558958760412092e-06
18,12.228871347691447,24455.68302154541,1.8558958760412092e-06
19,12.289154789568355,24576.227828979492,1.8558958760412092e-06
20,12.157206196962147,24312.349487304688,1.8558958760412092e-06
21,12.24419404838169,24486.31372833252,1.8558958760412092e-06
22,12.272001968716717,24541.920265197754,1.8558958760412092e-06
23,12.208916635730747,24415.7681350708,1.8558958760412092e-06
24,12.265956346378404,24529.838577270508,1.8558958760412092e-06
25,12.359255943186746,24716.422317504883,1.8558958760412092e-06
26,12.41536390608138,24828.63860321045,1.8558958760412092e-06
27,12.384204213795808,24766.32430267334,1.8558958760412092e-06
28,12.441642949956194,24881.174354553223,1.8558958760412092e-06
29,12.229114531101457,24456.17431640625,1.8558958760412092e-06
30,12.276347434679181,24550.637657165527,1.8558958760412092e-06
31,10.08969836319629,20178.05869293213,1.488027198816267e-06
32,10.011182321439685,20021.043907165527,1.4700350743127337e-06
33,9.99351127503328,19985.70245361328,1.4700350743127337e-06
34,10.023163282549586,20044.998992919922,1.4700350743127337e-06
35,10.148058169603859,20294.773849487305,1.4700350743127337e-06
36,10.149220059542815,20297.09595489502,1.4700350743127337e-06
37,10.149024832386736,20296.705520629883,1.4700350743127337e-06
38,10.15575327567636,20310.159378051758,1.4700350743127337e-06
39,10.166377771869612,20331.399017333984,1.4700350743127337e-06
40,10.197692813168517,20394.03076171875,1.4700350743127337e-06
41,10.235493520961407,20469.628204345703,1.4700350743127337e-06
