day,cost_$,turnover_$,pov
0,78.38129125306192,156713.96060562134,1.1899300863403607e-05
1,77.89864741745353,155749.12048721313,1.1899300863403607e-05
2,77.95165585431056,155855.02927398682,1.1899300863403607e-05
3,77.81869682343434,155589.1406059265,1.1899300863403607e-05
4,78.30419714748423,156559.77032089233,1.1899300863403607e-05
5,77.98718983013701,155925.9485092163,1.1899300863403607e-05
6,31.565740778825614,63107.12277803842,1.2753726828020047e-05
7,87.25989045897751,174387.14487943848,2.023377318771637e-05
8,64.1937685038859,128274.08035564162,2.415765087021012e-05
9,22.455692496692226,44888.89898279627,2.341813379455144e-05
10,19.826772076620294,39633.34168495463,2.5350607156440582e-05
11,25.575030341331342,51125.354687676256,2.3509448316780717e-05
12,21.1507597765114,42283.1901978651,1.9931248365038838e-05
13,13.211603007942367,26412.942999042858,1.626685763771407e-05
14,8.697261476171388,17388.60364184414,1.2412320973113813e-05
15,5.637385760563731,11272.099430645683,8.430174602244615e-06
16,13.3678556937236,26724.007632587527,1.7719937263182885e-05
17,8.106822221645691,16209.708424360386,1.0660360341210981e-05
18,2.9106468768672458,5820.739377537195,4.1473324957963125e-06
19,6.124480414357773,12246.208954644235,9.400423887464153e-06
20,3.2019967815107258,6403.261931441145,4.8548227168287806e-06
21,1.796059442260518,3591.8355323546148,2.328498113617744e-06
22,3.0725274260652853,6144.398786050497,2.9359325728287905e-06
23,3.0206953081196,6040.844600102037,4.334604942960944e-06
24,0.5296137917294531,1059.201465309833,7.447505180810495e-07
25,3.194650032954137,6388.360281607671,4.453723970411841e-06
26,4.049478363439075,8097.457479644372,5.589402283356498e-06
27,3.742737783613751,7484.187682138261,5.203952007807286e-06
28,1.5597374311986947,3119.2484901078637,2.210058071259709e-06
29,7.4177708501191875,14831.970901024879,1.0600244566769651e-05
30,7.959451632384713,15914.86000637543,1.1177532232920325e-05
31,12.486326744483671,24963.274232337546,1.665036394093203e-05
32,8.393885594150168,16783.18344594882,1.126762812923592e-05
33,7.178199864228904,14352.825828456082,9.945740223492228e-06
34,6.95841045387353,13913.414026069562,9.606059058549657e-06
35,5.278344487254964,10554.545874262743,7.602754868781727e-06
36,3.61764803818812,7234.282986727436,5.25619616337064e-06
37,1.7453587437242526,3490.534426412525,2.290241602008915e-06
38,1.4148269996984943,2829.5041183128014,2.0489926454431017e-06
39,3.643625886985154,7286.265431730202,5.3248538389451355e-06
40,2.151153218634121,4301.958221781365,3.1756369111889424e-06
41,4.33026395145617,8659.23916353878,3.840475506084906e-06
42,4.335773750087891,8670.131084160068,3.850687302781016e-06
43,2.8299468728854826,5659.241830470864,2.7758349736233822e-06
44,7.237388619858863,14470.35916899733,7.349867073551413e-06
45,5.787301916407984,11572.006460290624,8.662361079345264e-06
46,0.6510857697416288,1302.1378546599458,9.827896709734369e-07
47,0.6442745254434143,1288.5161258651815,9.616935032999063e-07
48,3.590700644345218,7180.380795937685,5.394864650479595e-06
49,2.6215148258593177,5242.489813299141,3.89758231299068e-06
50,1.4560826264120348,2912.026888564994,2.2660252461636348e-06
51,5.8209034899105285,11639.56972151009,9.198473058231431e-06
52,4.655622859721154,9309.791642765278,7.511403999099741e-06
53,2.064703888508994,4129.137993865397,3.0993947834065997e-06
54,0.8930498199217888,1786.0484174652345,1.370224475597953e-06
55,1.1790540895135082,2358.0118638792355,1.536377188113499e-06
56,1.4482081317472248,2896.2776219463776,1.3563170100046103e-06
57,2.0525270667901263,4104.779626253521,1.8972389119735867e-06
58,2.953731257188614,5906.898563664685,2.7096357463914374e-06
59,3.5568901038965177,7112.967523958603,3.248047793568374e-06
60,2.135342422653728,4270.399508651564,1.896588047413836e-06
61,0.305239164851418,610.4725318312423,2.704074556273504e-07
62,2.4455621830177927,4890.716058910732,3.1790136294015827e-06
63,3.708486097563771,7416.037851793061,4.8142465205753765e-06
64,1.8489494179944188,3697.666675582005,2.394527427745692e-06
65,3.977988046873481,7954.889565664061,5.221319205415524e-06
66,1.5044296719973687,3008.7027846834712,1.978302618645729e-06
67,4.155865135543228,8310.528216895706,5.476333098326664e-06
68,9.04891146086026,18092.016457191483,1.2165408461930604e-05
69,8.885476278137007,17765.433371378112,1.1777854078988813e-05
70,6.472920508265463,12942.903788476107,8.584478575094235e-06
71,4.68983360893268,9378.115830453567,6.265831091071169e-06
72,3.7999312817483966,7598.836360222157,5.128969417078224e-06
73,0.29806782259297626,596.1303379391256,4.169486967468321e-07
74,4.114220636922878,8228.06558893339,8.983275829578965e-07
75,1.3568564598629271,2713.672440415137,2.9195073735525466e-07
76,0.8838486459993791,1767.6802382680632,1.8741411629611765e-07
