,equity_a2c_ac
2024-01-02,1000000.0
2024-01-03,998350.1202955185
2024-01-04,998167.8632739696
2024-01-05,998365.8623492771
2024-01-08,1006258.1002867384
2024-01-09,1003550.7843872346
2024-01-10,1013060.4470232915
2024-01-11,1017363.5824990214
2024-01-12,1017695.7206971255
2024-01-16,1013547.1037986734
2024-01-17,1010190.7843610895
2024-01-18,1017438.9671822278
2024-01-19,1035830.4669122178
2024-01-22,1036227.7912285621
2024-01-23,1021769.6371447274
2024-01-24,1016846.9083581427
2024-01-25,1031945.8067848983
2024-01-26,1032101.2352857632
2024-01-29,1038641.8249334737
2024-01-30,1041618.6040851421
2024-01-31,1027330.1368705359
2024-02-01,1042100.6207760074
2024-02-02,1048605.7894258292
2024-02-05,1048307.2562268572
2024-02-06,1050144.5921720276
2024-02-07,1052666.377205294
2024-02-08,1051473.9379269932
2024-02-09,1046514.8085797721
2024-02-12,1052925.5965986005
2024-02-13,1034315.1514578381
2024-02-14,1041161.330707245
2024-02-15,1054712.4602363436
2024-02-16,1049639.0475676535
2024-02-20,1043169.8947888862
2024-02-21,1046497.4808602192
2024-02-22,1061522.014909267
2024-02-23,1063504.2694935738
2024-02-26,1063628.561630649
2024-02-27,1066991.6044853276
2024-02-28,1067222.1195823974
2024-02-29,1074703.834573688
2024-03-01,1081546.8542169773
2024-03-04,1078012.1108846553
2024-03-05,1068265.9751772457
2024-03-06,1072690.4253868305
2024-03-07,1077021.315388484
2024-03-08,1076211.4294275823
2024-03-11,1073374.953242482
2024-03-12,1084575.412432824
2024-03-13,1097905.4524587793
2024-03-14,1092132.3619315836
2024-03-15,1096731.5256159257
2024-03-18,1102785.4129802827
2024-03-19,1111791.7356887874
2024-03-20,1123798.7686324236
2024-03-21,1137038.7544005264
2024-03-22,1125391.8389700493
2024-03-25,1119988.6649080983
2024-03-26,1116114.9656042166
2024-03-27,1137085.158831186
2024-03-28,1139405.5490212105
2024-04-01,1135305.8646276563
2024-04-02,1126954.349545468
2024-04-03,1136654.9650924408
2024-04-04,1119541.3200924988
2024-04-05,1133450.0543085437
2024-04-08,1129289.923113995
2024-04-09,1127528.647745601
2024-04-10,1118043.8042122566
2024-04-11,1120684.9878326377
2024-04-12,1106847.906052902
2024-04-15,1099591.680040328
2024-04-16,1091796.6954907542
2024-04-17,1083314.4016831247
2024-04-18,1082862.0382003905
2024-04-19,1087274.4109832833
2024-04-22,1095587.4148187912
2024-04-23,1104639.839377529
2024-04-24,1102483.494681964
2024-04-25,1065518.3177124946
2024-04-26,1074501.0753068198
2024-04-29,1090984.2510050505
2024-04-30,1071113.557678507
2024-05-01,1072587.9613906736
2024-05-02,1079463.0539719774
2024-05-03,1123092.5446081795
2024-05-06,1116895.8936858296
2024-05-07,1121081.629724034
2024-05-08,1129139.1493650668
2024-05-09,1149041.399746484
2024-05-10,1151332.093788386
2024-05-13,1150788.100409114
2024-05-14,1156460.1241693704
2024-05-15,1171056.4316852042
2024-05-16,1160058.750091433
2024-05-17,1165308.4352247715
2024-05-20,1173644.0474473618
2024-05-21,1166711.2453279013
2024-05-22,1152215.4715082606
2024-05-23,1137530.6811239207
2024-05-24,1135408.003278645
2024-05-28,1124329.2431182393
2024-05-29,1106083.5751391528
2024-05-30,1116520.5757941958
2024-05-31,1126131.2632902814
2024-06-03,1115624.7300870814
2024-06-04,1110082.2504224407
2024-06-05,1113977.5530399405
2024-06-06,1108839.8867788033
2024-06-07,1109672.886251577
2024-06-10,1110916.4239156109
2024-06-11,1107179.8764090715
2024-06-12,1112147.4388357233
2024-06-13,1107535.0061282788
2024-06-14,1099207.8518333999
2024-06-17,1108280.1842938017
2024-06-18,1115355.361860616
