,equity_a2c_baseline
2024-01-02,1000000.0
2024-01-03,998350.1762660444
2024-01-04,998167.9746286696
2024-01-05,998366.0291036034
2024-01-08,1006258.3224657632
2024-01-09,1003551.0624764176
2024-01-10,1013060.3725059967
2024-01-11,1017369.4463467541
2024-01-12,1017716.3326329365
2024-01-16,1013598.4653099766
2024-01-17,1010365.0978771878
2024-01-18,1017465.4997509023
2024-01-19,1036138.866728407
2024-01-22,1036120.472665146
2024-01-23,1021018.1775848905
2024-01-24,1015964.3524035321
2024-01-25,1031415.3283979245
2024-01-26,1031432.0044587632
2024-01-29,1038033.578731825
2024-01-30,1041172.0568616239
2024-01-31,1026671.2013160688
2024-02-01,1041154.6500524236
2024-02-02,1046660.472734316
2024-02-05,1045927.4692375318
2024-02-06,1047361.1465316049
2024-02-07,1049475.5293191683
2024-02-08,1047797.6857987748
2024-02-09,1043214.3206849996
2024-02-12,1049788.6477203541
2024-02-13,1030981.448658394
2024-02-14,1037536.956846264
2024-02-15,1050421.0015812228
2024-02-16,1044886.8636184884
2024-02-20,1038020.6379939119
2024-02-21,1042236.7786664488
2024-02-22,1056492.7152951108
2024-02-23,1059461.938008421
2024-02-26,1058022.538650509
2024-02-27,1059863.5669556467
2024-02-28,1059991.3716776392
2024-02-29,1065245.546176014
2024-03-01,1072569.450904711
2024-03-04,1069630.083971325
2024-03-05,1061702.0659243357
2024-03-06,1065153.4217516556
2024-03-07,1068687.9587816393
2024-03-08,1067775.7739214099
2024-03-11,1065198.7325766603
2024-03-12,1076783.0705105306
2024-03-13,1090174.2018476373
2024-03-14,1083642.2293218481
2024-03-15,1088451.740735964
2024-03-18,1094392.0144433691
2024-03-19,1102910.1116509573
2024-03-20,1114195.0280274088
2024-03-21,1129246.086251507
2024-03-22,1117485.6442344477
2024-03-25,1113605.4460800516
2024-03-26,1110138.9773669627
2024-03-27,1131281.0620983315
2024-03-28,1133381.5588753968
2024-04-01,1129447.9744179307
2024-04-02,1120213.366171631
2024-04-03,1129290.9200845568
2024-04-04,1111589.3973387796
2024-04-05,1124865.3400936567
2024-04-08,1121026.952462084
2024-04-09,1119174.1781169397
2024-04-10,1109671.22154031
2024-04-11,1111485.314978882
2024-04-12,1097165.6508030053
2024-04-15,1090621.2858806383
2024-04-16,1083700.8469007704
2024-04-17,1074238.1651395818
2024-04-18,1074389.6724327528
2024-04-19,1080100.9360004351
2024-04-22,1087935.6815196916
2024-04-23,1097281.0932356454
2024-04-24,1094731.962920357
2024-04-25,1058200.8123901293
2024-04-26,1067249.2256707766
2024-04-29,1083067.1733831465
2024-04-30,1063755.028014517
2024-05-01,1065884.8916932202
2024-05-02,1071824.4245873091
2024-05-03,1115411.43801503
2024-05-06,1108817.1318626862
2024-05-07,1113103.5720228045
2024-05-08,1121823.1111033822
2024-05-09,1141441.8969716683
2024-05-10,1143689.19032399
2024-05-13,1142434.9773549882
2024-05-14,1148258.2590464593
2024-05-15,1162433.9974545403
2024-05-16,1151864.8312876609
2024-05-17,1156278.6886256125
2024-05-20,1164940.5771601049
2024-05-21,1158184.8270990697
2024-05-22,1143962.8633930876
2024-05-23,1129769.7974385435
2024-05-24,1127483.9048222716
2024-05-28,1114904.202322882
2024-05-29,1096490.5445241148
2024-05-30,1107460.3391102965
2024-05-31,1117461.9276906091
2024-06-03,1107685.3138352034
2024-06-04,1102469.534592993
2024-06-05,1105611.5438970397
2024-06-06,1100367.132085211
2024-06-07,1100564.3444913696
2024-06-10,1101498.8297094177
2024-06-11,1094195.01251734
2024-06-12,1096862.0418218444
2024-06-13,1091170.054791815
2024-06-14,1083335.018678076
2024-06-17,1092294.0861219238
2024-06-18,1099733.540303595
2024-06-20,1112248.7236150573
2024-06-21,1108759.0907338927
2024-06-24,1126136.3752263854
2024-06-25,1120524.3894361327
2024-06-26,1110207.5694555114
2024-06-27,1114398.233170874
2024-06-28,1118773.7072638609
2024-07-01,1108969.970077433
2024-07-02,1107640.0108712905
2024-07-03,1109774.6740297072
2024-07-05,1107895.4700692885
2024-07-08,1111284.9633630507
2024-07-09,1111111.2546800368
2024-07-10,1127343.997004866
2024-07-11,1140168.160487532
2024-07-12,1156453.1674569838
2024-07-15,1166893.531226515
2024-07-16,1193682.2870401137
2024-07-17,1196402.548327803
2024-07-18,1186641.6997445815
2024-07-19,1171989.7149766677
2024-07-22,1180674.2395585768
2024-07-23,1177019.0514825576
2024-07-24,1165180.5841172468
2024-07-25,1177425.9890962583
2024-07-26,1214131.3719804594
