,equity_ddpg_ac
2024-01-02,1000000.0
2024-01-03,998528.0222524203
2024-01-04,997110.8932431658
2024-01-05,997982.2734372898
2024-01-08,1007034.0390460385
2024-01-09,1004678.0737983787
2024-01-10,1011402.438920826
2024-01-11,1011066.0205793487
2024-01-12,1012469.949281721
2024-01-16,1011059.4211902977
2024-01-17,1008123.938034502
2024-01-18,1016849.2916564376
2024-01-19,1036363.8863684274
2024-01-22,1038549.4164247706
2024-01-23,1039328.3073385844
2024-01-24,1038918.40118234
2024-01-25,1043726.6171393397
2024-01-26,1038579.8751218345
2024-01-29,1043671.4500051197
2024-01-30,1048565.9020345493
2024-01-31,1034613.5178088411
2024-02-01,1043835.6131138308
2024-02-02,1054407.0100374238
2024-02-05,1043002.5420926538
2024-02-06,1044052.5399650416
2024-02-07,1051598.0122963008
2024-02-08,1050209.790225735
2024-02-09,1055055.6562350788
2024-02-12,1056531.770725341
2024-02-13,1042411.6262252076
2024-02-14,1046838.9892688962
2024-02-15,1054504.7657447471
2024-02-16,1051235.7310251042
2024-02-20,1051752.7535549062
2024-02-21,1055168.3560770212
2024-02-22,1072309.9855240693
2024-02-23,1072427.4392011384
2024-02-26,1067262.298560408
2024-02-27,1066759.3214618145
2024-02-28,1067768.6328815203
2024-02-29,1070973.897941959
2024-03-01,1070658.2685678126
2024-03-04,1070350.5654221955
2024-03-05,1061925.8046405222
2024-03-06,1063996.3178468477
2024-03-07,1068099.2234152448
2024-03-08,1064014.1661317865
2024-03-11,1064119.1880360479
2024-03-12,1074871.4426880232
2024-03-13,1072315.0617033767
2024-03-14,1069871.3487878768
2024-03-15,1063078.3901908551
2024-03-18,1063846.1556673679
2024-03-19,1073544.7993336192
2024-03-20,1084517.7904249574
2024-03-21,1091872.193137035
2024-03-22,1087937.651236741
2024-03-25,1082932.8847139883
2024-03-26,1082359.5688281334
2024-03-27,1097349.7301791678
2024-03-28,1099151.2677956633
2024-04-01,1094712.2049053053
2024-04-02,1088870.6818966663
