,equity_ddpg_baseline
2024-01-02,1000000.0
2024-01-03,998528.0944015501
2024-01-04,997111.0367565154
2024-01-05,997982.4884071349
2024-01-08,1007034.325704193
2024-01-09,1004681.225269432
2024-01-10,1011406.8876739234
2024-01-11,1011071.4387291602
2024-01-12,1012472.1119829749
2024-01-16,1011069.7338600539
2024-01-17,1008131.9441451052
2024-01-18,1016860.2917975405
2024-01-19,1036378.3268355349
2024-01-22,1038565.1323317507
2024-01-23,1039347.8076781252
2024-01-24,1038943.6155089358
2024-01-25,1043752.4003867129
2024-01-26,1038602.9102019289
2024-01-29,1043699.1880301455
2024-01-30,1048595.1270522098
2024-01-31,1034643.6582449892
2024-02-01,1043870.4218214968
2024-02-02,1054453.7350234012
2024-02-05,1043072.2965773562
2024-02-06,1044115.5568427065
2024-02-07,1051665.3718604068
2024-02-08,1050274.1749228458
2024-02-09,1055130.1911925296
2024-02-12,1056610.6529654483
2024-02-13,1042494.8766058901
2024-02-14,1046929.9075087527
2024-02-15,1054589.0867690067
2024-02-16,1051322.2275885562
2024-02-20,1051819.602062128
2024-02-21,1055224.6366461734
2024-02-22,1072424.3417090396
2024-02-23,1072545.0704153995
2024-02-26,1067383.0976790409
2024-02-27,1066876.937484644
2024-02-28,1067880.904430292
2024-02-29,1071090.5900305728
2024-03-01,1070794.1640433292
2024-03-04,1070504.4997405033
2024-03-05,1062092.1214255313
2024-03-06,1064178.124465845
2024-03-07,1068299.9912032108
2024-03-08,1064186.605728052
2024-03-11,1064282.4204749088
2024-03-12,1075063.55087652
2024-03-13,1072499.4209174137
2024-03-14,1070032.304946802
2024-03-15,1063244.5027464847
2024-03-18,1064015.1616362552
2024-03-19,1073715.7814673404
2024-03-20,1084691.4179839115
2024-03-21,1092049.1572340946
2024-03-22,1088132.993808649
2024-03-25,1083136.1107291202
2024-03-26,1082549.0676802616
2024-03-27,1097524.0019186954
2024-03-28,1099326.205314539
2024-04-01,1094886.1505278568
2024-04-02,1089041.6259573917
2024-04-03,1088199.5729826908
2024-04-04,1075437.8450354557
2024-04-05,1083345.9071997623
2024-04-08,1082759.3069037418
2024-04-09,1080395.800247095
2024-04-10,1072364.6413458805
2024-04-11,1075689.871642969
2024-04-12,1062000.1701430301
2024-04-15,1058592.7104605655
2024-04-16,1053551.1095656375
2024-04-17,1044647.5203246096
2024-04-18,1044419.1816367129
2024-04-19,1043826.7008475283
2024-04-22,1055634.3825797061
2024-04-23,1066434.9361914615
2024-04-24,1064357.1586722354
2024-04-25,1059230.9884489994
2024-04-26,1068370.8347281436
2024-04-29,1070308.2531889896
2024-04-30,1055697.9984396915
2024-05-01,1062352.7766417484
2024-05-02,1069256.8023871402
2024-05-03,1079162.934131525
2024-05-06,1087062.9466399173
2024-05-07,1086531.8306960086
2024-05-08,1090627.270080469
2024-05-09,1098785.2603606205
2024-05-10,1103325.2330244998
2024-05-13,1101422.748557947
2024-05-14,1106287.2504691104
2024-05-15,1116208.4601859073
2024-05-16,1117708.0507849674
2024-05-17,1118680.0905417423
2024-05-20,1110347.8718565921
2024-05-21,1115559.6788481693
2024-05-22,1112915.89595022
2024-05-23,1100860.722690485
2024-05-24,1106422.8176573734
2024-05-28,1102344.2550887088
2024-05-29,1097541.3601073246
2024-05-30,1092812.6070670108
2024-05-31,1103087.5718802433
2024-06-03,1104605.2201537113
2024-06-04,1109591.3489645938
2024-06-05,1116600.484634302
2024-06-06,1117128.256095789
2024-06-07,1117221.7333334903
2024-06-10,1118253.9706648807
2024-06-11,1117595.6423415164
2024-06-12,1122271.895332239
2024-06-13,1122748.4252013187
2024-06-14,1122595.3852728824
2024-06-17,1130519.3241843204
2024-06-18,1133467.834785364
2024-06-20,1136977.8736876468
2024-06-21,1136087.9782256107
2024-06-24,1139892.9710692386
2024-06-25,1138837.948093317
2024-06-26,1140631.0909270267
2024-06-27,1138844.117359064
2024-06-28,1130617.149013422
2024-07-01,1143090.8436392765
2024-07-02,1147479.9608992557
2024-07-03,1150806.1225851993
2024-07-05,1153430.8917006473
2024-07-08,1153227.1386107425
2024-07-09,1154479.2795676212
2024-07-10,1170872.5939673404
2024-07-11,1163144.051746271
2024-07-12,1164834.4500044803
2024-07-15,1171656.960189722
2024-07-16,1181617.2310713748
2024-07-17,1179532.2225684146
2024-07-18,1164353.4084776859
2024-07-19,1148475.757053278
2024-07-22,1154510.9562567691
2024-07-23,1156971.6617964725
2024-07-24,1140142.1540678958
2024-07-25,1133552.54678335
2024-07-26,1145980.7260092716
2024-07-29,1147523.5988539676
2024-07-30,1152379.2804488163
2024-07-31,1155405.8633421878
2024-08-01,1144784.8218153934
2024-08-02,1127119.0333785038
2024-08-05,1093154.612396143
2024-08-06,1101830.0461119632
2024-08-07,1102280.2745245914
2024-08-08,1119719.3825987796
2024-08-09,1123947.9081801395
2024-08-12,1122409.1361159305
2024-08-13,1135511.7887763004
2024-08-14,1143622.1867941837
2024-08-15,1155411.6181258182
2024-08-16,1161410.9297560672
2024-08-19,1172382.5105093936
2024-08-20,1169002.4892195682
2024-08-21,1172795.6985930423
2024-08-22,1166334.1030119876
2024-08-23,1180061.9288863163
2024-08-26,1178091.4500426273
2024-08-27,1180466.0740431766
2024-08-28,1175033.3698882083
2024-08-29,1180160.1137999515
2024-08-30,1190189.1403883914
2024-09-03,1167388.3079871158
2024-09-04,1167380.142398737
2024-09-05,1167061.7540854434
2024-09-06,1153925.616325281
2024-09-09,1171288.0205267887
2024-09-10,1164347.6089858036
2024-09-11,1171689.1687010746
2024-09-12,1179362.0884360294
2024-09-13,1186914.146114252
2024-09-16,1192252.0928915958
2024-09-17,1192291.1124533634
2024-09-18,1186699.0880736331
2024-09-19,1203953.351772211
2024-09-20,1202623.6970747928
2024-09-23,1202699.8833579044
2024-09-24,1203458.7676276187
2024-09-25,1200295.3893317203
2024-09-26,1203323.7255667667
2024-09-27,1201452.4968794803
2024-09-30,1201780.7486418705
2024-10-01,1189587.886474512
2024-10-02,1187529.4081419925
2024-10-03,1181109.6039198856
2024-10-04,1191905.5081328372
2024-10-07,1176468.7198866825
2024-10-08,1188529.8119811038
2024-10-09,1201737.101142786
2024-10-10,1201735.3222273807
2024-10-11,1214768.7158698062
2024-10-14,1225949.2909163455
2024-10-15,1228555.2633742313
2024-10-16,1232878.4157294254
2024-10-17,1247729.9507979373
2024-10-18,1253003.9761237125
2024-10-21,1244316.0432967166
2024-10-22,1247081.6734694461
2024-10-23,1231282.3158682804
2024-10-24,1230392.6548880558
2024-10-25,1216997.2819861392
2024-10-28,1225324.5218733768
2024-10-29,1223684.4410475711
2024-10-30,1222381.4447859745
2024-10-31,1198442.4776343326
2024-11-01,1207411.2777594547
2024-11-04,1197013.4882849674
2024-11-05,1212594.777313135
2024-11-06,1263339.2093771915
2024-11-07,1259430.7048911075
2024-11-08,1265588.5712126712
2024-11-11,1269993.9049681644
2024-11-12,1270239.1764868717
2024-11-13,1273023.6945342044
2024-11-14,1270882.0458792667
2024-11-15,1262212.832015894
2024-11-18,1261640.3883742313
2024-11-19,1260108.2938117008
2024-11-20,1256639.6194914798
2024-11-21,1264373.5211256961
2024-11-22,1271472.4225844364
2024-11-25,1277990.4309958438
2024-11-26,1288607.4756621341
2024-11-27,1286576.0157622318
2024-11-29,1291537.5941885929
2024-12-02,1289552.914939783
2024-12-03,1289818.289447687
2024-12-04,1294162.6413573246
2024-12-05,1299864.7809714298
2024-12-06,1301541.1422766666
2024-12-09,1294280.3454894046
2024-12-10,1285771.890090845
2024-12-11,1289084.7401083927
2024-12-12,1287398.8818739871
2024-12-13,1283377.329154871
2024-12-16,1288554.770042322
2024-12-17,1282189.4336852054
2024-12-18,1243997.6323698978
2024-12-19,1249154.4161910038
2024-12-20,1262958.292762659
2024-12-23,1266904.3004950504
2024-12-24,1280985.2943648319
2024-12-26,1281660.0377196292
2024-12-27,1268670.9029501895
2024-12-30,1256855.7277716617
2024-12-31,1254282.141818903
2025-01-02,1254214.441703699
2025-01-03,1265773.7428778629
2025-01-06,1268399.6434210758
2025-01-07,1257666.6237143497
2025-01-08,1256430.4579657535
2025-01-10,1229583.484573267
2025-01-13,1233002.3553580265
2025-01-14,1236485.3620490055
2025-01-15,1264772.6114348392
2025-01-16,1264537.4245718936
2025-01-17,1275854.8216856937
2025-01-21,1282178.1245879154
2025-01-22,1295177.723495386
2025-01-23,1299655.299644373
