,equity_ppo_baseline
2024-01-02,1000000.0
2024-01-03,999748.5258148995
2024-01-04,999756.6849571533
2024-01-05,999939.6891082573
2024-01-08,1000910.2117556306
2024-01-09,1000209.7078261758
2024-01-10,1001091.4376666148
2024-01-11,1001369.477453339
2024-01-12,1000578.8310449377
2024-01-16,1000422.6882989204
2024-01-17,999462.2550820548
2024-01-18,1000469.5384599997
2024-01-19,1003155.7085677802
2024-01-22,1003915.8981555828
2024-01-23,1001603.3181781658
2024-01-24,999840.9407808993
2024-01-25,1002859.3330458567
2024-01-26,1004257.5256146583
2024-01-29,1006773.6510079917
2024-01-30,1009051.7745077286
2024-01-31,1003761.9195603179
2024-02-01,1007403.0124471588
2024-02-02,1008614.1131013299
2024-02-05,1005700.3431482774
2024-02-06,1008425.8258770029
2024-02-07,1013078.1544635736
2024-02-08,1015983.4196807595
2024-02-09,1014288.5192469561
2024-02-12,1017491.9375374415
2024-02-13,1005154.4958440019
2024-02-14,1007976.167979622
2024-02-15,1016485.1153399317
2024-02-16,1014777.541584633
2024-02-20,1013725.46389349
2024-02-21,1016391.6493106958
2024-02-22,1026582.956629925
2024-02-23,1026793.607079304
2024-02-26,1026740.7689866488
2024-02-27,1027317.3397043231
2024-02-28,1028813.9193963626
2024-02-29,1031589.6411480258
2024-03-01,1035025.489695389
2024-03-04,1031331.3875717166
2024-03-05,1019950.2161591647
2024-03-06,1020794.048853638
2024-03-07,1021685.8121896365
2024-03-08,1021268.1042560466
2024-03-11,1024623.327874285
2024-03-12,1030813.7261204722
2024-03-13,1036844.9214885123
2024-03-14,1030936.7851521036
2024-03-15,1026529.8860941966
2024-03-18,1027636.2097835982
2024-03-19,1038286.0357640251
2024-03-20,1051681.9005319714
2024-03-21,1065190.3559064562
2024-03-22,1056123.4128066562
2024-03-25,1049211.3938725742
2024-03-26,1047460.3989930098
2024-03-27,1061533.4608436073
2024-03-28,1062572.5899069502
2024-04-01,1050970.864532635
2024-04-02,1040826.4693158496
2024-04-03,1038743.5465511516
2024-04-04,1024528.3270887339
2024-04-05,1030577.9175745815
2024-04-08,1034131.6655334457
2024-04-09,1035712.6722534316
2024-04-10,1018585.2210610374
2024-04-11,1017172.3375958559
2024-04-12,1003610.7852007849
2024-04-15,1001043.7971520674
2024-04-16,998014.2952594989
2024-04-17,1001198.3702286532
2024-04-18,1002201.6299838489
2024-04-19,1008040.8809994472
2024-04-22,1018120.1765320933
2024-04-23,1027354.3453538402
2024-04-24,1024138.2016256278
2024-04-25,1018539.6919205764
2024-04-26,1025081.7269104407
2024-04-29,1031171.3947209037
2024-04-30,1022069.0066941894
2024-05-01,1022307.6468444541
