,equity_sac_ac
2024-01-02,1000000.0
2024-01-03,998956.7785903388
2024-01-04,999090.6975164686
2024-01-05,998215.0798564331
2024-01-08,1002019.7800194728
2024-01-09,998772.3667639452
2024-01-10,1002186.5495646547
2024-01-11,1002949.7826766032
2024-01-12,1002016.1551458123
2024-01-16,994864.6501176301
2024-01-17,991653.2029222408
2024-01-18,994681.1668079337
2024-01-19,1002022.5722137619
2024-01-22,1005914.1668593673
2024-01-23,1009792.1112071926
2024-01-24,1007877.0903891511
2024-01-25,1015210.1149515196
2024-01-26,1016022.4218423485
2024-01-29,1021077.9608160687
2024-01-30,1028440.3110070341
2024-01-31,1017421.5150437731
2024-02-01,1020157.8551348997
2024-02-02,1026172.3563474112
2024-02-05,1014987.781526083
2024-02-06,1017497.8061507113
2024-02-07,1022050.0108858694
2024-02-08,1023417.4447684195
2024-02-09,1021762.1645916319
2024-02-12,1027226.5036996618
2024-02-13,1011085.8821552969
2024-02-14,1014337.0130010088
2024-02-15,1027114.3524129958
2024-02-16,1024672.4539532951
2024-02-20,1024910.6724253502
2024-02-21,1029495.3394430073
2024-02-22,1038595.0130202257
2024-02-23,1040173.141676218
2024-02-26,1036627.1638402968
2024-02-27,1030420.7453233209
2024-02-28,1030242.8378542353
2024-02-29,1032129.1334132706
2024-03-01,1032517.413114009
2024-03-04,1030690.0755940713
2024-03-05,1022152.0370659297
2024-03-06,1025463.0023349994
2024-03-07,1033045.8337754617
2024-03-08,1029946.9663609815
2024-03-11,1032972.1186174257
2024-03-12,1036455.5933831681
2024-03-13,1035135.535996058
2024-03-14,1031831.078541065
2024-03-15,1029365.152131831
2024-03-18,1027076.6597550255
2024-03-19,1037001.6295227429
2024-03-20,1044840.6399811074
2024-03-21,1052481.95147359
2024-03-22,1046780.2452106832
2024-03-25,1039078.1942832218
2024-03-26,1043072.4282401733
2024-03-27,1056965.9204527698
2024-03-28,1058863.3376874453
2024-04-01,1052231.8433905912
2024-04-02,1040849.4915565429
2024-04-03,1036809.9787964856
2024-04-04,1025147.691594586
2024-04-05,1030654.4039021125
2024-04-08,1031822.7350898103
2024-04-09,1034808.8352913465
2024-04-10,1024189.0170072617
2024-04-11,1023442.9603801711
2024-04-12,1014018.7839367713
2024-04-15,1011988.3045387294
2024-04-16,1008466.9839509298
2024-04-17,1013403.3140840513
2024-04-18,1016354.0333404642
2024-04-19,1026610.6050130895
2024-04-22,1036390.8985303352
2024-04-23,1043946.4269716198
2024-04-24,1043017.8931197671
2024-04-25,1035643.6737650073
2024-04-26,1040045.8397172509
2024-04-29,1041009.451879126
2024-04-30,1028436.8645654928
2024-05-01,1034823.3919607191
2024-05-02,1037395.1076493269
2024-05-03,1043630.1511603169
2024-05-06,1048335.3367205039
2024-05-07,1051268.897463201
2024-05-08,1055467.4864235325
2024-05-09,1066557.2021609833
2024-05-10,1075612.2192909012
2024-05-13,1072885.8811917512
2024-05-14,1074915.1688586457
2024-05-15,1085173.8061066268
2024-05-16,1089066.5064819455
2024-05-17,1090451.7254671413
2024-05-20,1083239.9988296162
