,equity_sac_baseline
2024-01-02,1000000.0
2024-01-03,998956.8029012888
2024-01-04,999090.7459145928
2024-01-05,998215.1523957747
2024-01-08,1002019.8766853348
2024-01-09,998772.4877417943
2024-01-10,1002186.6947580792
2024-01-11,1002949.2717890412
2024-01-12,1002015.6163238676
2024-01-16,994867.0742587659
2024-01-17,991647.8169683759
2024-01-18,994671.8279731901
2024-01-19,1001987.4183261354
2024-01-22,1005878.8407376611
2024-01-23,1009756.8608512628
2024-01-24,1007836.2230764445
2024-01-25,1015154.2590926951
2024-01-26,1015970.5861332071
2024-01-29,1021013.5352913798
2024-01-30,1028367.7056084707
2024-01-31,1017353.7989285849
2024-02-01,1020100.8208800104
2024-02-02,1026055.7835570123
2024-02-05,1014812.8853928583
2024-02-06,1017279.4699341791
2024-02-07,1021687.4852005976
2024-02-08,1023066.5561234491
2024-02-09,1021425.0346807612
2024-02-12,1026859.7694601191
2024-02-13,1010776.8317541254
2024-02-14,1014007.2273336275
2024-02-15,1026708.8180654695
2024-02-16,1024231.2114828279
2024-02-20,1024529.2021716783
2024-02-21,1029080.6994250963
2024-02-22,1038148.9660419176
2024-02-23,1039750.4634320067
2024-02-26,1036155.9810249098
2024-02-27,1029834.2023164595
2024-02-28,1029569.8614641626
2024-02-29,1031431.485108608
2024-03-01,1031904.6655511587
2024-03-04,1030040.0073304098
2024-03-05,1021499.409348728
2024-03-06,1024786.9560658301
2024-03-07,1032281.6740132177
2024-03-08,1029267.2610222166
2024-03-11,1032343.8962576292
2024-03-12,1035868.0089321249
2024-03-13,1034519.5799007529
2024-03-14,1031267.9328670615
2024-03-15,1028745.2092266196
2024-03-18,1026592.1620540732
2024-03-19,1036435.3309917563
2024-03-20,1044195.3080425375
2024-03-21,1051800.4681987874
2024-03-22,1046117.1370906943
2024-03-25,1038545.6882839316
2024-03-26,1042470.157041561
2024-03-27,1056301.9505977742
2024-03-28,1058162.790357601
2024-04-01,1051626.248571407
2024-04-02,1040205.6473674887
2024-04-03,1036288.6197196768
2024-04-04,1024569.4537444456
2024-04-05,1030257.0093818052
2024-04-08,1031214.6379180296
2024-04-09,1034217.2444510801
2024-04-10,1023759.0561652525
2024-04-11,1023040.6218734129
2024-04-12,1013508.1445212705
2024-04-15,1011412.4713225706
2024-04-16,1008013.0066809995
2024-04-17,1012838.8525252683
2024-04-18,1015743.0277800901
2024-04-19,1025872.3921866758
2024-04-22,1035497.6238209303
2024-04-23,1043136.280390457
2024-04-24,1042301.8859204119
2024-04-25,1034089.6833023508
2024-04-26,1038543.4999726694
2024-04-29,1039683.8073151987
2024-04-30,1026589.5356861455
2024-05-01,1032677.7304182166
2024-05-02,1035437.1094503516
2024-05-03,1041516.9945637701
2024-05-06,1046231.4782015494
2024-05-07,1049191.6172540816
2024-05-08,1053391.017733278
2024-05-09,1064364.2879549882
2024-05-10,1073476.935576143
2024-05-13,1070812.7832018754
2024-05-14,1072767.2951723954
2024-05-15,1082961.7645518205
2024-05-16,1086841.6203066728
2024-05-17,1088158.6028315446
2024-05-20,1080949.735865297
2024-05-21,1083340.2738863847
2024-05-22,1077758.586481752
2024-05-23,1062484.300570192
2024-05-24,1063729.330610933
2024-05-28,1058715.417708101
2024-05-29,1046810.7293574236
2024-05-30,1048864.5314280412
2024-05-31,1062816.268702211
2024-06-03,1060338.0014597795
2024-06-04,1071613.9020220658
2024-06-05,1075529.5531069657
2024-06-06,1074814.7859255692
2024-06-07,1069478.9547373673
2024-06-10,1073517.087805452
2024-06-11,1068344.1114527604
2024-06-12,1067636.6288172624
2024-06-13,1066956.7506243607
2024-06-14,1067687.258772554
2024-06-17,1076420.063372316
2024-06-18,1077911.6506487748
2024-06-20,1084154.8525759599
2024-06-21,1085776.695856752
2024-06-24,1095200.7156245133
2024-06-25,1088207.5913264176
2024-06-26,1085206.750647249
2024-06-27,1083073.8673846147
2024-06-28,1085144.7592188737
2024-07-01,1083261.9934107682
2024-07-02,1088960.854250612
2024-07-03,1088216.0000140092
2024-07-05,1088478.532499971
2024-07-08,1086142.2223383805
2024-07-09,1084895.269949617
2024-07-10,1101302.5733172318
2024-07-11,1100350.4728457353
2024-07-12,1102384.9000307939
2024-07-15,1109105.8674761674
2024-07-16,1126828.7914454362
2024-07-17,1138239.5270907304
2024-07-18,1124927.5750376603
2024-07-19,1114916.0006014726
2024-07-22,1119839.3420168778
2024-07-23,1117319.7274538896
2024-07-24,1106529.8930689713
2024-07-25,1089132.539972963
2024-07-26,1099173.8482882401
2024-07-29,1098155.809908571
2024-07-30,1106935.3089663407
2024-07-31,1108802.3341166398
2024-08-01,1102938.9719874284
2024-08-02,1091639.5032908341
2024-08-05,1064648.6866061112
2024-08-06,1068738.037021265
2024-08-07,1067232.517665491
2024-08-08,1079857.36420022
2024-08-09,1078504.3704181765
2024-08-12,1074534.9325519656
2024-08-13,1080776.4795414065
2024-08-14,1088797.6702686404
2024-08-15,1095948.8642078494
2024-08-16,1100785.3138767336
2024-08-19,1108195.639377222
2024-08-20,1107310.8677631472
2024-08-21,1109208.01679574
2024-08-22,1105731.5206485842
2024-08-23,1117016.8064685916
2024-08-26,1119423.9851871585
2024-08-27,1121826.5795398806
2024-08-28,1116794.8152500247
2024-08-29,1126756.5544315432
2024-08-30,1131047.8767658328
2024-09-03,1115533.4292942141
2024-09-04,1118089.700427637
2024-09-05,1109846.9388614749
2024-09-06,1095028.4159732913
2024-09-09,1107659.6797824954
2024-09-10,1101773.699344263
2024-09-11,1107732.1206546878
2024-09-12,1112414.6282917117
2024-09-13,1119528.9786640261
2024-09-16,1125672.781451807
2024-09-17,1124052.0026126956
2024-09-18,1116755.9733158206
2024-09-19,1130017.6947284793
2024-09-20,1128945.0054737185
2024-09-23,1129637.5096317385
2024-09-24,1130998.6715808962
2024-09-25,1128867.135684595
2024-09-26,1131980.0725132083
2024-09-27,1136703.4012027835
2024-09-30,1136816.7590900515
2024-10-01,1130971.3108631228
2024-10-02,1129744.610835657
2024-10-03,1124528.2432132815
2024-10-04,1129653.9048038577
2024-10-07,1122855.1820331668
2024-10-08,1128903.1409183596
2024-10-09,1147514.4146610354
2024-10-10,1147822.4036365603
2024-10-11,1159640.9934803103
