,equity_td3_ac
2024-01-02,1000000.0
2024-01-03,997433.9656244975
2024-01-04,998240.8951606917
2024-01-05,997767.0406818024
2024-01-08,1002949.5941182169
2024-01-09,999331.6393770223
2024-01-10,1004454.9928697826
2024-01-11,1004636.7562456558
2024-01-12,1000207.9577424573
2024-01-16,994718.9395069686
2024-01-17,992413.8341488924
2024-01-18,993757.0239262115
2024-01-19,994023.6770660916
2024-01-22,999153.7980313598
2024-01-23,1002166.3429948122
2024-01-24,996044.3096304702
2024-01-25,1004484.5934675256
2024-01-26,1013363.5485088984
2024-01-29,1018197.4180992122
2024-01-30,1022006.7476420822
2024-01-31,1015224.7280018775
2024-02-01,1024180.4256732982
2024-02-02,1027446.4418422506
2024-02-05,1020495.713331973
2024-02-06,1028066.4250518963
2024-02-07,1036126.3718639798
2024-02-08,1037685.4948244627
2024-02-09,1034749.5457433191
2024-02-12,1038843.1914978407
2024-02-13,1027063.2845191581
2024-02-14,1030752.693427782
2024-02-15,1041670.2822042044
2024-02-16,1040640.0638764071
2024-02-20,1040032.9115217169
2024-02-21,1044136.1795980786
2024-02-22,1056135.109690168
2024-02-23,1059103.3215678523
2024-02-26,1057555.841949355
2024-02-27,1056730.9064145826
2024-02-28,1053022.7379429825
2024-02-29,1053557.0309298493
2024-03-01,1056433.418879696
2024-03-04,1051298.9680558336
2024-03-05,1042778.9633477122
2024-03-06,1047028.6708034319
2024-03-07,1056272.788555801
2024-03-08,1052615.76865589
2024-03-11,1056181.0495736736
2024-03-12,1061782.823374811
2024-03-13,1062451.7199235898
2024-03-14,1056928.1432396057
2024-03-15,1056653.1725304453
2024-03-18,1056577.7630729817
2024-03-19,1065552.9902514906
2024-03-20,1073216.0632599536
2024-03-21,1081561.642935887
2024-03-22,1070660.8631234597
2024-03-25,1065035.0206925678
2024-03-26,1065896.4029927524
2024-03-27,1080921.098847816
2024-03-28,1081736.0850983323
2024-04-01,1067208.4142528519
2024-04-02,1049353.1869707662
2024-04-03,1049967.98628163
2024-04-04,1038521.9049958651
2024-04-05,1044403.4493629104
2024-04-08,1044626.4629518803
2024-04-09,1046017.2401278594
2024-04-10,1030190.3019024145
2024-04-11,1024778.4419072403
2024-04-12,1016342.8830477775
2024-04-15,1014196.687800338
2024-04-16,1016548.3983755372
2024-04-17,1020480.066320757
2024-04-18,1026678.1205846807
2024-04-19,1035701.6826392311
2024-04-22,1036781.2609728572
2024-04-23,1037558.9301061707
2024-04-24,1037665.6761867437
2024-04-25,1028726.2015932684
2024-04-26,1031968.142394353
2024-04-29,1033469.7007093638
2024-04-30,1017353.4856994724
2024-05-01,1016440.10567099
2024-05-02,1024090.6821204526
2024-05-03,1029680.5136803645
2024-05-06,1036222.2493264003
2024-05-07,1043496.2048151873
2024-05-08,1044088.715681692
2024-05-09,1054892.674600978
2024-05-10,1059535.9435135524
2024-05-13,1054908.3069805673
2024-05-14,1054893.499535121
2024-05-15,1062829.1070425285
2024-05-16,1063182.3029204789
2024-05-17,1067527.0786441243
2024-05-20,1060847.4191579781
2024-05-21,1063381.5463535667
2024-05-22,1057180.6989591913
2024-05-23,1044501.9633473522
2024-05-24,1041240.7504839144
2024-05-28,1035354.9443689969
2024-05-29,1019340.9884589744
2024-05-30,1025584.3788349064
2024-05-31,1039902.7157060561
2024-06-03,1033487.2125214218
2024-06-04,1040391.3573079647
2024-06-05,1041062.0744711878
2024-06-06,1040907.0853890271
2024-06-07,1029685.1897866243
2024-06-10,1035643.9106639586
2024-06-11,1034553.2278010305
2024-06-12,1033409.3940778617
2024-06-13,1035916.5725870153
2024-06-14,1033417.0170021006
2024-06-17,1037787.8168542502
2024-06-18,1037959.6981794784
2024-06-20,1045196.9809125024
2024-06-21,1045777.5149322206
2024-06-24,1052316.8608355934
2024-06-25,1037365.6182672349
2024-06-26,1037748.6313340834
2024-06-27,1036619.820922495
2024-06-28,1040183.7682714235
2024-07-01,1031342.5606053055
2024-07-02,1033411.1733111764
2024-07-03,1029775.8420058005
2024-07-05,1030034.6604676653
2024-07-08,1033369.2880806985
2024-07-09,1031916.0691523829
2024-07-10,1046246.8359005608
2024-07-11,1055845.1051640091
2024-07-12,1065032.6772835026
2024-07-15,1069915.517913583
2024-07-16,1099276.6182575007
2024-07-17,1115075.892846725
2024-07-18,1105714.2686572142
2024-07-19,1097015.4664594578
2024-07-22,1094548.751351348
2024-07-23,1096841.8571261861
2024-07-24,1087339.115826576
2024-07-25,1095144.1671348235
2024-07-26,1108814.335503961
2024-07-29,1108610.3048093135
2024-07-30,1107528.5848667105
2024-07-31,1109457.858949622
2024-08-01,1098834.4232433643
2024-08-02,1095398.278885301
2024-08-05,1069969.4376866752
2024-08-06,1077154.0474177627
2024-08-07,1069368.5314866714
2024-08-08,1082862.4583289144
2024-08-09,1083666.443110636
2024-08-12,1080819.7594330017
2024-08-13,1090979.9121240212
2024-08-14,1099090.9510965429
2024-08-15,1112179.899320391
2024-08-16,1113395.1019416356
2024-08-19,1117615.3975125118
2024-08-20,1120884.2252935208
2024-08-21,1122469.84316194
2024-08-22,1120797.6396753117
2024-08-23,1132219.210384015
2024-08-26,1137279.631349827
2024-08-27,1137336.234442981
2024-08-28,1136864.7961619939
2024-08-29,1140271.3192632222
2024-08-30,1148393.1774958624
2024-09-03,1140690.5241610715
2024-09-04,1139837.32565505
2024-09-05,1131655.4018133082
2024-09-06,1124602.67572296
2024-09-09,1133691.9526925432
2024-09-10,1141003.3207430285
2024-09-11,1139882.676856927
2024-09-12,1145277.5405331734
2024-09-13,1156437.2237271264
2024-09-16,1163626.0835186406
2024-09-17,1159537.5888792302
2024-09-18,1158384.922916903
2024-09-19,1166587.1365385964
2024-09-20,1169130.499181928
