agent,cost_model,final_$,return_%,sharpe,max_dd_%,total_cost_$,trades
A2C,baseline,1624061.0274824165,62.40610274824165,1.2359967986628435,-19.21299462290299,2231.5316453914675,7166
A2C,ac,1655250.9131813976,65.52509131813974,1.2744641320320196,-19.44074989082071,2080.566512992299,1403
PPO,baseline,1458997.9472653277,45.89979472653276,1.0962853064925235,-20.96738287812977,919.5784152145367,9681
PPO,ac,1448664.5908370276,44.86645908370277,1.0739415829364884,-20.947603848574015,907.1076674474683,2250
DDPG,baseline,1475234.0898474674,47.52340898474674,1.265627689191125,-16.39131696910318,534.8915139217374,7302
DDPG,ac,1474603.910963869,47.460391096386886,1.2647543068250786,-16.380732346258803,535.2148044389405,79
TD3,baseline,1209986.4115070533,20.998641150705332,0.6698451384642158,-17.722446542186866,535.0056148338317,8419
TD3,ac,1209426.9826232344,20.942698262323447,0.668060407146001,-17.735429236827553,535.3821086270102,73
SAC,baseline,1324395.476717327,32.4395476717327,0.9572926523829515,-15.73219825774581,998.1857811470039,7967
SAC,ac,1332435.1331741773,33.24351331741773,0.9699486598829903,-15.804457418211303,1008.5788401381272,436
