Abbade 2026 MACE — Dow 30 reproduction
Trade period: 2024-01-02 ~ 2026-03-30
Initial capital: $1,000,000
AC params: alpha=0.5 beta=1.0 spread_bps=5.0 half_life=5.0

agent cost_model       final_$  return_%  sharpe  max_dd_%  total_cost_$  trades
  A2C   baseline 1,624,061.027    62.406   1.236   -19.213     2,231.532    7166
  A2C         ac 1,655,250.913    65.525   1.274   -19.441     2,080.567    1403
  PPO   baseline 1,458,997.947    45.900   1.096   -20.967       919.578    9681
  PPO         ac 1,448,664.591    44.866   1.074   -20.948       907.108    2250
 DDPG   baseline 1,475,234.090    47.523   1.266   -16.391       534.892    7302
 DDPG         ac 1,474,603.911    47.460   1.265   -16.381       535.215      79
  TD3   baseline 1,209,986.412    20.999   0.670   -17.722       535.006    8419
  TD3         ac 1,209,426.983    20.943   0.668   -17.735       535.382      73
  SAC   baseline 1,324,395.477    32.440   0.957   -15.732       998.186    7967
  SAC         ac 1,332,435.133    33.244   0.970   -15.804     1,008.579     436
