,equity_a2c_ac
2024-01-02,1000000.0
2024-01-03,993270.8267040981
2024-01-04,992080.0421795327
2024-01-05,991598.217347631
2024-01-08,1006898.9274028509
2024-01-09,1006064.5769553293
2024-01-10,1013596.6211737505
2024-01-11,1014996.2371763197
2024-01-12,1014857.1818207541
2024-01-16,1014159.4643503308
2024-01-17,1013066.5647884265
2024-01-18,1027376.6877531463
2024-01-19,1039927.5001518712
2024-01-22,1043399.6512133294
2024-01-23,1046470.9474770399
2024-01-24,1054517.9319536176
2024-01-25,1058228.9733044677
2024-01-26,1057647.2054396244
2024-01-29,1069870.6402183701
2024-01-30,1068391.255691695
2024-01-31,1054463.050823851
2024-02-01,1068243.8625550303
2024-02-02,1068800.3873361896
2024-02-05,1068816.077352493
2024-02-06,1070757.7393287504
2024-02-07,1081977.4934811397
2024-02-08,1086289.154716297
2024-02-09,1095140.0772424212
2024-02-12,1086706.523950484
2024-02-13,1069006.7661130335
2024-02-14,1080952.2472920814
2024-02-15,1084731.2641266724
2024-02-16,1076544.646585825
2024-02-20,1072800.5491274698
2024-02-21,1065019.6474280693
2024-02-22,1088814.471727179
2024-02-23,1083774.0411339076
2024-02-26,1090045.208379801
2024-02-27,1089400.5675508333
2024-02-28,1089518.7929607378
2024-02-29,1092157.0353688644
2024-03-01,1111400.1393944707
2024-03-04,1115443.3973310222
2024-03-05,1090390.0617677514
2024-03-06,1107230.1175153516
2024-03-07,1124126.3773134402
2024-03-08,1104808.7691557931
2024-03-11,1102136.2254518336
2024-03-12,1117085.620765949
2024-03-13,1112581.923278789
2024-03-14,1104396.8607324832
2024-03-15,1094066.3603038718
2024-03-18,1096536.6931747145
2024-03-19,1101404.7947675008
2024-03-20,1113551.5221733218
2024-03-21,1120370.4175281776
2024-03-22,1114768.1330236718
2024-03-25,1119883.16153707
2024-03-26,1120773.9670516434
2024-03-27,1124801.2345706648
2024-03-28,1119212.5152241157
2024-04-01,1116474.8888951656
2024-04-02,1097222.973697298
2024-04-03,1100670.3521846144
2024-04-04,1085669.996540268
2024-04-05,1094813.9645121403
2024-04-08,1097238.6462190337
2024-04-09,1101505.19069748
2024-04-10,1091383.8266890186
2024-04-11,1103070.6453938396
2024-04-12,1085963.1829268846
2024-04-15,1070025.7599956295
2024-04-16,1071454.822919501
2024-04-17,1050916.012078464
2024-04-18,1045099.088932109
2024-04-19,1035107.9061692671
2024-04-22,1047254.8149980548
2024-04-23,1058164.4642203457
2024-04-24,1059704.2278367304
2024-04-25,1060220.740527606
2024-04-26,1063260.415805121
2024-04-29,1065230.1880054106
2024-04-30,1042990.9694390772
2024-05-01,1038446.2083735979
2024-05-02,1045341.1972522179
2024-05-03,1066881.65338844
2024-05-06,1074491.3968196162
2024-05-07,1078225.8413416566
2024-05-08,1076928.1463610493
2024-05-09,1083990.2118480797
2024-05-10,1088452.6431724243
2024-05-13,1086515.8619904215
2024-05-14,1088079.1231912975
2024-05-15,1109089.4149985272
2024-05-16,1106837.4926526742
2024-05-17,1112535.922912447
2024-05-20,1120669.1650818547
2024-05-21,1117759.312623444
2024-05-22,1119847.4870102769
2024-05-23,1113107.0486329882
2024-05-24,1127193.4194405207
2024-05-28,1127026.8165099109
2024-05-29,1112746.1675991057
2024-05-30,1109192.736815678
2024-05-31,1114179.850403488
2024-06-03,1119952.5195531973
2024-06-04,1124331.6355353887
2024-06-05,1154971.3984310632
2024-06-06,1156960.695383181
2024-06-07,1151455.3062814805
2024-06-10,1152878.172044178
2024-06-11,1154015.6375509216
2024-06-12,1168373.2535720556
2024-06-13,1160951.4427989624
2024-06-14,1162858.976398383
2024-06-17,1179829.5973497897
2024-06-18,1183404.0483003452
2024-06-20,1176244.3351099528
2024-06-21,1173577.3857968522
2024-06-24,1162972.371045316
2024-06-25,1175996.9607705907
2024-06-26,1174054.4901203066
2024-06-27,1181361.5454627927
2024-06-28,1174721.5476965113
2024-07-01,1175999.0132322412
2024-07-02,1188104.159068779
2024-07-03,1193761.5994174266
2024-07-05,1204660.475690614
2024-07-08,1204115.0122388802
2024-07-09,1200271.9368740832
2024-07-10,1215979.5060850952
2024-07-11,1197571.1957708658
2024-07-12,1210384.4591857311
2024-07-15,1212816.0189004028
2024-07-16,1220035.4233532818
2024-07-17,1181373.8803275973
2024-07-18,1169576.4030307136
2024-07-19,1169779.019443294
2024-07-22,1187486.9161127806
2024-07-23,1177920.0007115812
2024-07-24,1141735.806411328
2024-07-25,1131930.87877498
2024-07-26,1138501.9469797425
2024-07-29,1136141.4662519163
2024-07-30,1127485.7009463678
2024-07-31,1156590.9157726443
2024-08-01,1139698.6238492779
2024-08-02,1112083.2512140633
2024-08-05,1086697.4092282276
2024-08-06,1102392.420390689
2024-08-07,1090645.731953334
2024-08-08,1123251.3888933808
2024-08-09,1125380.7458900902
2024-08-12,1121925.8185200226
2024-08-13,1136743.6322516738
2024-08-14,1140245.0157936667
2024-08-15,1165089.517300807
2024-08-16,1164751.9658219514
2024-08-19,1177726.1616342748
2024-08-20,1177310.522115386
2024-08-21,1186190.0753877684
2024-08-22,1168405.5755045519
2024-08-23,1178899.820148442
2024-08-26,1172282.061931837
2024-08-27,1178959.511214674
2024-08-28,1170447.5961496737
2024-08-29,1173920.8983349712
2024-08-30,1182498.6070695058
2024-09-03,1153926.6240927647
2024-09-04,1148571.9333222627
2024-09-05,1138477.3970759027
2024-09-06,1114342.1144932564
2024-09-09,1129123.0515364618
2024-09-10,1133935.4860183029
2024-09-11,1150414.9574358203
2024-09-12,1157852.0788053633
2024-09-13,1163776.8518455392
2024-09-16,1160859.4937586952
2024-09-17,1154837.1854070835
2024-09-18,1143767.4298232503
2024-09-19,1171530.699215983
2024-09-20,1159180.9203659617
2024-09-23,1167102.2634329256
2024-09-24,1168252.3290725686
2024-09-25,1166286.7843272756
2024-09-26,1180465.865986043
2024-09-27,1178165.1575120403
2024-09-30,1179083.8226022683
2024-10-01,1163514.8605422508
2024-10-02,1166842.4031213042
2024-10-03,1160438.664427093
2024-10-04,1169374.8433425822
2024-10-07,1155905.474107461
2024-10-08,1175709.047017002
2024-10-09,1191184.5603221369
2024-10-10,1186095.482097992
2024-10-11,1196663.1569936136
2024-10-14,1207913.0995035216
2024-10-15,1174626.084422981
2024-10-16,1166680.0610921443
2024-10-17,1172409.7825230472
2024-10-18,1187638.4982955232
2024-10-21,1183633.9959784593
