,equity_ppo_ac
2024-01-02,1000000.0
2024-01-03,999260.0260521274
2024-01-04,998657.7903566314
2024-01-05,998611.533987795
2024-01-08,1003361.144475158
2024-01-09,1003209.0608753318
2024-01-10,1004785.1968286666
2024-01-11,1005722.1979426914
2024-01-12,1006104.8352622124
2024-01-16,1010597.5503254796
2024-01-17,1008544.3779828011
2024-01-18,1020871.5213514443
2024-01-19,1039323.4448182418
2024-01-22,1048524.8334761907
2024-01-23,1052729.59193767
2024-01-24,1065372.7634379214
2024-01-25,1071279.6645105395
2024-01-26,1054492.3247560798
2024-01-29,1065749.483692589
2024-01-30,1059683.6893066263
2024-01-31,1044896.3071949075
2024-02-01,1056337.577438129
2024-02-02,1065439.7093163237
2024-02-05,1066645.8410773815
2024-02-06,1059269.5796787832
2024-02-07,1073161.0364199646
2024-02-08,1081930.5494643163
2024-02-09,1101119.541163367
2024-02-12,1092507.000349177
2024-02-13,1071481.4597705498
2024-02-14,1091586.4055074796
2024-02-15,1093706.2868096584
2024-02-16,1088369.3500597058
2024-02-20,1076530.5816433236
2024-02-21,1069834.3635020787
2024-02-22,1108664.8313108247
2024-02-23,1102057.5713707202
2024-02-26,1110982.3104069121
2024-02-27,1111244.895375066
2024-02-28,1102634.0267601917
2024-02-29,1116341.825795809
2024-03-01,1147731.3477110933
2024-03-04,1146173.1053199174
2024-03-05,1116834.8542940777
2024-03-06,1133852.7069579589
2024-03-07,1149584.719861984
2024-03-08,1128304.1396933745
2024-03-11,1122156.1388992688
2024-03-12,1140524.0662874326
2024-03-13,1124609.830189102
2024-03-14,1116661.6878395937
2024-03-15,1104204.6263915119
2024-03-18,1107801.6341257216
2024-03-19,1105607.3254042673
2024-03-20,1122444.5257926264
2024-03-21,1141690.8133607442
2024-03-22,1135656.6368520064
2024-03-25,1129827.7348665884
2024-03-26,1125460.8526478054
2024-03-27,1132091.3495286033
2024-03-28,1132699.2653483716
2024-04-01,1139313.8493819973
2024-04-02,1112580.7709796391
2024-04-03,1114743.0188821522
2024-04-04,1091105.627232351
2024-04-05,1105025.343410344
2024-04-08,1110511.7813191977
2024-04-09,1117570.349367427
2024-04-10,1095694.9547635545
2024-04-11,1107540.6483604705
2024-04-12,1083572.2956495457
2024-04-15,1068654.2954273543
2024-04-16,1075100.9969811435
2024-04-17,1036811.5504732394
2024-04-18,1022389.8570330886
2024-04-19,1011706.8547875618
2024-04-22,1021148.8513943192
2024-04-23,1040405.6535103915
2024-04-24,1039692.9216740711
2024-04-25,1044635.5524147949
2024-04-26,1064034.4452113241
2024-04-29,1066240.918103146
2024-04-30,1043468.4318449773
2024-05-01,1024187.2713390846
2024-05-02,1036267.5144768151
2024-05-03,1060510.321661538
2024-05-06,1077001.8804292246
2024-05-07,1075994.3241798251
2024-05-08,1072733.0403945574
2024-05-09,1075432.8814503045
2024-05-10,1082508.9219208374
2024-05-13,1078384.9017288086
2024-05-14,1087307.2443260048
2024-05-15,1113556.7922418967
2024-05-16,1109158.860121732
2024-05-17,1113375.3013104573
2024-05-20,1128140.3132622887
2024-05-21,1121849.849623405
2024-05-22,1124238.3080113383
2024-05-23,1113650.5484360496
2024-05-24,1112570.0366542002
2024-05-28,1115622.5273776462
2024-05-29,1099174.5747175268
2024-05-30,1081074.336171345
2024-05-31,1084145.3067600688
2024-06-03,1091967.8110861827
2024-06-04,1090816.0623927014
2024-06-05,1126804.4516561977
2024-06-06,1124043.378004231
2024-06-07,1118530.3060693133
2024-06-10,1127789.4979658234
2024-06-11,1121657.195642295
2024-06-12,1157896.2143230278
2024-06-13,1156858.1056771716
2024-06-14,1155457.899746489
2024-06-17,1186728.2871363508
2024-06-18,1198395.2438497404
2024-06-20,1187044.7734151594
2024-06-21,1183634.7562387388
2024-06-24,1166611.226733027
2024-06-25,1184485.1330772424
2024-06-26,1183046.7279578098
2024-06-27,1184303.4782083598
2024-06-28,1192348.0789785136
2024-07-01,1190157.9066367887
2024-07-02,1202181.6151756626
2024-07-03,1208917.5671134784
2024-07-05,1216708.4021356318
2024-07-08,1222861.8516640484
2024-07-09,1215515.0843171824
2024-07-10,1234210.6346113193
2024-07-11,1215009.1938292664
2024-07-12,1232039.591000025
2024-07-15,1229981.4376571453
2024-07-16,1236846.2289743577
2024-07-17,1175731.9009826211
2024-07-18,1158677.4577268015
2024-07-19,1141544.8728914326
2024-07-22,1172229.9387434425
2024-07-23,1164881.4872808643
2024-07-24,1122917.237400629
2024-07-25,1122914.8042483092
2024-07-26,1137807.8408125453
2024-07-29,1134600.9197260104
2024-07-30,1124930.9728862187
2024-07-31,1169168.3124333315
2024-08-01,1123611.5184108824
2024-08-02,1073914.8817537047
2024-08-05,1059522.5515203401
2024-08-06,1077892.1661777047
2024-08-07,1065978.3925061228
2024-08-08,1112444.834162103
2024-08-09,1112117.434358997
2024-08-12,1113170.731660461
2024-08-13,1145251.2536141733
2024-08-14,1146770.7454356274
2024-08-15,1184187.3960181652
2024-08-16,1177872.7521107804
2024-08-19,1192324.9813560671
2024-08-20,1188838.6248219039
2024-08-21,1200574.697831299
2024-08-22,1177902.7694937328
2024-08-23,1184722.9173419026
2024-08-26,1172405.0353019582
2024-08-27,1181303.3992676958
2024-08-28,1169304.024702392
2024-08-29,1170238.4937623187
2024-08-30,1184858.2248332412
2024-09-03,1137900.9299624474
2024-09-04,1134683.1975132222
2024-09-05,1118011.0740145447
2024-09-06,1093580.3393471115
2024-09-09,1109463.2199827002
2024-09-10,1115850.8344989482
2024-09-11,1143373.8477440495
2024-09-12,1141648.3730615147
2024-09-13,1158888.1346956585
2024-09-16,1153103.7460332906
2024-09-17,1152870.238947769
2024-09-18,1139020.9900348787
2024-09-19,1176393.6766228555
2024-09-20,1160953.575439306
2024-09-23,1159815.27944037
2024-09-24,1161954.5436387404
2024-09-25,1161308.390208789
2024-09-26,1190053.5421334093
2024-09-27,1174948.0010540818
2024-09-30,1175692.14799591
2024-10-01,1149843.0923950355
2024-10-02,1160751.877856482
2024-10-03,1156549.1340703382
2024-10-04,1168923.489007061
2024-10-07,1155797.1848943152
2024-10-08,1173204.4367510485
2024-10-09,1187200.1221513422
2024-10-10,1181171.3735738161
2024-10-11,1192780.1817160358
2024-10-14,1210181.2274167587
2024-10-15,1151198.2014011324
2024-10-16,1141006.3007645537
2024-10-17,1140796.5675993648
2024-10-18,1149833.8716872558
2024-10-21,1141404.9301474798
2024-10-22,1136353.7031162356
2024-10-23,1125402.9539676378
2024-10-24,1126076.856174306
2024-10-25,1132272.7959505154
2024-10-28,1133690.947003174
2024-10-29,1151351.407349633
2024-10-30,1134549.9947861743
2024-10-31,1103094.511629947
2024-11-01,1111090.709748782
2024-11-04,1107760.2372046674
2024-11-05,1117883.9717289475
2024-11-06,1144836.060313086
2024-11-07,1165883.210681454
2024-11-08,1167291.1926035932
2024-11-11,1172399.3902095994
2024-11-12,1164400.8314240891
2024-11-13,1157733.2654873792
2024-11-14,1148322.7681961053
2024-11-15,1114788.939752954
2024-11-18,1122694.2252692657
2024-11-19,1116172.8212240594
2024-11-20,1119220.9379710627
2024-11-21,1142703.8016305494
2024-11-22,1141658.0450735851
2024-11-25,1145498.1067358903
2024-11-26,1138075.39088031
2024-11-27,1102829.318211409
2024-11-29,1113330.5955842326
2024-12-02,1129515.6164152597
2024-12-03,1131582.8026208787
2024-12-04,1145575.8649580067
2024-12-05,1135542.2271187324
2024-12-06,1139354.9053873685
2024-12-09,1138529.5901450673
2024-12-10,1126493.0431059524
2024-12-11,1143461.0756604844
2024-12-12,1139892.1970672135
2024-12-13,1130192.4287692285
2024-12-16,1137900.2870055418
2024-12-17,1138187.9713930516
2024-12-18,1101304.1606263935
2024-12-19,1088545.8426244264
2024-12-20,1098618.062662478
2024-12-23,1108886.4193110396
2024-12-24,1118123.1956402103
2024-12-26,1115938.1455972746
2024-12-27,1107099.2127151848
2024-12-30,1094672.1662775574
2024-12-31,1089364.0933422174
2025-01-02,1089715.0095935017
2025-01-03,1105904.8385606923
2025-01-06,1125577.2641702543
2025-01-07,1118498.5293567816
2025-01-08,1122387.9825316183
2025-01-10,1098102.7761181137
2025-01-13,1096947.6610237139
2025-01-14,1103858.1758626853
2025-01-15,1118834.194786564
2025-01-16,1122003.8561032354
2025-01-17,1130417.880583652
2025-01-21,1146409.7887229903
2025-01-22,1155614.7924543857
2025-01-23,1147876.9825504352
2025-01-24,1135145.8742262565
2025-01-27,1106742.9793800372
2025-01-28,1115863.2422456811
2025-01-29,1114269.63813243
2025-01-30,1139440.470598914
2025-01-31,1136138.2975550208
2025-02-03,1125241.9909797003
2025-02-04,1133262.303141316
2025-02-05,1143337.1138344272
2025-02-06,1139719.2485863871
2025-02-07,1118930.200232688
2025-02-10,1131252.178738492
2025-02-11,1124611.5689478025
2025-02-12,1116975.8431007375
2025-02-13,1137362.8010290698
2025-02-14,1133022.1858952737
2025-02-18,1129614.4325723764
2025-02-19,1142519.2978571993
2025-02-20,1133154.3560593247
2025-02-21,1109196.7479374493
2025-02-24,1102426.9490478463
2025-02-25,1092075.825507417
2025-02-26,1115818.236153888
2025-02-27,1079444.91230748
2025-02-28,1080876.7980138161
2025-03-03,1062666.459895697
2025-03-04,1059557.4849129545
2025-03-05,1076625.3555931419
2025-03-06,1050243.3212551295
