,equity_ppo_baseline
2024-01-02,1000000.0
2024-01-03,999260.1303318423
2024-01-04,998657.998784922
2024-01-05,998611.8464967896
2024-01-08,1003361.5699547931
2024-01-09,1003209.5995821592
2024-01-10,1004785.8487023121
2024-01-11,1005722.9629969054
2024-01-12,1006105.7135382355
2024-01-16,1010598.5174234235
2024-01-17,1008545.4340074165
2024-01-18,1020872.6655783374
2024-01-19,1039324.677443362
2024-01-22,1048526.1532123478
2024-01-23,1052730.9989953563
2024-01-24,1065374.2578489026
2024-01-25,1071283.8637584674
2024-01-26,1054491.3475056724
2024-01-29,1065751.1294582456
2024-01-30,1059682.4600033287
2024-01-31,1044897.8629655946
2024-02-01,1056340.7238239225
2024-02-02,1065441.3479480972
2024-02-05,1066642.398097557
2024-02-06,1059265.0531657084
2024-02-07,1073123.6021902503
2024-02-08,1081863.3341204585
2024-02-09,1101041.6447636974
2024-02-12,1092437.846101702
2024-02-13,1071451.7741065254
2024-02-14,1091467.403407511
2024-02-15,1093593.4787140277
2024-02-16,1088302.3482278937
2024-02-20,1076547.92412139
2024-02-21,1069895.9351079047
2024-02-22,1108640.3204342674
2024-02-23,1102025.9777489689
2024-02-26,1111073.2898178934
2024-02-27,1111275.557156167
2024-02-28,1102663.7743207868
2024-02-29,1116321.383537629
2024-03-01,1147770.582412578
2024-03-04,1146227.6366756614
2024-03-05,1117077.3978040132
2024-03-06,1134047.3816434005
2024-03-07,1149835.3035094303
2024-03-08,1128533.9466534304
2024-03-11,1122368.0685445722
2024-03-12,1140688.7592030938
2024-03-13,1124827.5446606025
2024-03-14,1116859.0584880398
2024-03-15,1104521.9462903657
2024-03-18,1108109.2372069806
2024-03-19,1105878.6052265482
2024-03-20,1122719.3436437547
2024-03-21,1142151.8891610918
2024-03-22,1136188.3477151617
2024-03-25,1130579.7783658418
2024-03-26,1126265.221931004
2024-03-27,1132873.0510153645
2024-03-28,1133378.7376312315
2024-04-01,1140222.1294558453
2024-04-02,1113628.4912634552
2024-04-03,1116012.9264507836
2024-04-04,1092279.4461837262
2024-04-05,1106162.0736603606
2024-04-08,1111540.4619163421
2024-04-09,1118542.6391028636
2024-04-10,1096814.4000341834
2024-04-11,1108812.320674648
2024-04-12,1084767.0042806342
2024-04-15,1069930.5517548984
2024-04-16,1076383.8256734933
2024-04-17,1038137.0160216602
2024-04-18,1023684.3726753525
2024-04-19,1012808.9111665925
2024-04-22,1022375.1789982356
2024-04-23,1041647.2393087047
2024-04-24,1040993.9807968425
2024-04-25,1046012.9200113949
2024-04-26,1065498.663011338
2024-04-29,1067728.2552998022
2024-04-30,1045043.2588689101
2024-05-01,1025706.2428430887
2024-05-02,1037897.8509224625
2024-05-03,1062056.957002524
2024-05-06,1078682.8873266443
2024-05-07,1077770.1804690654
2024-05-08,1074602.8307514887
2024-05-09,1077137.794124293
2024-05-10,1084356.2910542518
2024-05-13,1080396.764107361
