,equity_sac_baseline
2024-01-02,1000000.0
2024-01-03,992708.4961241628
2024-01-04,988681.1175367243
2024-01-05,988379.0457481977
2024-01-08,1007254.3526405927
2024-01-09,1007715.4163536665
2024-01-10,1010272.57129904
2024-01-11,1010262.2547173139
2024-01-12,1006287.3233513471
2024-01-16,1006337.6588081953
2024-01-17,1002440.4272026655
2024-01-18,1014550.9659638044
2024-01-19,1032709.7470268842
2024-01-22,1040183.8770241376
2024-01-23,1046164.7874168989
2024-01-24,1053982.7093300459
2024-01-25,1056383.2518105146
2024-01-26,1051466.8910851118
2024-01-29,1065667.4220871564
2024-01-30,1059441.910902464
2024-01-31,1040130.9714836713
2024-02-01,1052908.8083748457
2024-02-02,1062056.6285233137
2024-02-05,1064963.8741669294
2024-02-06,1062960.197672331
2024-02-07,1076666.9436592695
2024-02-08,1084793.5863785383
2024-02-09,1091903.3192124006
2024-02-12,1084729.49833914
2024-02-13,1062320.1835693952
2024-02-14,1080399.2347168562
2024-02-15,1087131.2911781904
2024-02-16,1077779.8052620527
2024-02-20,1068597.476503813
2024-02-21,1068576.96816107
2024-02-22,1099549.633055174
2024-02-23,1092179.525305235
2024-02-26,1092967.934301817
2024-02-27,1093698.3244270917
2024-02-28,1091471.7496437666
2024-02-29,1102724.9223618146
2024-03-01,1123900.2950996992
2024-03-04,1119750.808332884
2024-03-05,1093181.5094208356
2024-03-06,1106871.9421448347
2024-03-07,1124042.9409470197
2024-03-08,1106661.5918411848
2024-03-11,1099950.802435362
2024-03-12,1111958.4060845014
2024-03-13,1099045.3170609113
2024-03-14,1092805.21249243
2024-03-15,1080415.5243668195
2024-03-18,1086766.8890938398
2024-03-19,1096302.4776329633
2024-03-20,1106937.0304741499
2024-03-21,1119296.7113976118
2024-03-22,1113930.0699219343
2024-03-25,1107921.1970848676
2024-03-26,1107073.1721787092
2024-03-27,1111868.1072182294
2024-03-28,1111559.4773201582
2024-04-01,1114577.9643387434
2024-04-02,1098766.8012680646
2024-04-03,1105509.8363289472
2024-04-04,1088934.4566216108
2024-04-05,1104217.8146614667
2024-04-08,1108609.1648621198
2024-04-09,1111916.5152344343
2024-04-10,1095357.8619026777
2024-04-11,1104840.90125128
2024-04-12,1085441.5003037092
2024-04-15,1069513.0593247053
2024-04-16,1071551.524221861
2024-04-17,1049169.723303282
2024-04-18,1038832.6522545454
2024-04-19,1026989.7686638471
2024-04-22,1034981.3141770002
2024-04-23,1054638.5116791364
2024-04-24,1056827.6712593671
2024-04-25,1054637.2909874555
2024-04-26,1063698.952108824
2024-04-29,1064787.0672897932
2024-04-30,1041785.4498047468
2024-05-01,1029138.9013046857
2024-05-02,1038190.4480995771
2024-05-03,1057558.9925675031
2024-05-06,1069054.0726914045
2024-05-07,1068715.9723038313
2024-05-08,1067540.401640379
