,equity_td3_baseline
2024-01-02,1000000.0
2024-01-03,987481.8894211081
2024-01-04,984573.7884340031
2024-01-05,983695.2703647359
2024-01-08,997298.8685922368
2024-01-09,1000224.9028091176
2024-01-10,1007903.7035045369
2024-01-11,1011384.5564937337
2024-01-12,1012889.8784951909
2024-01-16,1012753.8659028752
2024-01-17,1007191.9080877049
2024-01-18,1020917.1367645009
2024-01-19,1034700.1813554509
2024-01-22,1039624.9795436604
2024-01-23,1042425.4528026326
2024-01-24,1038427.886816953
2024-01-25,1042231.0228509648
2024-01-26,1037074.4471549733
2024-01-29,1051374.5017518743
2024-01-30,1048749.6588105902
2024-01-31,1030955.1663961156
2024-02-01,1042731.3669967396
2024-02-02,1055549.2198972448
2024-02-05,1056377.560458158
2024-02-06,1053524.0754956945
2024-02-07,1065310.0397748693
2024-02-08,1080645.2074060186
2024-02-09,1089345.7141494497
2024-02-12,1079825.753952001
2024-02-13,1062764.0250682577
2024-02-14,1077906.2942952856
2024-02-15,1082417.0917892202
2024-02-16,1069232.7719583258
2024-02-20,1065223.2939376577
2024-02-21,1058754.4506101354
2024-02-22,1079823.1729526266
2024-02-23,1083081.4513301596
2024-02-26,1086137.6497648752
2024-02-27,1084724.5292852914
2024-02-28,1084889.4327086008
2024-02-29,1088425.4796331918
2024-03-01,1102964.8253382242
2024-03-04,1097503.4908560312
2024-03-05,1073861.4504927194
2024-03-06,1080793.3187578714
2024-03-07,1093484.6933573282
2024-03-08,1085526.9999331033
2024-03-11,1083899.810434202
2024-03-12,1097630.5333593881
2024-03-13,1089418.4874552286
2024-03-14,1081817.278320173
2024-03-15,1067455.693088392
2024-03-18,1069187.6351717508
2024-03-19,1070242.671762327
2024-03-20,1080032.016607145
2024-03-21,1088202.8383291757
2024-03-22,1084488.5666044748
2024-03-25,1082022.1688765085
2024-03-26,1084082.7083014047
2024-03-27,1088438.9645155466
2024-03-28,1086593.9216021097
2024-04-01,1082762.630451063
2024-04-02,1068138.1559084451
2024-04-03,1069674.9935091531
2024-04-04,1058660.8340529
2024-04-05,1067846.7602861917
2024-04-08,1071336.0702456033
2024-04-09,1076130.0776747263
2024-04-10,1062815.562196592
2024-04-11,1068721.5770300424
2024-04-12,1049061.6150759256
2024-04-15,1034960.7056082285
2024-04-16,1034138.6190489328
2024-04-17,1024655.675958494
2024-04-18,1017764.4970282114
2024-04-19,1008848.423513273
2024-04-22,1017797.0808981454
2024-04-23,1032145.8114470041
2024-04-24,1035367.734355787
2024-04-25,1026488.5104254282
2024-04-26,1031390.9821432626
2024-04-29,1030722.8587549722
2024-04-30,1016602.7664402521
2024-05-01,1014252.537078718
2024-05-02,1030597.0204351938
2024-05-03,1043004.1208733118
2024-05-06,1052325.3055189645
2024-05-07,1053156.6892841852
2024-05-08,1051136.3642729318
2024-05-09,1054476.5746344125
2024-05-10,1058024.717893461
2024-05-13,1056834.0857351816
2024-05-14,1062614.8020208871
2024-05-15,1082628.2345922983
2024-05-16,1080749.05844293
2024-05-17,1085716.4854124582
2024-05-20,1094146.5414522684
2024-05-21,1090790.738888601
2024-05-22,1093243.6011999643
2024-05-23,1083975.55286775
2024-05-24,1080721.0867279565
2024-05-28,1075119.9465940988
2024-05-29,1065162.7964876688
2024-05-30,1053300.070714811
2024-05-31,1059834.0364512003
2024-06-03,1061731.7740381754
2024-06-04,1065877.6855143106
2024-06-05,1085016.961990217
2024-06-06,1083312.2665804422
2024-06-07,1082930.4733675516
2024-06-10,1089379.8054197824
2024-06-11,1091352.9917257822
2024-06-12,1105379.4806068933
2024-06-13,1100248.976329664
2024-06-14,1106920.7628305948
2024-06-17,1118732.4814089334
2024-06-18,1120017.8069284952
2024-06-20,1115603.8829916513
2024-06-21,1121941.3104237115
2024-06-24,1116305.25421224
2024-06-25,1125459.875379423
