agent,cost_model,final_$,return_%,sharpe,max_dd_%,total_cost_$,trades
A2C,baseline,1275790.908932559,27.5790908932559,0.6882263195462042,-17.58456557758819,517.6974154787063,20856
A2C,ac,1274732.944821944,27.473294482194397,0.6863254545517634,-17.60309975726168,518.3538926864678,204
PPO,baseline,1505133.4740528062,50.51334740528062,0.8402523920665111,-26.69430411712573,934.3616024065034,20573
PPO,ac,1466929.5515989866,46.692955159898666,0.7995508967976676,-26.43680626949964,936.0639232695863,1907
DDPG,baseline,1304368.510135518,30.436851013551802,0.6974987035240703,-17.93092677499117,518.8020688428879,24168
DDPG,ac,1304538.4654013605,30.453846540136055,0.6978179656120133,-17.92750032554627,521.1367237975694,48
TD3,baseline,1175471.1990831888,17.547119908318876,0.48442346170299994,-19.479071485339347,532.542566438675,30912
TD3,ac,1175691.044289561,17.569104428956095,0.4848268179692556,-19.481284561905177,534.1051871901036,50
SAC,baseline,1260444.6417793867,26.044464177938664,0.6008089430504915,-20.160445724306488,499.74177697944657,25290
SAC,ac,1260214.5639484867,26.021456394848673,0.6004367063357577,-20.160129885184443,509.25742941594115,92
