Abbade 2026 MACE — Nasdaq 100 reproduction
Trade period: 2024-01-02 ~ 2026-03-30
Initial capital: $1,000,000
AC params: alpha=0.5 beta=1.0 spread_bps=5.0 half_life=5.0

agent cost_model       final_$  return_%  sharpe  max_dd_%  total_cost_$  trades
  A2C   baseline 1,275,790.909    27.579   0.688   -17.585       517.697   20856
  A2C         ac 1,274,732.945    27.473   0.686   -17.603       518.354     204
  PPO   baseline 1,505,133.474    50.513   0.840   -26.694       934.362   20573
  PPO         ac 1,466,929.552    46.693   0.800   -26.437       936.064    1907
 DDPG   baseline 1,304,368.510    30.437   0.697   -17.931       518.802   24168
 DDPG         ac 1,304,538.465    30.454   0.698   -17.928       521.137      48
  TD3   baseline 1,175,471.199    17.547   0.484   -19.479       532.543   30912
  TD3         ac 1,175,691.044    17.569   0.485   -19.481       534.105      50
  SAC   baseline 1,260,444.642    26.044   0.601   -20.160       499.742   25290
  SAC         ac 1,260,214.564    26.021   0.600   -20.160       509.257      92
