day,cost_$,turnover_$,pov
0,17.77174393903324,35541.78449630737,1.151293239106605e-06
1,17.54697685585832,35092.271255493164,1.151293239106605e-06
2,17.50615959874766,35010.64055252075,1.151293239106605e-06
3,17.518216736177664,35034.75319671631,1.151293239106605e-06
4,17.779432819639727,35557.15630340576,1.151293239106605e-06
5,17.738010599438276,35474.31156921387,1.151293239106605e-06
6,17.784510314524642,35567.306159973145,1.151293239106605e-06
7,17.79105548130793,35580.39253234863,1.151293239106605e-06
8,17.841413976749493,35681.0983505249,1.151293239106605e-06
9,17.79617244876032,35590.62394332886,1.151293239106605e-06
10,17.678865363069942,35356.018421173096,1.151293239106605e-06
11,17.83026737789134,35658.80392074585,1.151293239106605e-06
12,18.119099287653224,36236.438049316406,1.151293239106605e-06
13,18.163480688480114,36325.191398620605,1.151293239106605e-06
14,18.189840950175405,36377.90864944458,1.151293239106605e-06
15,18.21654189172596,36431.30997467041,1.151293239106605e-06
16,18.24524158376837,36488.68979263306,1.151293239106605e-06
17,18.16546850796166,36329.15121459961,1.151293239106605e-06
18,18.3800569435064,36758.30842208862,1.151293239106605e-06
19,18.357144035938962,36712.48834991455,1.151293239106605e-06
20,18.114257699828478,36226.73973464966,1.151293239106605e-06
21,18.35506934190301,36708.33742904663,1.151293239106605e-06
22,18.40963165635777,36817.455253601074,1.151293239106605e-06
23,18.28733375027377,36572.86644744873,1.151293239106605e-06
24,18.20674523818106,36411.70821762085,1.151293239106605e-06
25,18.25956194767192,36517.34648513794,1.151293239106605e-06
26,16.26569147409552,32529.88134765625,1.0855451384330279e-06
27,16.202973113997388,32403.557558105185,1.479007776206293e-06
28,12.599228605469055,25193.160605684083,2.9294376358128413e-06
29,12.098310778589093,24192.64150397971,2.8821208907065293e-06
30,12.35700111450596,24708.803178023674,2.9775012906500593e-06
31,11.698785908081847,23392.541272990842,2.9039851003844024e-06
32,7.307063138131108,14611.67283340728,2.2428753204816306e-06
33,7.153560103085844,14304.786198197695,2.296099104474537e-06
34,7.117196266466058,14232.10289650697,2.3012091517123686e-06
35,7.178838341624438,14355.401224524587,2.287788992886221e-06
36,7.215362601207336,14428.424461312368,2.2955386963759624e-06
37,5.2977092458074555,10594.462224225872,1.192662164532276e-06
38,3.1347185749547335,6269.225411735103,6.59405930306808e-07
39,2.550195773824791,5100.249822536721,6.288705135140737e-07
40,3.2339940716564612,6467.372886116331,7.143449284896664e-07
41,2.9914485352992712,5982.37289320054,6.568502055081226e-07
42,2.705235123141793,5410.0469392543,5.918806237627446e-07
43,2.6799760078706076,5359.534074285099,5.903334647731557e-07
44,2.38619748749847,4772.030115683888,6.387922956345627e-07
45,2.3881801813053407,4775.995578363617,6.498786671784829e-07
46,2.3790876585897145,4757.814782885843,6.320946521387165e-07
47,2.3819870503465763,4763.608193918891,6.419389769587888e-07
48,2.6395917946191942,5278.777995485653,5.89444681680186e-07
49,2.503865567205283,5007.362467440607,5.876433041710314e-07
50,2.291522045528952,4582.697491626346,6.490824345634633e-07
51,1.7589096181621964,3517.6122070200213,5.321598009481489e-07
52,1.5853716959754542,3170.5744259724815,4.6772317793320753e-07
53,1.4403310928300777,2880.523436912541,3.9455174363016913e-07
54,1.394054445584096,2787.9807395607636,3.834876935503038e-07
55,1.5758794610825395,3151.6097284490734,3.964816192308981e-07
56,1.624256791177893,3248.3511002644864,4.1148998048604484e-07
