,equity_a2c_ac
2024-01-02,1000000.0
2024-01-03,993759.8528535978
2024-01-04,993847.9441464278
2024-01-05,992240.0025623708
2024-01-08,999264.1995091066
2024-01-09,996757.7224616655
2024-01-10,1002096.6999734316
2024-01-11,1002115.0168917207
2024-01-12,999757.4113249569
2024-01-16,993260.7368024816
2024-01-17,990221.1224305616
2024-01-18,996547.6262356455
2024-01-19,1004870.9442978464
2024-01-22,1007767.4502857507
2024-01-23,1011066.4911307134
2024-01-24,1009330.4476934486
2024-01-25,1008150.5899141243
2024-01-26,1011423.3613509706
2024-01-29,1017895.463970579
2024-01-30,1020170.1049708481
2024-01-31,1011128.5390148922
2024-02-01,1021920.8249116063
2024-02-02,1023504.4308533128
2024-02-05,1022737.2802002417
2024-02-06,1029021.7152712588
2024-02-07,1037743.459890708
2024-02-08,1039131.2104235202
2024-02-09,1041517.5755648226
2024-02-12,1043085.1709948946
2024-02-13,1031766.9388033724
2024-02-14,1040562.8577314992
2024-02-15,1045229.5168804359
2024-02-16,1046787.0037189119
2024-02-20,1038408.3788474165
2024-02-21,1041500.5525205788
2024-02-22,1057711.261437328
2024-02-23,1058224.9398168488
2024-02-26,1055766.296089443
2024-02-27,1052498.0678657715
2024-02-28,1050359.289422372
2024-02-29,1048035.9118059934
2024-03-01,1057501.5873693796
2024-03-04,1057157.66391482
2024-03-05,1046928.3360308007
2024-03-06,1051837.3442302528
2024-03-07,1059383.8564495237
2024-03-08,1052387.5925722206
2024-03-11,1051010.2894863053
2024-03-12,1059445.06489536
2024-03-13,1058003.5107450082
2024-03-14,1055748.316929805
2024-03-15,1050866.821471063
2024-03-18,1054739.6467589547
2024-03-19,1062269.5446096603
2024-03-20,1068990.500117547
2024-03-21,1072508.4243147983
2024-03-22,1065600.0981202119
2024-03-25,1060015.4635301197
2024-03-26,1061505.0269887703
2024-03-27,1070931.6796558362
2024-03-28,1073378.5716196022
2024-04-01,1065293.1450287905
2024-04-02,1053184.5811307386
2024-04-03,1051686.4042448835
2024-04-04,1037337.200003535
2024-04-05,1047734.300416826
2024-04-08,1047933.2264582482
2024-04-09,1048554.2172303858
2024-04-10,1036434.0436641275
2024-04-11,1039242.3330520515
2024-04-12,1024609.9126835737
2024-04-15,1018167.5808229231
2024-04-16,1021615.5657607043
2024-04-17,1021149.9941425113
2024-04-18,1020838.7986297755
2024-04-19,1021433.6282769337
2024-04-22,1025935.1331175768
2024-04-23,1035949.6017095831
2024-04-24,1036239.5160429924
2024-04-25,1033331.9731853745
2024-04-26,1037271.6235707168
2024-04-29,1038142.4586149527
2024-04-30,1029644.3108266027
2024-05-01,1026157.1202640454
2024-05-02,1030001.5810990833
2024-05-03,1036243.8605728225
2024-05-06,1046247.9663820235
2024-05-07,1051869.7361289707
2024-05-08,1052732.4525080055
2024-05-09,1057592.3679848476
2024-05-10,1062082.5754879292
2024-05-13,1059772.0098287608
2024-05-14,1066441.7744359982
2024-05-15,1078874.0440505722
2024-05-16,1074785.4121262191
2024-05-17,1075769.3164611221
2024-05-20,1075560.659410449
2024-05-21,1078768.049260166
2024-05-22,1075859.41077543
2024-05-23,1063739.610931721
2024-05-24,1064522.9172215695
2024-05-28,1056895.0574707012
2024-05-29,1044993.3480502608
2024-05-30,1045036.1046022337
2024-05-31,1056362.592276822
2024-06-03,1056602.1651675343
2024-06-04,1063000.271948702
2024-06-05,1072045.3556095955
2024-06-06,1073127.0501873665
2024-06-07,1071384.029376441
2024-06-10,1074803.1660788255
2024-06-11,1071597.8991234594
2024-06-12,1076769.1081835795
2024-06-13,1081458.7201226186
2024-06-14,1081357.2657664437
2024-06-17,1089784.417403753
2024-06-18,1092551.318234648
2024-06-20,1090918.224724644
2024-06-21,1088718.3470411936
2024-06-24,1092422.3330931803
2024-06-25,1089558.308321981
2024-06-26,1088285.56946964
2024-06-27,1086767.2525475794
2024-06-28,1086752.8392724379
2024-07-01,1080961.9729916812
2024-07-02,1085972.1117291285
2024-07-03,1085071.2783847929
2024-07-05,1089314.115288369
2024-07-08,1089151.2736329085
2024-07-09,1090062.4458204058
2024-07-10,1098015.150457802
2024-07-11,1097086.138648608
2024-07-12,1105601.8057867894
2024-07-15,1107255.647767965
2024-07-16,1122366.2978266014
2024-07-17,1118197.6027283762
2024-07-18,1100752.612551906
2024-07-19,1099590.385977671
2024-07-22,1109527.2261083191
2024-07-23,1109218.9169396574
2024-07-24,1094781.371843575
2024-07-25,1089191.0183006874
2024-07-26,1101445.1792615491
2024-07-29,1101132.7814622428
2024-07-30,1099471.5669299143
2024-07-31,1113568.4322977618
2024-08-01,1106632.6332965775
2024-08-02,1092873.3071627032
2024-08-05,1063068.059206841
2024-08-06,1070682.5849565284
2024-08-07,1061521.3271355776
2024-08-08,1085481.6329485138
2024-08-09,1090169.5937042169
2024-08-12,1087273.078211994
2024-08-13,1103682.5580280232
2024-08-14,1110454.6851138931
2024-08-15,1125947.5384822222
2024-08-16,1125869.6386831785
2024-08-19,1130970.0612592124
2024-08-20,1132723.9783750884
2024-08-21,1134653.6173636965
2024-08-22,1129939.0400648946
2024-08-23,1138066.342564752
2024-08-26,1136526.6531668596
2024-08-27,1138899.0480776024
2024-08-28,1135001.1286524357
2024-08-29,1139485.1963671055
2024-08-30,1149749.1674371257
2024-09-03,1139023.7231594804
2024-09-04,1140914.401468345
2024-09-05,1129436.8345084032
2024-09-06,1117250.5127547735
2024-09-09,1129323.3175071
2024-09-10,1135815.2065655196
2024-09-11,1139216.822255479
2024-09-12,1144206.1721973931
2024-09-13,1149229.307537239
2024-09-16,1154270.7534922739
2024-09-17,1149235.6670876755
2024-09-18,1145752.643251993
2024-09-19,1156486.4087399507
2024-09-20,1155316.556117559
2024-09-23,1158881.2119301488
2024-09-24,1156264.8802810626
2024-09-25,1152226.1678011175
2024-09-26,1161868.963844895
2024-09-27,1160296.599677199
2024-09-30,1164442.211955636
2024-10-01,1157088.804424556
2024-10-02,1160792.6123454839
2024-10-03,1153682.1466622483
2024-10-04,1159392.236117467
2024-10-07,1150368.6913519723
2024-10-08,1157280.8405149921
2024-10-09,1170293.565188015
2024-10-10,1166567.3976245294
2024-10-11,1177012.440011521
2024-10-14,1185202.4749792414
2024-10-15,1165973.7694759534
2024-10-16,1173751.2396062124
2024-10-17,1173732.3110243168
2024-10-18,1180822.533288258
2024-10-21,1173721.3129842193
2024-10-22,1174629.3161980526
2024-10-23,1165919.497167164
2024-10-24,1159078.3990893702
2024-10-25,1156319.396255974
2024-10-28,1159318.0302694796
2024-10-29,1159710.5484910966
2024-10-30,1156163.9304750732
2024-10-31,1146073.7458389348
2024-11-01,1149860.1054200174
2024-11-04,1144600.0061697988
2024-11-05,1157135.4620570815
2024-11-06,1176949.7240658805
2024-11-07,1184634.9490398907
2024-11-08,1193109.5704287773
2024-11-11,1193345.408824304
2024-11-12,1184549.7706371862
2024-11-13,1179741.6565957258
2024-11-14,1173514.6563350083
2024-11-15,1158640.676819569
2024-11-18,1160267.738102879
2024-11-19,1156060.1235903853
2024-11-20,1163781.0286705727
2024-11-21,1173793.6050322996
2024-11-22,1178996.8631496462
2024-11-25,1187336.4498861732
2024-11-26,1193046.44563583
2024-11-27,1192269.8801480073
2024-11-29,1198355.1336127575
2024-12-02,1198921.3129603516
2024-12-03,1196419.3115189234
2024-12-04,1198696.7204244942
2024-12-05,1187468.6167198191
2024-12-06,1185523.626532073
2024-12-09,1180502.5288915827
2024-12-10,1180634.5567125224
2024-12-11,1180140.084932416
2024-12-12,1170200.802068375
2024-12-13,1178883.9961176214
2024-12-16,1180496.1891392535
2024-12-17,1175864.6055971358
2024-12-18,1148760.0314585348
2024-12-19,1146151.9314619158
2024-12-20,1158653.0363336222
2024-12-23,1167512.9420286245
2024-12-24,1178028.9677913089
2024-12-26,1180390.4711352624
2024-12-27,1171390.685872557
2024-12-30,1156820.2823576285
2024-12-31,1154987.788539265
2025-01-02,1151435.1291573294
2025-01-03,1161076.6047414073
2025-01-06,1158073.7359028233
2025-01-07,1152073.0581153755
2025-01-08,1158193.2451433511
2025-01-10,1140205.977930648
2025-01-13,1149391.6106373544
2025-01-14,1148165.6572394662
2025-01-15,1164858.563882612
2025-01-16,1164906.2141521825
2025-01-17,1171060.6272874447
2025-01-21,1187982.5627351126
2025-01-22,1191107.4568240982
2025-01-23,1202820.415276085
2025-01-24,1201867.9277017054
2025-01-27,1199799.5665928512
2025-01-28,1198782.671226962
2025-01-29,1194193.695877337
2025-01-30,1215033.6568506
2025-01-31,1210482.9870424848
2025-02-03,1205075.4189700617
2025-02-04,1206154.9146724371
2025-02-05,1213473.900966635
2025-02-06,1213451.0690923673
2025-02-07,1204548.1929767155
2025-02-10,1210766.306001618
2025-02-11,1211627.9473213106
2025-02-12,1208412.1226394924
2025-02-13,1213296.063173721
2025-02-14,1204449.589708631
2025-02-18,1210407.2920782487
2025-02-19,1219347.226262374
2025-02-20,1215205.1256220944
2025-02-21,1196647.6924832335
2025-02-24,1194073.197189596
2025-02-25,1195664.9069103696
2025-02-26,1193497.0120117757
2025-02-27,1182684.5575810224
2025-02-28,1199391.0332422133
2025-03-03,1188057.0266079947
2025-03-04,1169214.9138880614
2025-03-05,1181558.9382224954
2025-03-06,1167322.3888959652
2025-03-07,1170124.4175435763
2025-03-10,1139818.0049410993
2025-03-11,1127531.6632604564
2025-03-12,1127211.5253248832
2025-03-13,1115329.377468074
2025-03-14,1133313.3226779678
2025-03-17,1145625.5062823512
2025-03-18,1139944.5796131475
2025-03-19,1148912.1842459273
2025-03-20,1147164.164355588
2025-03-21,1145617.0042888946
2025-03-24,1159934.8917230715
2025-03-25,1157352.4249125232
2025-03-26,1151406.734170753
2025-03-27,1150102.2137162057
2025-03-28,1132273.7769862616
2025-03-31,1141608.3624823736
2025-04-01,1138980.6582748403
2025-04-02,1146271.9270401082
2025-04-03,1104633.617966629
2025-04-04,1038125.1837757578
2025-04-07,1035372.1776122807
2025-04-08,1025401.3072418699
2025-04-09,1109219.1830009155
2025-04-10,1074443.1210573777
2025-04-11,1093673.8129933164
2025-04-14,1102403.3891070655
2025-04-15,1099711.1426454517
2025-04-16,1081922.1103970536
2025-04-17,1070309.5414330317
2025-04-21,1044567.954800207
2025-04-22,1069237.1527328347
2025-04-23,1081153.6684756896
2025-04-24,1098407.8268679678
2025-04-25,1101241.6102233904
2025-04-28,1104306.7187624255
2025-04-29,1109788.8701415611
2025-04-30,1115172.6803581773
2025-05-01,1104477.5224169323
2025-05-02,1123587.253279197
2025-05-05,1121120.9606190668
2025-05-06,1105724.9736415234
2025-05-07,1112296.6491661877
2025-05-08,1114868.2745322823
2025-05-09,1109932.3623693904
2025-05-12,1141206.352409792
2025-05-13,1130043.1164064154
2025-05-14,1121143.2091811644
2025-05-15,1127573.9752644836
2025-05-16,1137891.2446106318
2025-05-19,1145210.0130183352
2025-05-20,1144057.6513990967
2025-05-21,1119223.7432842986
2025-05-22,1117461.6602856906
2025-05-23,1110203.3350837952
2025-05-27,1129974.58107368
2025-05-28,1127457.4456451803
2025-05-29,1132023.3985415585
2025-05-30,1136540.6909488542
2025-06-02,1139581.506328125
2025-06-03,1145572.2399875808
2025-06-04,1148251.6744473567
2025-06-05,1145874.366691322
2025-06-06,1154377.9829298193
2025-06-09,1152144.6058965637
2025-06-10,1161497.3425560808
2025-06-11,1164253.935979991
2025-06-12,1169876.0076120477
2025-06-13,1153621.4725742848
2025-06-16,1159818.807175038
2025-06-17,1148162.0055343043
2025-06-18,1141783.0459802286
2025-06-20,1134635.6880764675
2025-06-23,1144067.0473209745
2025-06-24,1161917.0489456495
2025-06-25,1158005.1928652597
2025-06-26,1167143.9405466593
2025-06-27,1173044.4144861472
2025-06-30,1182803.4975434646
2025-07-01,1190059.905984031
2025-07-02,1196572.6567804886
2025-07-03,1205587.4556156148
2025-07-07,1195324.1653508039
2025-07-08,1194015.8988482265
2025-07-09,1198000.0389008748
2025-07-10,1203881.5779817624
2025-07-11,1195292.8511710062
2025-07-14,1195543.4358380388
2025-07-15,1180048.1398654094
2025-07-16,1189778.3129153918
2025-07-17,1193424.1509650745
2025-07-18,1188963.9419347388
2025-07-21,1186766.6286075194
2025-07-22,1189570.6152157157
2025-07-23,1203658.818088033
2025-07-24,1196571.9647937205
2025-07-25,1201998.1523974128
2025-07-28,1200892.5102086032
2025-07-29,1192491.3210762162
2025-07-30,1188971.2333908435
2025-07-31,1172603.0708929452
2025-08-01,1159464.6769972658
2025-08-04,1175074.4342089912
2025-08-05,1172598.4396511293
2025-08-06,1171905.9968505057
2025-08-07,1158279.9504632915
2025-08-08,1166015.8055137
2025-08-11,1166176.9627388045
2025-08-12,1181570.5614201063
2025-08-13,1190679.3610890836
2025-08-14,1191129.0769159219
2025-08-15,1192567.7158933922
2025-08-18,1193436.228934811
2025-08-19,1189268.977617349
2025-08-20,1190017.81881691
2025-08-21,1185970.1422974295
2025-08-22,1204071.4768553877
2025-08-25,1192957.9624636802
2025-08-26,1200273.1927528414
2025-08-27,1200996.548830887
2025-08-28,1204171.0796995377
2025-08-29,1200041.3811569128
2025-09-02,1194296.4121966856
2025-09-03,1188416.987076183
2025-09-04,1196466.7421173311
2025-09-05,1199988.8841816366
2025-09-08,1205155.7372069857
2025-09-09,1210644.7539609268
2025-09-10,1227853.3429559413
2025-09-11,1238920.2950805775
2025-09-12,1227247.4289576577
2025-09-15,1226921.9925492632
2025-09-16,1227131.9363570118
2025-09-17,1232913.9778936857
2025-09-18,1231902.4920805562
2025-09-19,1235425.3594599161
2025-09-22,1241032.5029981756
2025-09-23,1236326.543075672
2025-09-24,1232851.2884217463
2025-09-25,1220821.7799930593
2025-09-26,1225922.0390384058
2025-09-29,1227323.864328563
2025-09-30,1233471.0706238674
2025-10-01,1251961.7011452815
2025-10-02,1254887.0155692324
2025-10-03,1258775.6309842847
2025-10-06,1260759.8864043404
2025-10-07,1254942.6602275856
2025-10-08,1258293.3500641997
2025-10-09,1255128.972603041
2025-10-10,1228125.711265847
2025-10-13,1246041.8575401022
2025-10-14,1252353.49051113
2025-10-15,1255443.0113300078
2025-10-16,1246710.2155076403
2025-10-17,1249463.200685969
2025-10-20,1258084.229301236
2025-10-21,1256801.8281214961
2025-10-22,1260434.3123222739
2025-10-23,1272158.0054910297
2025-10-24,1278494.9412987959
2025-10-27,1284239.5012784018
2025-10-28,1278512.3311925144
2025-10-29,1267691.105397089
2025-10-30,1261043.376584311
2025-10-31,1258327.1581112377
2025-11-03,1253683.2238922843
2025-11-04,1247257.684650638
2025-11-05,1256671.6291303197
2025-11-06,1249790.199028802
2025-11-07,1248897.1047684716
2025-11-10,1261410.7479572415
2025-11-11,1269970.3164252392
2025-11-12,1279706.2180584166
2025-11-13,1261211.5906167636
2025-11-14,1253744.8459398495
2025-11-17,1241192.801907606
2025-11-18,1236616.1989099379
2025-11-19,1244809.2845020643
2025-11-20,1227444.9757143694
2025-11-21,1244619.7795447041
2025-11-24,1255434.354685085
2025-11-25,1277267.9138343493
2025-11-26,1281035.1207136505
2025-11-28,1282902.656189168
2025-12-01,1270854.0757378275
2025-12-02,1274687.1105976368
2025-12-03,1287209.2629747258
2025-12-04,1280836.3100282324
