,equity_a2c_baseline
2024-01-02,1000000.0
2024-01-03,993760.2682456992
2024-01-04,993848.2322726463
2024-01-05,992244.1027216667
2024-01-08,999264.4843032764
2024-01-09,996752.8395088123
2024-01-10,1002088.7751434253
2024-01-11,1002106.7383468555
2024-01-12,999739.623925011
2024-01-16,993237.4525764392
2024-01-17,990194.5994270252
2024-01-18,996517.4953887867
2024-01-19,1004848.2644737171
2024-01-22,1007746.7421539234
2024-01-23,1011049.1356780933
2024-01-24,1009316.2425773548
2024-01-25,1008137.4718864368
2024-01-26,1011417.6769607471
2024-01-29,1017883.566326897
2024-01-30,1020160.063000481
2024-01-31,1011115.3233497547
2024-02-01,1021894.5869338916
2024-02-02,1023480.8165443348
2024-02-05,1022712.0808990406
2024-02-06,1028992.4559829639
2024-02-07,1037712.3751190113
2024-02-08,1039104.1918075489
2024-02-09,1041488.3348510669
2024-02-12,1043062.9652984546
2024-02-13,1031738.869728844
2024-02-14,1040535.0039756702
2024-02-15,1045216.8792274402
2024-02-16,1046776.2673080371
2024-02-20,1038399.450009148
2024-02-21,1041493.305111687
2024-02-22,1057699.821087639
2024-02-23,1058216.2988059924
2024-02-26,1055757.802075188
2024-02-27,1052495.0468528674
2024-02-28,1050352.7413833544
2024-02-29,1048038.4530113147
2024-03-01,1057500.1930663988
2024-03-04,1057164.5953224108
2024-03-05,1046941.7851493763
2024-03-06,1051851.7678573534
2024-03-07,1059400.120709221
2024-03-08,1052402.0926292345
2024-03-11,1051025.1001060412
2024-03-12,1059458.2966468737
2024-03-13,1058016.996315758
2024-03-14,1055757.0338600085
2024-03-15,1050880.5166137621
2024-03-18,1054754.3429954455
2024-03-19,1062277.4107635424
2024-03-20,1069000.1393440173
2024-03-21,1072521.3408134386
2024-03-22,1065616.3457305834
2024-03-25,1060031.9511230395
2024-03-26,1061521.6880958483
2024-03-27,1070955.3253944323
2024-03-28,1073404.653561394
2024-04-01,1065317.7162444994
2024-04-02,1053206.7553413317
2024-04-03,1051709.387345116
2024-04-04,1037360.9032409595
2024-04-05,1047758.0472762989
2024-04-08,1047959.5236518787
2024-04-09,1048580.4737327502
2024-04-10,1036457.0161788868
2024-04-11,1039262.2147949146
2024-04-12,1024628.2176940845
2024-04-15,1018193.7114303516
2024-04-16,1021637.0073097156
2024-04-17,1021173.8982475208
2024-04-18,1020872.6379707264
2024-04-19,1021478.8739555286
2024-04-22,1025982.701760094
2024-04-23,1035994.7750747608
2024-04-24,1036282.7815521167
2024-04-25,1033370.711487572
2024-04-26,1037310.8170822071
2024-04-29,1038184.072552483
2024-04-30,1029686.3479469226
2024-05-01,1026201.8599975513
2024-05-02,1030047.5128524707
2024-05-03,1036290.1739814685
2024-05-06,1046291.7846801685
2024-05-07,1051909.4070747301
2024-05-08,1052776.5238120959
2024-05-09,1057635.683777611
2024-05-10,1062126.937733452
2024-05-13,1059814.1230895922
2024-05-14,1066489.8630989
2024-05-15,1078920.6831558153
2024-05-16,1074827.1604507372
2024-05-17,1075810.9693801806
2024-05-20,1075601.4247596667
2024-05-21,1078816.7111900256
2024-05-22,1075904.9512718127
2024-05-23,1063779.2575958178
2024-05-24,1064566.051129143
2024-05-28,1056937.9581458971
2024-05-29,1045034.0247886585
2024-05-30,1045076.2833602832
2024-05-31,1056407.4114807055
2024-06-03,1056645.2676017687
2024-06-04,1063036.7455947802
2024-06-05,1072079.8649490282
2024-06-06,1073153.3202102587
2024-06-07,1071410.6637695238
2024-06-10,1074831.360340874
2024-06-11,1071621.92616729
2024-06-12,1076800.6824577258
2024-06-13,1081489.293705742
2024-06-14,1081388.5599716112
2024-06-17,1089819.9433601305
2024-06-18,1092588.6629760668
2024-06-20,1090950.7169540331
2024-06-21,1088748.5170295641
2024-06-24,1092457.356900017
2024-06-25,1089586.1516273424
2024-06-26,1088311.8864334032
2024-06-27,1086803.7552688525
2024-06-28,1086804.574703972
