,equity_ddpg_ac
2024-01-02,1000000.0
2024-01-03,996837.2013669827
2024-01-04,995374.221774991
2024-01-05,998834.4587568389
2024-01-08,1012141.880215754
2024-01-09,1012893.2666158909
2024-01-10,1016196.2885546207
2024-01-11,1017858.5041785185
2024-01-12,1022129.539929663
2024-01-16,1021338.5329739313
2024-01-17,1018063.2627254137
2024-01-18,1020483.02640441
2024-01-19,1036315.917745452
2024-01-22,1033993.8006399781
2024-01-23,1034244.251789193
2024-01-24,1037992.5763515518
2024-01-25,1048221.6645907469
2024-01-26,1049802.8836150784
2024-01-29,1060347.4166778156
2024-01-30,1062304.45132045
2024-01-31,1047355.523001501
2024-02-01,1060648.3408403145
2024-02-02,1068315.2002153494
2024-02-05,1066330.3592513455
2024-02-06,1061254.323334841
2024-02-07,1074257.4311962551
2024-02-08,1075600.1853449997
2024-02-09,1080848.6811531524
2024-02-12,1079332.4239198319
2024-02-13,1064817.4210256482
2024-02-14,1074562.0463291076
2024-02-15,1077022.130717087
2024-02-16,1066966.4995281247
2024-02-20,1059316.5782875963
2024-02-21,1057894.1263436172
2024-02-22,1074554.7806846804
2024-02-23,1078903.5883908875
2024-02-26,1079350.0002948698
2024-02-27,1078642.7603468162
2024-02-28,1077742.9011394759
2024-02-29,1082761.0491603424
2024-03-01,1093550.839309135
2024-03-04,1096701.5687740268
2024-03-05,1083857.5103840698
2024-03-06,1090482.6555616176
2024-03-07,1099352.6856105167
2024-03-08,1082691.6745771049
2024-03-11,1078137.8877353596
2024-03-12,1095084.7151419707
2024-03-13,1093457.7780586043
2024-03-14,1089685.9054442295
2024-03-15,1064921.6469860035
2024-03-18,1073196.3553691218
2024-03-19,1078622.385587933
2024-03-20,1086602.6422117648
2024-03-21,1091663.7706038966
2024-03-22,1080892.5199298598
2024-03-25,1078537.7944711065
2024-03-26,1076649.499140338
2024-03-27,1084542.9305698262
2024-03-28,1087131.2258516892
2024-04-01,1079994.288183107
2024-04-02,1071754.8070808435
2024-04-03,1070376.6915846404
2024-04-04,1057365.0462076664
2024-04-05,1067639.5713692692
2024-04-08,1068968.6589765265
2024-04-09,1070518.9539913554
2024-04-10,1060116.660711826
2024-04-11,1063578.64336284
2024-04-12,1051749.3635002347
2024-04-15,1043966.0799371088
2024-04-16,1043687.8828563177
2024-04-17,1042771.3147295363
2024-04-18,1040733.7216421091
2024-04-19,1038742.9165592345
2024-04-22,1048188.8402142117
2024-04-23,1061789.056240173
2024-04-24,1064277.521377821
2024-04-25,1055025.427375392
2024-04-26,1062040.1708089167
2024-04-29,1062767.6454521017
2024-04-30,1053769.3733502422
2024-05-01,1046809.2208180509
2024-05-02,1051405.5536142832
2024-05-03,1059815.172071368
2024-05-06,1074487.9627331332
2024-05-07,1079725.3037720192
2024-05-08,1079725.9560495266
2024-05-09,1085739.1866666381
2024-05-10,1088738.0090778228
2024-05-13,1083851.0469264495
2024-05-14,1087105.813848773
2024-05-15,1102365.7018057262
2024-05-16,1098891.346209349
2024-05-17,1101815.67357755
2024-05-20,1103180.4554418246
2024-05-21,1108240.9346129934
