,equity_ddpg_baseline
2024-01-02,1000000.0
2024-01-03,996837.5021883013
2024-01-04,995376.1270217058
2024-01-05,998832.3591689226
2024-01-08,1012139.9862288592
2024-01-09,1012897.9550093767
2024-01-10,1016198.7060622332
2024-01-11,1017863.7559126971
2024-01-12,1022137.7257155535
2024-01-16,1021344.6507796404
2024-01-17,1018071.9204329607
2024-01-18,1020491.6529006121
2024-01-19,1036323.8007582781
2024-01-22,1033982.1700362322
2024-01-23,1034237.1969679949
2024-01-24,1037986.2750472185
2024-01-25,1048215.1890944598
2024-01-26,1049797.3303145524
2024-01-29,1060339.6420210954
2024-01-30,1062292.7666243669
2024-01-31,1047344.4825972674
2024-02-01,1060637.176765358
2024-02-02,1068299.7232588883
2024-02-05,1066316.6911086198
2024-02-06,1061241.7354506608
2024-02-07,1074237.446662819
2024-02-08,1075579.7336043473
2024-02-09,1080828.341483986
2024-02-12,1079309.64675132
2024-02-13,1064799.4297865983
2024-02-14,1074543.4137801286
2024-02-15,1077000.637702858
2024-02-16,1066941.894004738
2024-02-20,1059292.8546065446
2024-02-21,1057870.9337996598
2024-02-22,1074529.6986769792
2024-02-23,1078879.769721901
2024-02-26,1079325.3775405046
2024-02-27,1078617.996147072
2024-02-28,1077716.3663863298
2024-02-29,1082735.2845381852
2024-03-01,1093525.9478530046
2024-03-04,1096674.577659523
2024-03-05,1083832.6384810563
2024-03-06,1090457.7028731462
2024-03-07,1099330.3367537614
2024-03-08,1082672.9326399919
2024-03-11,1078119.9417189714
2024-03-12,1095065.3255385514
2024-03-13,1093438.1383284684
2024-03-14,1089664.570716774
2024-03-15,1064899.9401015397
2024-03-18,1073175.1432417985
2024-03-19,1078599.4270094987
2024-03-20,1086577.0980452653
2024-03-21,1091628.2224654313
2024-03-22,1080859.298515236
2024-03-25,1078505.4098738786
2024-03-26,1076616.1830367204
2024-03-27,1084506.487815773
2024-03-28,1087094.099143898
2024-04-01,1079958.4154433366
2024-04-02,1071718.957160866
2024-04-03,1070336.6051100846
2024-04-04,1057325.9767073747
2024-04-05,1067599.6936720964
2024-04-08,1068927.2830123063
2024-04-09,1070478.536949074
2024-04-10,1060077.350089943
2024-04-11,1063541.9573897477
2024-04-12,1051715.3289870378
2024-04-15,1043925.9720687029
2024-04-16,1043648.8126448748
2024-04-17,1042728.1214675066
2024-04-18,1040689.3700179217
2024-04-19,1038699.3403700945
2024-04-22,1048139.2756880877
2024-04-23,1061736.4794844743
2024-04-24,1064225.5025710221
2024-04-25,1054971.2148818132
2024-04-26,1061982.671058571
2024-04-29,1062709.6401442643
2024-04-30,1053711.8438490983
2024-05-01,1046752.1968306658
2024-05-02,1051345.4887313005
2024-05-03,1059751.331062233
2024-05-06,1074423.022834694
2024-05-07,1079660.1418685075
2024-05-08,1079658.211494362
2024-05-09,1085666.6549147721
2024-05-10,1088668.6332472917
2024-05-13,1083785.389228737
2024-05-14,1087038.0339430925
2024-05-15,1102293.0069502946
2024-05-16,1098821.1002883073
2024-05-17,1101743.6211623307
2024-05-20,1103111.0432204362
2024-05-21,1108166.7389906999
2024-05-22,1107661.5550459977
2024-05-23,1096970.7226485368
2024-05-24,1097011.7114485856
2024-05-28,1095923.2297362443
2024-05-29,1088702.6428298112
2024-05-30,1080221.978568947
2024-05-31,1088755.328758156
2024-06-03,1083500.824485695
2024-06-04,1089990.2504195329
2024-06-05,1098752.6246794816
2024-06-06,1101626.0259169694
2024-06-07,1105990.8621291276
2024-06-10,1106017.6790694352
2024-06-11,1100928.9159773942
2024-06-12,1103045.5971602555
2024-06-13,1107313.0937956925
2024-06-14,1122490.727409279
2024-06-17,1130971.5014113542
2024-06-18,1133794.511482155
2024-06-20,1135337.457801735
2024-06-21,1134133.5068129655
2024-06-24,1135203.2388991471
2024-06-25,1133628.1886519548
2024-06-26,1133121.617454445
2024-06-27,1134915.1624220964
2024-06-28,1133510.0029524919
2024-07-01,1136846.6866988298
2024-07-02,1146700.1522750016
2024-07-03,1148127.5601729508
2024-07-05,1158977.9543532487
2024-07-08,1157836.9913863298
2024-07-09,1156568.7302168962
2024-07-10,1161550.3012007829
2024-07-11,1151938.1588515397
2024-07-12,1157919.9844588395
2024-07-15,1165786.8369673844
2024-07-16,1173756.5592726823
2024-07-17,1164577.1686324235
2024-07-18,1147831.5634688493
2024-07-19,1141665.4279555436
2024-07-22,1149207.7607344743
2024-07-23,1148831.9096602555
2024-07-24,1126813.724433815
2024-07-25,1121404.0743788835
2024-07-26,1131325.6221236344
2024-07-29,1131499.838447487
2024-07-30,1130192.8480757829
2024-07-31,1144693.7333296891
2024-08-01,1134773.5532454606
2024-08-02,1116415.2791670915
2024-08-05,1087027.9432906266
2024-08-06,1100232.2584151383
2024-08-07,1092011.950706398
2024-08-08,1123507.2064894792
2024-08-09,1134753.519142067
2024-08-12,1132382.101753151
2024-08-13,1150178.6056288835
2024-08-14,1156100.0036086198
2024-08-15,1171884.954612648
2024-08-16,1171807.7764968034
2024-08-19,1179494.9531630632
2024-08-20,1182246.3424758073
2024-08-21,1184054.0593184587
2024-08-22,1177872.1644362565
2024-08-23,1181469.9260024186
2024-08-26,1184099.2522658464
2024-08-27,1192304.2088545915
2024-08-28,1181781.6240615007
2024-08-29,1186677.8233870622
2024-08-30,1197160.8706130143
2024-09-03,1181875.2042922135
2024-09-04,1185201.0021285173
2024-09-05,1174845.194999611
2024-09-06,1158610.1886672135
2024-09-09,1176581.7735823747
2024-09-10,1176801.787742531
2024-09-11,1189949.1215285417
2024-09-12,1201401.9270705339
2024-09-13,1197442.914619362
2024-09-16,1196235.2236556169
2024-09-17,1191280.6090010758
2024-09-18,1182711.5418013688
2024-09-19,1201308.8082656022
2024-09-20,1202859.6794051286
2024-09-23,1208307.1366805192
2024-09-24,1200154.8641738053
2024-09-25,1198970.6668318864
2024-09-26,1200330.0666121598
2024-09-27,1193006.6733931657
2024-09-30,1195807.9460372087
2024-10-01,1184850.1188887712
2024-10-02,1185693.7826613542
2024-10-03,1181416.2510909196
2024-10-04,1192624.078819191
2024-10-07,1181894.9533614274
2024-10-08,1191798.8348769303
2024-10-09,1204282.8281630632
2024-10-10,1198377.7213210221
2024-10-11,1204692.425620949
2024-10-14,1212412.4714278337
2024-10-15,1207811.8014296647
2024-10-16,1211851.5000075456
2024-10-17,1213056.3355025407
2024-10-18,1212112.5583418962
2024-10-21,1204778.6022109147
2024-10-22,1207378.843284523
2024-10-23,1203038.6867140885
2024-10-24,1198999.6792525407
2024-10-25,1195359.4192580339
2024-10-28,1200673.2970809098
2024-10-29,1201026.0368575212
2024-10-30,1190306.4111861344
2024-10-31,1175239.320579445
2024-11-01,1177949.1823805925
2024-11-04,1174916.8230971452
2024-11-05,1187650.7508620378
2024-11-06,1219608.3415297624
2024-11-07,1223686.0406722184
2024-11-08,1237856.338523781
2024-11-11,1243191.917655861
2024-11-12,1240076.7900008317
2024-11-13,1242345.1438979264
2024-11-14,1233000.9753493425
2024-11-15,1214589.2391890641
2024-11-18,1216748.2177962419
2024-11-19,1211596.6637343522
2024-11-20,1214703.5751265641
2024-11-21,1231653.775581276
2024-11-22,1238307.7552260514
2024-11-25,1245930.6017226335
2024-11-26,1257619.8236464616
2024-11-27,1251166.6243819352
2024-11-29,1257320.5802840348
2024-12-02,1256722.1032637712
2024-12-03,1257344.2547377702
2024-12-04,1266269.2388991471
2024-12-05,1264897.7968215104
2024-12-06,1271184.3225630876
2024-12-09,1255600.7541274186
2024-12-10,1254713.2921370622
2024-12-11,1261940.8600386735
2024-12-12,1242475.5187758561
2024-12-13,1245789.1785201188
2024-12-16,1249210.6223525163
2024-12-17,1239223.662300026
2024-12-18,1203136.255546486
2024-12-19,1198195.470100319
2024-12-20,1209202.0623854753
2024-12-23,1214671.1589278337
2024-12-24,1226504.584617531
2024-12-26,1227422.02855674
2024-12-27,1215661.7831191178
2024-12-30,1200776.7919539567
2024-12-31,1198121.8275374528
2025-01-02,1195519.3825148698
2025-01-03,1201462.734504616
2025-01-06,1199672.9589003678
2025-01-07,1193880.83966819
2025-01-08,1197804.5607833024
2025-01-10,1182326.384086525
2025-01-13,1183434.8545607682
2025-01-14,1183706.1052626725
2025-01-15,1202380.7381972428
2025-01-16,1206838.5936202165
2025-01-17,1217710.3166274186
2025-01-21,1230365.9529036637
2025-01-22,1234528.7929762956
2025-01-23,1239526.9445418473
2025-01-24,1241242.465400612
2025-01-27,1242960.5703200456
2025-01-28,1243324.723640358
2025-01-29,1247059.3492354508
2025-01-30,1263223.6221236344
2025-01-31,1255202.2327040788
2025-02-03,1259507.6006240007
2025-02-04,1266671.5317763444
2025-02-05,1277857.7754592057
2025-02-06,1285293.9618300553
2025-02-07,1275560.4121169206
2025-02-10,1287352.0953292008
2025-02-11,1291441.8174513932
2025-02-12,1291438.2352675553
2025-02-13,1298805.8917159196
2025-02-14,1295986.9294356462
2025-02-18,1296617.4046553727
2025-02-19,1299926.8866347428
2025-02-20,1289541.252433693
2025-02-21,1276331.3221358415
2025-02-24,1276607.2978438493
2025-02-25,1277264.7107161637
2025-02-26,1280470.9548567887
2025-02-27,1268446.6054305192
2025-02-28,1288886.8016738053
2025-03-03,1279676.1726760026
2025-03-04,1258462.7195510026
2025-03-05,1271108.8045729753
2025-03-06,1248344.8193587419
2025-03-07,1239771.5461196061
2025-03-10,1206451.818763649
2025-03-11,1195211.679664528
2025-03-12,1197303.0385512467
2025-03-13,1167273.050254738
2025-03-14,1188517.0233534928
2025-03-17,1199562.3646468278
2025-03-18,1188870.82353965
2025-03-19,1200474.8693923112
2025-03-20,1196523.803138649
2025-03-21,1196969.4132918473
2025-03-24,1216201.3909529801
2025-03-25,1218677.4230422135
2025-03-26,1210912.5217208024
2025-03-27,1208656.2893752214
2025-03-28,1189912.1538008805
