,equity_ppo_ac
2024-01-02,1000000.0
2024-01-03,999532.7150152468
2024-01-04,999351.9066324463
2024-01-05,999406.7384054346
2024-01-08,1001478.8326154562
2024-01-09,1001046.8295116768
2024-01-10,1001587.059045633
2024-01-11,1001660.8791419468
2024-01-12,1002448.7346318754
2024-01-16,1001616.6235531342
2024-01-17,999252.7721591278
2024-01-18,1002565.7337890648
2024-01-19,1009479.5130645338
2024-01-22,1010615.1875062009
2024-01-23,1011335.0655370479
2024-01-24,1012117.8955744852
2024-01-25,1013017.7561199957
2024-01-26,1010287.3550518433
2024-01-29,1017994.0193181376
2024-01-30,1017105.0578898865
2024-01-31,1007371.7284405527
2024-02-01,1017467.1657651893
2024-02-02,1019849.4028360451
2024-02-05,1014205.4506628849
2024-02-06,1010319.3658132653
2024-02-07,1012942.1157559544
2024-02-08,1018621.9786000126
2024-02-09,1024766.0496509396
2024-02-12,1019645.742002911
2024-02-13,1004167.3647684839
2024-02-14,1017101.0909233869
2024-02-15,1022321.942415039
2024-02-16,1009932.6792766418
2024-02-20,999541.9924235713
2024-02-21,999411.4736686193
2024-02-22,1019266.2964380058
2024-02-23,1023051.1480165718
2024-02-26,1027241.7915240934
2024-02-27,1025194.4876789919
2024-02-28,1025002.7276766181
2024-02-29,1027954.6856969914
2024-03-01,1043810.8578763554
2024-03-04,1042250.9912878841
2024-03-05,1022662.8910859457
2024-03-06,1026859.5077755578
2024-03-07,1038533.7677488046
2024-03-08,1028102.3498312372
2024-03-11,1026192.176935088
2024-03-12,1037980.9580243208
2024-03-13,1029883.7123070003
2024-03-14,1022114.3224626785
2024-03-15,1001584.8734753956
2024-03-18,1010901.2118284423
2024-03-19,1017169.9267821861
2024-03-20,1027755.8206198518
2024-03-21,1033864.3383065783
2024-03-22,1025840.105816654
2024-03-25,1027740.4650140207
2024-03-26,1031553.167242293
2024-03-27,1040273.4660636836
2024-03-28,1040755.4873367226
2024-04-01,1037509.0585512982
2024-04-02,1025676.7257270414
2024-04-03,1027984.6021415403
2024-04-04,1014994.6417050172
2024-04-05,1024600.0150642332
2024-04-08,1028220.7224200605
2024-04-09,1030795.9818048173
2024-04-10,1014906.0858543555
2024-04-11,1022432.2378072811
2024-04-12,1001921.2595824805
2024-04-15,990309.5608929856
2024-04-16,990690.9245963898
2024-04-17,982950.3305383049
2024-04-18,974411.583514828
2024-04-19,969390.3429767948
2024-04-22,974553.2555983379
2024-04-23,988679.9883108203
2024-04-24,992936.5191786109
2024-04-25,988114.4012069709
2024-04-26,995015.7795691907
2024-04-29,1002659.8450339937
2024-04-30,984390.6221109674
2024-05-01,975896.4499218483
2024-05-02,981008.9881489649
2024-05-03,1001151.9602849865
2024-05-06,1011326.2293015867
2024-05-07,1009571.1993738508
2024-05-08,1009924.7749158889
2024-05-09,1009318.2269216955
2024-05-10,1012549.958629187
2024-05-13,1011002.699760223
2024-05-14,1017583.259005405
2024-05-15,1032486.1275825085
2024-05-16,1026226.2974973157
2024-05-17,1025427.2094678947
2024-05-20,1028422.5621481423
2024-05-21,1031395.8620681168
2024-05-22,1028214.8925891905
2024-05-23,1016975.3651645978
2024-05-24,1009925.4272865303
2024-05-28,1002901.0776959023
2024-05-29,991613.6865737989
2024-05-30,977530.6819723785
2024-05-31,984927.3272587092
2024-06-03,982319.8609451208
2024-06-04,986956.2906356714
2024-06-05,998625.3972066253
2024-06-06,995393.1968087448
2024-06-07,994736.6619268592
2024-06-10,996716.2791736253
2024-06-11,992575.572990658
2024-06-12,1002450.5598752451
2024-06-13,1004961.2535510763
2024-06-14,1014023.0518702575
2024-06-17,1028465.0366449457
2024-06-18,1034441.5353788255
2024-06-20,1037114.9018499305
2024-06-21,1039904.3065406807
2024-06-24,1039246.8940709613
2024-06-25,1041632.3478413844
2024-06-26,1041952.2494081383
2024-06-27,1040849.4027540594
2024-06-28,1043526.8908674364
2024-07-01,1042742.6137701883
2024-07-02,1055912.393140318
2024-07-03,1063493.6783142665
2024-07-05,1064464.2091483958
2024-07-08,1061498.206433917
2024-07-09,1063478.4127779386
2024-07-10,1067912.3629916108
2024-07-11,1061675.7984410874
2024-07-12,1074745.5668067602
2024-07-15,1079777.3960735614
2024-07-16,1091668.5503943004
2024-07-17,1080367.6946975272
2024-07-18,1068827.7578961477
2024-07-19,1062254.0159391442
2024-07-22,1076930.1503614585
2024-07-23,1072143.6490261005
2024-07-24,1047336.8740266225
2024-07-25,1057520.7323147068
2024-07-26,1069758.9849447538
2024-07-29,1070429.8246234935
2024-07-30,1069893.5609143227
2024-07-31,1085875.8616514558
2024-08-01,1067716.5227444666
2024-08-02,1042041.2539813047
2024-08-05,1016399.0979986902
2024-08-06,1027455.1965300536
2024-08-07,1016836.2840946275
2024-08-08,1039020.0394914395
2024-08-09,1042287.2257955818
2024-08-12,1034271.2273406688
2024-08-13,1052629.3624085116
2024-08-14,1054276.505980967
2024-08-15,1077903.8823163246
2024-08-16,1078037.4216808137
2024-08-19,1085595.7717389637
2024-08-20,1082111.95587765
2024-08-21,1086893.2928777528
2024-08-22,1076685.6541533503
2024-08-23,1081461.684422371
2024-08-26,1079116.610669342
2024-08-27,1082889.3821988746
2024-08-28,1077524.2614955355
2024-08-29,1086039.950773998
2024-08-30,1097663.1080993705
2024-09-03,1079994.330369848
2024-09-04,1083761.824071686
2024-09-05,1075617.642300463
2024-09-06,1060389.4709445543
2024-09-09,1076091.200043937
2024-09-10,1084626.9602243153
2024-09-11,1090705.6723236574
2024-09-12,1094599.1578096938
2024-09-13,1095395.5271043896
2024-09-16,1097703.2445823583
2024-09-17,1095729.7779099068
2024-09-18,1096405.4875678706
2024-09-19,1114747.6394255406
2024-09-20,1111306.6594038052
2024-09-23,1119830.5535469884
2024-09-24,1118643.7834857644
2024-09-25,1110619.2100550977
2024-09-26,1126180.733175387
2024-09-27,1123060.1693169696
2024-09-30,1125896.2892321523
2024-10-01,1111615.7864855665
2024-10-02,1119047.9023167985
2024-10-03,1115110.407483879
2024-10-04,1122859.7156752646
2024-10-07,1110055.9144720014
2024-10-08,1118544.6650135545
2024-10-09,1127784.7968850073
2024-10-10,1126918.7313109299
2024-10-11,1137557.1134017939
2024-10-14,1144640.9798876795
2024-10-15,1142483.4153715773
2024-10-16,1148221.0575140025
2024-10-17,1144656.9576036024
2024-10-18,1147326.563691849
2024-10-21,1141360.1049990165
2024-10-22,1135913.2249056248
