,equity_ppo_baseline
2024-01-02,1000000.0
2024-01-03,999532.7158669379
2024-01-04,999351.9083253652
2024-01-05,999406.7409376756
2024-01-08,1001478.8359878351
2024-01-09,1001046.8337387235
2024-01-10,1001587.0641274946
2024-01-11,1001660.8850810432
2024-01-12,1002448.741430187
2024-01-16,1001616.6312162479
2024-01-17,999252.7806827187
2024-01-18,1002565.7431688085
2024-01-19,1009479.523309695
2024-01-22,1010615.1986316252
2024-01-23,1011335.0775474616
2024-01-24,1012117.9084715242
2024-01-25,1013017.7699039395
2024-01-26,1010287.3697324744
2024-01-29,1017994.0348916694
2024-01-30,1017105.0743661511
2024-01-31,1007371.7458166783
2024-02-01,1017467.1840291474
2024-02-02,1019849.4220006305
2024-02-05,1014205.4707314998
2024-02-06,1010319.3867824071
2024-02-07,1012942.1376162254
2024-02-08,1018622.0013489887
2024-02-09,1024766.073150716
2024-02-12,1019647.1296181461
2024-02-13,1004169.0530469925
2024-02-14,1017101.8657709152
2024-02-15,1022322.7274775917
2024-02-16,1009941.9613849137
2024-02-20,999538.066152509
2024-02-21,999394.0418330433
2024-02-22,1019275.0292246792
2024-02-23,1023075.6563464939
2024-02-26,1027288.8709454682
2024-02-27,1025257.8582387574
2024-02-28,1025024.2300138886
2024-02-29,1027969.7135742009
2024-03-01,1043884.8470867531
2024-03-04,1042250.6458313896
2024-03-05,1022675.1618357804
2024-03-06,1026895.0953158628
2024-03-07,1038619.118977586
2024-03-08,1028047.9423335945
2024-03-11,1026224.7877572491
2024-03-12,1037991.2551658909
2024-03-13,1029897.6381254932
2024-03-14,1022200.2745548498
2024-03-15,1001697.3272231295
2024-03-18,1011097.7523928415
2024-03-19,1017326.214652281
2024-03-20,1027901.2150446855
2024-03-21,1033615.6769105608
2024-03-22,1025665.0991942789
2024-03-25,1027691.1133046591
2024-03-26,1031427.6331039201
2024-03-27,1040057.5598221456
2024-03-28,1040776.0917190163
2024-04-01,1037457.3915327408
2024-04-02,1025635.602329652
2024-04-03,1027943.1549979851
2024-04-04,1015340.4987670643
2024-04-05,1024854.3201517222
2024-04-08,1028474.5254268954
2024-04-09,1031080.2255955994
2024-04-10,1015028.03330565
2024-04-11,1022419.120857095
2024-04-12,1002268.5209628785
2024-04-15,990581.9633174278
2024-04-16,991198.3227760326
2024-04-17,982780.2291703913
2024-04-18,974453.6733532774
2024-04-19,969735.1825937597
2024-04-22,974756.9254457857
2024-04-23,988740.6826897289
2024-04-24,993480.7215146763
2024-04-25,988416.3037610314
2024-04-26,995279.5004555256
2024-04-29,1003128.1764534933
2024-04-30,984691.4001442873
2024-05-01,976472.1317337763
2024-05-02,981324.9057301981
2024-05-03,1001476.692750643
2024-05-06,1011508.6085965693
2024-05-07,1009440.5734814894
