,equity_sac_ac
2024-01-02,1000000.0
2024-01-03,997859.4912554683
2024-01-04,997393.5569866154
2024-01-05,998805.4436290152
2024-01-08,1007908.828240186
2024-01-09,1006615.0975416126
2024-01-10,1008354.1470679834
2024-01-11,1006721.163122452
2024-01-12,1004232.8477300445
2024-01-16,997276.1536066701
2024-01-17,992242.5347219032
2024-01-18,997619.755184825
2024-01-19,1010358.3058120512
2024-01-22,1010421.0591677229
2024-01-23,1012267.6433365981
2024-01-24,1011167.3192079491
2024-01-25,1011029.5389785788
2024-01-26,1015951.0159463548
2024-01-29,1025333.7229389725
2024-01-30,1028678.8842536476
2024-01-31,1015670.5136918687
2024-02-01,1028750.375733282
2024-02-02,1034928.2168649447
2024-02-05,1035995.5611557425
2024-02-06,1038136.7688190697
2024-02-07,1044401.5022722887
2024-02-08,1048954.8187092918
2024-02-09,1050447.7761637233
2024-02-12,1049945.8433761173
2024-02-13,1036614.9591228722
2024-02-14,1050264.5307266098
2024-02-15,1057556.1318121322
2024-02-16,1057373.8275054381
2024-02-20,1046779.3496023258
2024-02-21,1047254.870308719
2024-02-22,1067509.824242021
2024-02-23,1062709.6527030254
2024-02-26,1062743.083044412
2024-02-27,1062223.0224113767
2024-02-28,1059814.0749694277
2024-02-29,1061322.1112394743
2024-03-01,1071620.4432500363
2024-03-04,1069044.662760578
2024-03-05,1055559.9734728797
2024-03-06,1061595.507096206
2024-03-07,1068063.7827152277
2024-03-08,1063893.683920822
2024-03-11,1059422.563658714
2024-03-12,1068178.9481695555
2024-03-13,1065740.4641930168
2024-03-14,1059636.1748294667
2024-03-15,1048637.3658813115
2024-03-18,1055189.183008323
2024-03-19,1061365.6796628903
2024-03-20,1067757.9046123468
2024-03-21,1073236.2832767926
2024-03-22,1067839.1499763036
2024-03-25,1066024.301410898
2024-03-26,1066547.8018603262
2024-03-27,1079697.6941725248
2024-03-28,1080181.9532788154
2024-04-01,1071727.8141236084
2024-04-02,1060950.9681636647
2024-04-03,1063469.8670816224
2024-04-04,1050078.505666962
2024-04-05,1063477.0349319447
2024-04-08,1065857.8385098812
2024-04-09,1065350.2229021746
2024-04-10,1053180.3505441677
2024-04-11,1055020.0607601241
2024-04-12,1038919.1053625096
2024-04-15,1029717.1401565797
2024-04-16,1029837.2013840206
2024-04-17,1027990.320500364
2024-04-18,1023702.0860302933
2024-04-19,1021547.9846286187
2024-04-22,1028817.942946755
2024-04-23,1050170.81785679
2024-04-24,1051437.247331382
2024-04-25,1045531.929148166
2024-04-26,1049661.9177644285
2024-04-29,1059599.1471756462
2024-04-30,1049867.7434744106
2024-05-01,1041865.5927928087
2024-05-02,1044190.045251946
2024-05-03,1051951.04696006
2024-05-06,1063149.013754853
2024-05-07,1066728.9966314682
2024-05-08,1066378.9577763365
2024-05-09,1069318.3695047314
2024-05-10,1070299.6483647483
2024-05-13,1066275.1275184688
2024-05-14,1074353.0678388064
2024-05-15,1088662.5191738051
2024-05-16,1083699.68358227
2024-05-17,1087156.034619181
2024-05-20,1089647.114195183
2024-05-21,1095254.122675391
2024-05-22,1092978.6043804642
2024-05-23,1078971.6449519498
2024-05-24,1069737.710885888
2024-05-28,1062990.1361088166
2024-05-29,1053263.9838324124
2024-05-30,1046552.9088487971
2024-05-31,1059256.2808749266
2024-06-03,1057371.7755541112
2024-06-04,1060562.7133364936
2024-06-05,1066740.7638829618
2024-06-06,1070013.9121006844
2024-06-07,1071627.3513719758
2024-06-10,1073108.442806813
2024-06-11,1065914.0672405036
2024-06-12,1073059.6108238338
2024-06-13,1070883.2123316897
2024-06-14,1068532.0302931736
