,equity_sac_baseline
2024-01-02,1000000.0
2024-01-03,997859.5629141517
2024-01-04,997393.6997177578
2024-01-05,998805.6572641159
2024-01-08,1007910.2036073109
2024-01-09,1006617.966294994
2024-01-10,1008353.7653062245
2024-01-11,1006722.3986756703
2024-01-12,1004235.9775140187
2024-01-16,997279.49620985
2024-01-17,992246.0003983876
2024-01-18,997622.3152520558
2024-01-19,1010360.7926766773
2024-01-22,1010414.2797868153
2024-01-23,1012260.5314042469
2024-01-24,1011162.406453838
2024-01-25,1011024.7299592396
2024-01-26,1015945.9752519032
2024-01-29,1025328.5533082386
2024-01-30,1028672.6028382679
2024-01-31,1015664.2130029103
2024-02-01,1028741.8848321339
2024-02-02,1034917.8182999989
2024-02-05,1035983.2155244251
2024-02-06,1038124.1030557057
2024-02-07,1044384.4094941517
2024-02-08,1048937.250089397
2024-02-09,1050430.5427529712
2024-02-12,1049930.051751842
2024-02-13,1036598.1033570667
2024-02-14,1050246.4445397754
2024-02-15,1057536.9537598987
2024-02-16,1057352.2697312732
2024-02-20,1046759.3919465443
2024-02-21,1047236.4723451039
2024-02-22,1067489.9513451953
2024-02-23,1062689.6717927356
2024-02-26,1062722.030355205
2024-02-27,1062201.921773662
2024-02-28,1059793.3030221362
2024-02-29,1061302.0170075793
2024-03-01,1071598.6850335498
2024-03-04,1069024.0632913013
2024-03-05,1055538.7314469714
2024-03-06,1061572.660119762
2024-03-07,1068042.2868058581
2024-03-08,1063874.7750222583
2024-03-11,1059403.3436715503
2024-03-12,1068158.642930736
2024-03-13,1065721.7135064502
2024-03-14,1059614.8161218066
2024-03-15,1048617.662564983
2024-03-18,1055168.6499955554
2024-03-19,1061344.5300233264
2024-03-20,1067739.546231975
2024-03-21,1073216.2289483447
2024-03-22,1067817.9931771655
2024-03-25,1066003.0621926684
2024-03-26,1066525.9601838489
2024-03-27,1079675.692414989
2024-03-28,1080159.0448510547
2024-04-01,1071705.4137208362
2024-04-02,1060927.8236215014
2024-04-03,1063447.7241456409
2024-04-04,1050061.2016427417
2024-04-05,1063458.3849007983
2024-04-08,1065839.1595208545
2024-04-09,1065331.8411385913
2024-04-10,1053160.876096477
2024-04-11,1055002.1057183642
2024-04-12,1038904.0037743946
2024-04-15,1029702.1182649037
2024-04-16,1029821.1694352528
2024-04-17,1027972.7880914112
2024-04-18,1023683.5149743458
2024-04-19,1021528.8669030567
2024-04-22,1028798.045465221
2024-04-23,1050149.9192368884
2024-04-24,1051417.538823833
2024-04-25,1045510.7448136708
2024-04-26,1049645.9091126819
2024-04-29,1059582.4135682483
2024-04-30,1049849.5359971423
2024-05-01,1041848.2981393238
2024-05-02,1044173.1668679615
2024-05-03,1051931.6659638782
2024-05-06,1063131.08731245
2024-05-07,1066711.1081254382
2024-05-08,1066361.9052750964
2024-05-09,1069301.0097710986
2024-05-10,1070283.439290752
2024-05-13,1066260.1511704822
2024-05-14,1074337.9983689685
2024-05-15,1088645.3681809802
2024-05-16,1083683.0156457324
2024-05-17,1087137.8703439136
2024-05-20,1089630.348664989
2024-05-21,1095237.8151872058
2024-05-22,1092964.9822823901
2024-05-23,1078957.2774255176
2024-05-24,1069723.6396462817
2024-05-28,1062975.451879253
2024-05-29,1053249.2199876208
2024-05-30,1046537.7290398976
2024-05-31,1059238.0607278247
2024-06-03,1057353.4034135242
2024-06-04,1060543.793485393
2024-06-05,1066719.401738872
2024-06-06,1069990.46905302
2024-06-07,1071604.2013757129
2024-06-10,1073085.1613595386
2024-06-11,1065892.2342584033
2024-06-12,1073038.2827737231
2024-06-13,1070860.7963235278
2024-06-14,1068509.7841470141
2024-06-17,1076855.7125604053
2024-06-18,1080327.7526795764
2024-06-20,1083968.8063027759
2024-06-21,1089289.6700379748
2024-06-24,1093090.6080796618
2024-06-25,1093702.4773881335
2024-06-26,1096600.4486939807
2024-06-27,1099844.1816689868
2024-06-28,1099780.8072869678
2024-07-01,1099334.6730782886
2024-07-02,1106960.3969476123
2024-07-03,1106536.817792644
2024-07-05,1114313.5483033557
2024-07-08,1113999.5803010364
2024-07-09,1114873.6609055896
2024-07-10,1118929.7201592822
2024-07-11,1114423.4471719165
2024-07-12,1124550.7902009387
2024-07-15,1130833.0097596545
2024-07-16,1142295.9213693042
2024-07-17,1133000.9716088672
2024-07-18,1110365.7208573718
2024-07-19,1105542.1070840259
2024-07-22,1115454.0493142505
2024-07-23,1117340.4458138843
2024-07-24,1099199.3033463855
2024-07-25,1101179.8150651355
2024-07-26,1109676.9377992053
2024-07-29,1112498.6083238025
2024-07-30,1108542.7920892138
2024-07-31,1118868.3203332324
2024-08-01,1109782.826513042
2024-08-02,1082522.8260896106
2024-08-05,1053169.816556682
2024-08-06,1063240.0062158008
2024-08-07,1052922.2173554797
2024-08-08,1084054.6356332202
2024-08-09,1091475.2649247546
2024-08-12,1088097.4222009082
2024-08-13,1109758.0977876086
2024-08-14,1112159.7926309009
2024-08-15,1130098.482900371
2024-08-16,1130698.2198159595
2024-08-19,1139960.2355630298
2024-08-20,1144070.8184411426
2024-08-21,1148135.8425996203
2024-08-22,1140925.578149547
2024-08-23,1141098.5907037158
2024-08-26,1138701.518914928
2024-08-27,1142502.2943894763
2024-08-28,1137393.8995759387
2024-08-29,1141611.5940377612
2024-08-30,1154923.5507790942
2024-09-03,1140070.6329438586
2024-09-04,1141940.1108796496
2024-09-05,1133122.260408153
2024-09-06,1118696.53804182
2024-09-09,1135016.0502297778
2024-09-10,1139370.0243356128
2024-09-11,1145158.9643075366
2024-09-12,1150088.2122895618
2024-09-13,1156820.6402871509
2024-09-16,1158526.7484795947
2024-09-17,1155642.9758279223
2024-09-18,1151503.7691590686
2024-09-19,1168486.4791428943
2024-09-20,1164825.9365327258
2024-09-23,1169053.0624291797
2024-09-24,1168710.5827424426
2024-09-25,1160781.2081811328
2024-09-26,1164527.8883874316
2024-09-27,1159287.8236482043
2024-09-30,1162849.7113129993
2024-10-01,1153239.7044312854
2024-10-02,1152848.3764817615
2024-10-03,1143801.6401383777
2024-10-04,1155689.9519364734
2024-10-07,1148408.725896587
2024-10-08,1154554.334375133
2024-10-09,1164473.3705880542
2024-10-10,1158496.1757028003
2024-10-11,1164162.6203858752
2024-10-14,1167178.680608501
2024-10-15,1156040.9288651843
2024-10-16,1158867.1519601245
2024-10-17,1159784.3418748279
2024-10-18,1160420.3851487536
2024-10-21,1153054.6705186267
2024-10-22,1153060.93440031
2024-10-23,1146386.2537286181
2024-10-24,1151154.7186982532
2024-10-25,1149999.038671245
2024-10-28,1151317.4888780017
2024-10-29,1154755.9442994494
2024-10-30,1148845.442239513
2024-10-31,1143917.3951203723
2024-11-01,1150578.121724834
2024-11-04,1143287.8263947864
2024-11-05,1153655.4931161304
2024-11-06,1179889.4597299
2024-11-07,1188289.3203828235
2024-11-08,1202864.7024667163
2024-11-11,1207928.7846238513
2024-11-12,1192244.7601754565
2024-11-13,1192005.5047204394
2024-11-14,1179431.585561504
2024-11-15,1162578.9204499621
2024-11-18,1165793.2568261523
2024-11-19,1157148.6601655383
2024-11-20,1164921.451738109
2024-11-21,1180906.2285058398
2024-11-22,1180342.3427903552
2024-11-25,1183031.3801476855
2024-11-26,1192023.163030376
2024-11-27,1191231.5459535022
2024-11-29,1199261.8612763782
2024-12-02,1199491.3321359057
2024-12-03,1197903.0916764636
2024-12-04,1205168.4870240588
2024-12-05,1200725.1843278308
2024-12-06,1204567.383645763
2024-12-09,1195085.314466228
2024-12-10,1197439.8456704516
2024-12-11,1206609.2587563891
2024-12-12,1199638.8638436694
2024-12-13,1198952.8273980517
2024-12-16,1201764.7929093738
2024-12-17,1204281.5967652698
2024-12-18,1165580.6520745654
2024-12-19,1162887.4711053271
2024-12-20,1172368.696244945
2024-12-23,1180871.9359834094
2024-12-24,1195992.1027581592
2024-12-26,1193836.7805306811
2024-12-27,1181353.0413262744
2024-12-30,1165843.12397932
2024-12-31,1162874.5552117724
2025-01-02,1157075.127118816
2025-01-03,1173878.5642945666
2025-01-06,1171758.10759901
2025-01-07,1165351.664354076
2025-01-08,1170067.4224259753
2025-01-10,1157761.9019715686
2025-01-13,1164568.9405801196
2025-01-14,1161956.904435863
2025-01-15,1176752.7493722339
2025-01-16,1174808.9462411304
2025-01-17,1178503.1926095386
2025-01-21,1188739.6886155505
2025-01-22,1187251.614377727
2025-01-23,1199465.7805611987
2025-01-24,1197151.2135102649
2025-01-27,1207285.9753091235
2025-01-28,1200497.3822877307
2025-01-29,1194587.3462541003
2025-01-30,1214153.6643502612
2025-01-31,1209687.0666081805
2025-02-03,1203629.402860393
2025-02-04,1204993.7949426074
2025-02-05,1207391.9809491534
2025-02-06,1214613.4584023852
2025-02-07,1204626.1258294482
2025-02-10,1203969.4112069507
2025-02-11,1202284.7060143847
2025-02-12,1205105.0113885303
2025-02-13,1212780.344331493
2025-02-14,1210990.8893067737
2025-02-18,1214263.6279885669
2025-02-19,1222447.7019517322
2025-02-20,1220709.510156383
2025-02-21,1205474.3156831164
2025-02-24,1207842.0524766345
2025-02-25,1202682.812650432
2025-02-26,1212600.7407815356
2025-02-27,1199457.1545922656
2025-02-28,1219585.115072002
2025-03-03,1208497.6751496692
