,equity_td3_ac
2024-01-02,1000000.0
2024-01-03,989262.7029559009
2024-01-04,989434.5343795067
2024-01-05,990766.7668712488
2024-01-08,1004133.6044925416
2024-01-09,1002762.68545282
2024-01-10,1008938.5426836218
2024-01-11,1008039.2210728248
2024-01-12,1009969.5384637684
2024-01-16,1007631.6550907467
2024-01-17,1001850.700740972
2024-01-18,1008343.7798501205
2024-01-19,1022526.612623537
2024-01-22,1021383.9287274596
2024-01-23,1017725.8294963954
2024-01-24,1014997.9099451031
2024-01-25,1018289.2445000343
2024-01-26,1018878.7707790702
2024-01-29,1026915.447799101
2024-01-30,1028552.5354782601
2024-01-31,1015560.9049414287
2024-02-01,1028716.1605253936
2024-02-02,1031901.5130278104
2024-02-05,1030522.7783025479
2024-02-06,1032848.8166026819
2024-02-07,1041083.3981571213
2024-02-08,1040683.0546753898
2024-02-09,1044923.1538502568
2024-02-12,1044468.920205587
2024-02-13,1029872.2402951991
2024-02-14,1037653.8501091913
2024-02-15,1044446.5290904589
2024-02-16,1039433.881645438
2024-02-20,1033542.3207367193
2024-02-21,1036879.9114642206
2024-02-22,1054223.1354538742
2024-02-23,1056976.7810049448
2024-02-26,1056554.0015087354
2024-02-27,1056848.3133239932
2024-02-28,1059685.7244913068
2024-02-29,1062160.8376952407
2024-03-01,1073496.6421313945
2024-03-04,1077242.6774537791
2024-03-05,1067662.5063943397
2024-03-06,1072635.7356357533
2024-03-07,1080225.4407847049
2024-03-08,1070452.9699076246
2024-03-11,1065665.4963983267
2024-03-12,1077913.3592630122
2024-03-13,1074174.266078081
2024-03-14,1067433.1500784406
2024-03-15,1056776.249054396
2024-03-18,1061829.2606472867
2024-03-19,1067066.1171529994
2024-03-20,1076302.2222857352
2024-03-21,1086502.0429744904
2024-03-22,1079382.020975135
2024-03-25,1075561.7311701297
2024-03-26,1075940.0829170842
2024-03-27,1087251.7943559394
2024-03-28,1087677.4588090589
2024-04-01,1080255.1014666099
2024-04-02,1071179.8670322374
2024-04-03,1073006.1393740787
2024-04-04,1058048.649021098
2024-04-05,1067226.13408675
2024-04-08,1068146.7322724133
2024-04-09,1069257.1961453808
2024-04-10,1056583.8648621545
2024-04-11,1060819.5635930982
2024-04-12,1046659.1512797121
2024-04-15,1039147.9408744065
2024-04-16,1035649.7325361709
2024-04-17,1032226.5228715886
2024-04-18,1027624.4022058018
2024-04-19,1023721.5949756897
2024-04-22,1032706.4452759842
2024-04-23,1046193.9921111197
2024-04-24,1047403.8883769535
2024-04-25,1042106.1681399802
2024-04-26,1051274.7206743767
2024-04-29,1055590.149390303
2024-04-30,1046721.6530170799
2024-05-01,1041441.5225755414
2024-05-02,1045321.4268837007
2024-05-03,1051867.3008808417
2024-05-06,1064214.2454301096
2024-05-07,1069428.8352009028
2024-05-08,1067222.965949321
2024-05-09,1074158.7376564306
2024-05-10,1079024.91644005
2024-05-13,1076284.6186482152
2024-05-14,1081643.6214276296
2024-05-15,1096827.7794782247
2024-05-16,1093003.1611639846
2024-05-17,1095558.5885680818
2024-05-20,1096069.7197659614
2024-05-21,1099887.7846555363
2024-05-22,1095875.1659937196
2024-05-23,1084805.0019935607
2024-05-24,1089529.9924250229
2024-05-28,1085221.6305398513
2024-05-29,1075752.344906274
2024-05-30,1074872.2364775704
2024-05-31,1083005.2267983241
2024-06-03,1083187.0496230465
2024-06-04,1086987.812255449
2024-06-05,1096954.4369774708
2024-06-06,1097991.6569902317
2024-06-07,1097968.8083432666
2024-06-10,1099173.2328770934
2024-06-11,1096415.3498623685
2024-06-12,1104205.8749476566
2024-06-13,1107779.649020457
2024-06-14,1113018.311261027
2024-06-17,1122485.0845191714
2024-06-18,1127754.3922143197
2024-06-20,1123693.2081538
2024-06-21,1123176.6662470493
2024-06-24,1123692.786675939
2024-06-25,1122592.9566130836
2024-06-26,1121962.9786685926
2024-06-27,1118406.4347849805
2024-06-28,1119884.4132396136
2024-07-01,1118032.8377247872
2024-07-02,1125502.9082490618
2024-07-03,1130184.3380259739
2024-07-05,1137753.419224129
2024-07-08,1138119.6576747543
2024-07-09,1139658.4845944832
2024-07-10,1148571.4667958252
2024-07-11,1143463.6914419879
2024-07-12,1151468.5891268698
2024-07-15,1154954.1122037233
2024-07-16,1165002.2081381478
2024-07-17,1153919.2388407683
2024-07-18,1136188.39346083
2024-07-19,1132439.5846957231
2024-07-22,1144625.9817404174
2024-07-23,1145350.0290784303
2024-07-24,1125228.4869678628
2024-07-25,1120100.5750650913
2024-07-26,1131830.7658740531
2024-07-29,1134052.15693222
2024-07-30,1132088.112065
2024-07-31,1149789.7509538732
2024-08-01,1139167.5746643138
2024-08-02,1121068.115969407
2024-08-05,1091519.7105061382
2024-08-06,1102751.4990755063
2024-08-07,1093282.3819632563
2024-08-08,1123305.5206292944
2024-08-09,1131279.090697386
2024-08-12,1128340.5994525503
2024-08-13,1145157.3865940475
2024-08-14,1151007.7639628795
2024-08-15,1167698.7301463203
2024-08-16,1169003.106321059
2024-08-19,1175890.6748791581
2024-08-20,1177911.572004438
2024-08-21,1180504.7172607447
2024-08-22,1174091.722176629
2024-08-23,1185733.5122181496
2024-08-26,1184229.1918525547
2024-08-27,1190230.5956714156
2024-08-28,1183791.7056283453
2024-08-29,1187101.1495238286
2024-08-30,1198137.5746921923
2024-09-03,1177191.9465728768
2024-09-04,1180643.0131409338
2024-09-05,1171463.8932631402
2024-09-06,1156186.5164426297
2024-09-09,1171805.0060501946
2024-09-10,1174549.5292384112
2024-09-11,1182210.826036509
2024-09-12,1189808.2217254208
2024-09-13,1190009.6323827743
2024-09-16,1192037.6421500535
2024-09-17,1188902.2003642854
2024-09-18,1185521.3705821438
