,equity_td3_baseline
2024-01-02,1000000.0
2024-01-03,989265.9849745465
2024-01-04,989433.6697008915
2024-01-05,990762.5638926334
2024-01-08,1004128.5651476688
2024-01-09,1002752.2857020206
2024-01-10,1008926.9168436832
2024-01-11,1008027.1549113102
2024-01-12,1009953.2400248356
2024-01-16,1007615.3033182926
2024-01-17,1001831.5472414799
2024-01-18,1008323.9874651737
2024-01-19,1022505.743862421
2024-01-22,1021364.5900538273
2024-01-23,1017710.7637827701
2024-01-24,1014980.3416369266
2024-01-25,1018279.3142779178
2024-01-26,1018865.7663653202
2024-01-29,1026899.4518473453
2024-01-30,1028535.2944224186
2024-01-31,1015534.6753542728
2024-02-01,1028685.1602595157
2024-02-02,1031868.5490992374
2024-02-05,1030484.9020922489
2024-02-06,1032814.2024119205
2024-02-07,1041044.0526392765
2024-02-08,1040642.8860209293
2024-02-09,1044884.7655794926
2024-02-12,1044431.3219950504
2024-02-13,1029836.8219607181
2024-02-14,1037618.3330309696
2024-02-15,1044405.5977213688
2024-02-16,1039390.9485590763
2024-02-20,1033496.3995821781
2024-02-21,1036836.3032572574
2024-02-22,1054173.221672327
2024-02-23,1056926.5388949222
2024-02-26,1056496.3897784061
2024-02-27,1056790.2455332584
2024-02-28,1059626.3935053654
2024-02-29,1062105.499103815
2024-03-01,1073436.3723681278
2024-03-04,1077182.6529505558
2024-03-05,1067602.3776285953
2024-03-06,1072570.3385851688
2024-03-07,1080151.6214678593
2024-03-08,1070408.0534594364
2024-03-11,1065630.581955225
2024-03-12,1077865.7818835087
2024-03-13,1074130.3746035404
2024-03-14,1067389.522705347
2024-03-15,1056730.581222803
2024-03-18,1061782.7974741764
2024-03-19,1067019.5650637455
2024-03-20,1076254.142551691
2024-03-21,1086449.9586832828
2024-03-22,1079332.3899615116
2024-03-25,1075509.429901392
2024-03-26,1075885.9295695133
2024-03-27,1087199.4079020328
2024-03-28,1087626.1952174015
2024-04-01,1080206.1789706058
2024-04-02,1071131.7774203129
2024-04-03,1072954.640789301
2024-04-04,1057996.3107683964
2024-04-05,1067172.938381464
2024-04-08,1068093.6265147037
2024-04-09,1069210.0544321842
2024-04-10,1056530.0227129764
2024-04-11,1060759.82899502
2024-04-12,1046596.6606486149
2024-04-15,1039091.6859705753
2024-04-16,1035594.5198061771
2024-04-17,1032173.2431795902
2024-04-18,1027577.1481173343
2024-04-19,1023679.3084719486
2024-04-22,1032660.285042078
2024-04-23,1046144.8216555424
2024-04-24,1047354.6509478397
2024-04-25,1042056.3707735843
2024-04-26,1051218.9407580204
2024-04-29,1055535.0324175663
2024-04-30,1046664.1479609318
2024-05-01,1041385.9199030704
2024-05-02,1045260.5106814213
2024-05-03,1051802.5139506168
2024-05-06,1064141.939766199
2024-05-07,1069350.044632227
2024-05-08,1067152.0290758915
2024-05-09,1074079.7445833988
2024-05-10,1078942.6103861637
2024-05-13,1076208.3515017338
2024-05-14,1081568.9374201603
2024-05-15,1096752.762398035
2024-05-16,1092918.1789515323
2024-05-17,1095473.6437151737
2024-05-20,1095978.7642939396
2024-05-21,1099793.4309885807
2024-05-22,1095779.85684231
2024-05-23,1084705.0289995975
2024-05-24,1089421.5363238163
2024-05-28,1085107.847946436
2024-05-29,1075640.770386011
2024-05-30,1074761.0943644352
2024-05-31,1082900.4320376224
2024-06-03,1083078.053779871
2024-06-04,1086877.8360293217
2024-06-05,1096833.1876108951
2024-06-06,1097869.5566752262
2024-06-07,1097842.7041361637
2024-06-10,1099044.147278101
2024-06-11,1096284.6513636417
2024-06-12,1104072.2551844425
2024-06-13,1107644.9317210026
2024-06-14,1112880.9330828495
2024-06-17,1122338.6253321476
2024-06-18,1127605.2171709843
2024-06-20,1123556.0599367924
2024-06-21,1123051.5836489506
2024-06-24,1123569.183594019
2024-06-25,1122464.922390253
2024-06-26,1121830.4824679203
2024-06-27,1118285.1423304386
2024-06-28,1119764.1878321476
2024-07-01,1117914.284374506
2024-07-02,1125377.352241785
2024-07-03,1130054.1838419742
2024-07-05,1137612.7834017582
2024-07-08,1137978.691921503
2024-07-09,1139514.6511805363
2024-07-10,1148428.478664667
2024-07-11,1143344.2631342716
2024-07-12,1151351.456173212
2024-07-15,1154835.6083605594
2024-07-16,1164877.020614893
2024-07-17,1153802.0130999393
2024-07-18,1136071.3156779117
2024-07-19,1132320.907661707
2024-07-22,1144502.8897326298
2024-07-23,1145223.5110705204
2024-07-24,1125114.7103426761
2024-07-25,1119998.8663828678
2024-07-26,1131730.8832438297
2024-07-29,1133953.2218134708
2024-07-30,1131994.6871111698
2024-07-31,1149689.174534113
2024-08-01,1139066.7462389774
2024-08-02,1120965.6052363224
2024-08-05,1091416.5232432194
2024-08-06,1102645.0824053593
2024-08-07,1093179.1966440983
2024-08-08,1123190.9975130863
2024-08-09,1131155.1053736515
2024-08-12,1128208.343876154
2024-08-13,1145026.4075014896
2024-08-14,1150879.391041071
2024-08-15,1167575.9017947025
2024-08-16,1168887.6629107303
2024-08-19,1175776.7618983097
2024-08-20,1177796.868282587
2024-08-21,1180388.3377955265
2024-08-22,1173977.682762415
2024-08-23,1185622.2010538883
2024-08-26,1184114.4484331913
2024-08-27,1190108.2662699528
2024-08-28,1183675.8039896793
2024-08-29,1186989.1510546512
2024-08-30,1198023.638382227
2024-09-03,1177085.2922098942
2024-09-04,1180528.3006098575
2024-09-05,1171347.8336336918
2024-09-06,1156072.13494137
2024-09-09,1171683.13884762
2024-09-10,1174428.823108942
2024-09-11,1182087.4366572208
2024-09-12,1189681.0506861515
2024-09-13,1189881.29459408
2024-09-16,1191922.6639521427
2024-09-17,1188789.1006968326
2024-09-18,1185410.5790369816
2024-09-19,1204516.4197504825
2024-09-20,1203518.0773394413
2024-09-23,1209644.03621319
2024-09-24,1210002.979435236
2024-09-25,1206775.8449023075
