Abbade 2026 MACE — S&P 100 reproduction
Trade period: 2024-01-02 ~ 2026-03-30
Initial capital: $1,000,000
AC params: alpha=0.5 beta=1.0 spread_bps=5.0 half_life=5.0

agent cost_model       final_$  return_%  sharpe  max_dd_%  total_cost_$  trades
  A2C   baseline 1,206,044.854    20.604   0.651   -15.910       505.776   29794
  A2C         ac 1,205,914.837    20.591   0.651   -15.906       506.254      82
  PPO   baseline 1,252,509.476    25.251   0.675   -17.854       830.573   26085
  PPO         ac 1,262,020.420    26.202   0.665   -19.594       847.989    2855
 DDPG   baseline 1,285,127.031    28.513   0.844   -16.825       499.742   18544
 DDPG         ac 1,285,236.229    28.524   0.845   -16.830       500.201      60
  TD3   baseline 1,377,863.533    37.786   0.993   -18.833       517.033   33160
  TD3         ac 1,377,983.688    37.798   0.993   -18.832       517.706      52
  SAC   baseline 1,250,477.372    25.048   0.718   -15.766       506.220   23601
  SAC         ac 1,250,710.656    25.071   0.719   -15.767       506.941     140
